Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 144.60968953703073, 5.0383248437769126, null, null, 144.60968953703073, 5.0383248437769126
2100-Jan-01 01:00:00, 145.05909258193674, 5.0539824289170783, null, null, 145.05909258193674, 5.0539824289170783
2100-Jan-01 02:00:00, 145.71564308961885, 5.0768572082257082, null, null, 145.71564308961885, 5.0768572082257082
2100-Jan-01 03:00:00, 146.56429464970594, 5.1064249519404328, null, null, 146.56429464970594, 5.1064249519404328
2100-Jan-01 04:00:00, 147.57433684134105, 5.1416156828220929, null, null, 147.57433684134105, 5.1416156828220929
2100-Jan-01 05:00:00, 148.72840839348208, 5.1818245193894334, null, null, 148.72840839348208, 5.1818245193894334
2100-Jan-01 06:00:00, 149.99605795482518, 5.2259905106073479, null, null, 149.99605795482518, 5.2259905106073479
2100-Jan-01 07:00:00, 151.33343593276888, 5.2725858992937225, null, null, 151.33343593276888, 5.2725858992937225
2100-Jan-01 08:00:00, 152.62722755785296, 5.3176627022949656, null, null, 152.62722755785296, 5.3176627022949656
2100-Jan-01 09:00:00, 153.69548145174409, 5.3548815785008701, null, null, 153.69548145174409, 5.3548815785008701
2100-Jan-01 10:00:00, 154.37503677737357, 5.3785578652752992, null, null, 154.37503677737357, 5.3785578652752992
2100-Jan-01 11:00:00, 154.51589767318524, 5.3834655789503429, null, null, 154.51589767318524, 5.3834655789503429
2100-Jan-01 12:00:00, 154.08386381672514, 5.3684131511405297, null, null, 154.08386381672514, 5.3684131511405297
2100-Jan-01 13:00:00, 153.12979304591641, 5.3351725122685671, null, null, 153.12979304591641, 5.3351725122685671
2100-Jan-01 14:00:00, 151.7628156772397, 5.2875458555795563, null, null, 151.7628156772397, 5.2875458555795563
2100-Jan-01 15:00:00, 150.16917781361681, 5.232022154049039, null, null, 150.16917781361681, 5.232022154049039
2100-Jan-01 16:00:00, 148.55482448678214, 5.1757767081230783, null, null, 148.55482448678214, 5.1757767081230783
2100-Jan-01 17:00:00, 147.12091650933471, 5.125818131975155, null, null, 147.12091650933471, 5.125818131975155
2100-Jan-01 18:00:00, 146.00138969341646, 5.0868128634625567, null, null, 146.00138969341646, 5.0868128634625567
2100-Jan-01 19:00:00, 145.24543914232422, 5.0604749019163524, null, null, 145.24543914232422, 5.0604749019163524
2100-Jan-01 20:00:00, 144.82802658775299, 5.0459318927270402, null, null, 144.82802658775299, 5.0459318927270402
2100-Jan-01 21:00:00, 144.70174244876958, 5.041532045684618, null, null, 144.70174244876958, 5.041532045684618
