Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 197.08591512999718, 2.2521003198026799, null, null, 197.08591512999718, 2.2521003198026799
2100-Jan-01 01:00:00, 197.20489534607725, 2.2534599064707956, null, null, 197.20489534607725, 2.2534599064707956
2100-Jan-01 02:00:00, 197.40103415172968, 2.255701184172676, null, null, 197.40103415172968, 2.255701184172676
2100-Jan-01 03:00:00, 197.67043051654247, 2.2587795758423614, null, null, 197.67043051654247, 2.2587795758423614
2100-Jan-01 04:00:00, 198.00585831647911, 2.2626125085763409, null, null, 198.00585831647911, 2.2626125085763409
2100-Jan-01 05:00:00, 198.40143186797644, 2.2671327266814498, null, null, 198.40143186797644, 2.2671327266814498
2100-Jan-01 06:00:00, 198.84863353486338, 2.2722428991478489, null, null, 198.84863353486338, 2.2722428991478489
2100-Jan-01 07:00:00, 199.3344937525936, 2.2777948227899212, null, null, 199.3344937525936, 2.2777948227899212
2100-Jan-01 08:00:00, 199.82766979984626, 2.2834303443998958, null, null, 199.82766979984626, 2.2834303443998958
2100-Jan-01 09:00:00, 200.27096911667107, 2.2884959247206962, null, null, 200.27096911667107, 2.2884959247206962
2100-Jan-01 10:00:00, 200.60047925614026, 2.2922612363614965, null, null, 200.60047925614026, 2.2922612363614965
2100-Jan-01 11:00:00, 200.75381488141417, 2.2940134022150978, null, null, 200.75381488141417, 2.2940134022150978
2100-Jan-01 12:00:00, 200.69769655008105, 2.2933721381660725, null, null, 200.69769655008105, 2.2933721381660725
2100-Jan-01 13:00:00, 200.4330011965391, 2.2903474649418651, null, null, 200.4330011965391, 2.2903474649418651
2100-Jan-01 14:00:00, 199.98798260847843, 2.2852622385124244, null, null, 199.98798260847843, 2.2852622385124244
2100-Jan-01 15:00:00, 199.41996518874174, 2.2787715047032697, null, null, 199.41996518874174, 2.2787715047032697
2100-Jan-01 16:00:00, 198.80283362373842, 2.2717195436639046, null, null, 198.80283362373842, 2.2717195436639046
2100-Jan-01 17:00:00, 198.21520013451567, 2.2650046570717683, null, null, 198.21520013451567, 2.2650046570717683
2100-Jan-01 18:00:00, 197.72067447957758, 2.2593537134977333, null, null, 197.72067447957758, 2.2593537134977333
2100-Jan-01 19:00:00, 197.35441649221036, 2.2551684842796234, null, null, 197.35441649221036, 2.2551684842796234
2100-Jan-01 20:00:00, 197.12103578431982, 2.2525016434425731, null, null, 197.12103578431982, 2.2525016434425731
2100-Jan-01 21:00:00, 197.00770281933313, 2.2512065879003123, null, null, 197.00770281933313, 2.2512065879003123
2100-Jan-01 22:00:00, 196.99460465416755, 2.2510569151957012, null, null, 196.99460465416755, 2.2510569151957012
2100-Jan-01 23:00:00, 197.06476258339475, 2.2518586096990605, null, null, 197.06476258339475, 2.2518586096990605
2100-Jan-02 00:00:00, 197.21090440082116, 2.2535285719261711, null, null, 197.21090440082116, 2.2535285719261711
2100-Jan-02 01:00:00, 197.43104653723094, 2.2560441356359546, null, null, 197.43104653723094, 2.2560441356359546
2100-Jan-02 02:00:00, 197.72077493735006, 2.2593548614284789, null, null, 197.72077493735006, 2.2593548614284789
2100-Jan-02 03:00:00, 198.07261547679542, 2.2633753425008165, null, null, 198.07261547679542, 2.2633753425008165
2100-Jan-02 04:00:00, 198.48013386282824, 2.2680320542039567, null, null, 198.48013386282824, 2.2680320542039567
2100-Jan-02 05:00:00, 198.9346523749785, 2.2732258362451274, null, null, 198.9346523749785, 2.2732258362451274
2100-Jan-02 06:00:00, 199.43033231427148, 2.2788899698239535, null, null, 199.43033231427148, 2.2788899698239535
2100-Jan-02 07:00:00, 199.95955230536791, 2.284937365501154, null, null, 199.95955230536791, 2.284937365501154
2100-Jan-02 08:00:00, 200.49328464088646, 2.2910363237281661, null, null, 200.49328464088646, 2.2910363237281661
2100-Jan-02 09:00:00, 200.97991264116891, 2.2965970208197781, null, null, 200.97991264116891, 2.2965970208197781
2100-Jan-02 10:00:00, 201.36151771658706, 2.3009576211793759, null, null, 201.36151771658706, 2.3009576211793759
2100-Jan-02 11:00:00, 201.57410860190623, 2.3033868967595139, null, null, 201.57410860190623, 2.3033868967595139
2100-Jan-02 12:00:00, 201.58781560734533, 2.3035435266805946, null, null, 201.58781560734533, 2.3035435266805946
2100-Jan-02 13:00:00, 201.40133738676167, 2.3014126404631008, null, null, 201.40133738676167, 2.3014126404631008
2100-Jan-02 14:00:00, 201.00393552845514, 2.2968715303000939, null, null, 201.00393552845514, 2.2968715303000939
2100-Jan-02 15:00:00, 200.42311876216655, 2.2902345383859712, null, null, 200.42311876216655, 2.2902345383859712
2100-Jan-02 16:00:00, 199.7484631063779, 2.2825252496874047, null, null, 199.7484631063779, 2.2825252496874047
2100-Jan-02 17:00:00, 199.08522211981156, 2.2749463963889989, null, null, 199.08522211981156, 2.2749463963889989
2100-Jan-02 18:00:00, 198.51287350112594, 2.2684061699789568, null, null, 198.51287350112594, 2.2684061699789568
2100-Jan-02 19:00:00, 198.07919093065365, 2.2634504801976285, null, null, 198.07919093065365, 2.2634504801976285
2100-Jan-02 20:00:00, 197.80033135802091, 2.2602639524729455, null, null, 197.80033135802091, 2.2602639524729455
2100-Jan-02 21:00:00, 197.67054830100756, 2.2587809217651857, null, null, 197.67054830100756, 2.2587809217651857
2100-Jan-02 22:00:00, 197.6715936393737, 2.2587928668444022, null, null, 197.6715936393737, 2.2587928668444022
2100-Jan-02 23:00:00, 197.77374772811018, 2.2599601813922776, null, null, 197.77374772811018, 2.2599601813922776
2100-Jan-03 00:00:00, 197.95127018720515, 2.2619887301428885, null, null, 197.95127018720515, 2.2619887301428885
2100-Jan-03 01:00:00, 198.18897205577969, 2.2647049488735944, null, null, 198.18897205577969, 2.2647049488735944
2100-Jan-03 02:00:00, 198.47985323319296, 2.2680288474497301, null, null, 198.47985323319296, 2.2680288474497301
2100-Jan-03 03:00:00, 198.8183579441623, 2.2718969400393294, null, null, 198.8183579441623, 2.2718969400393294
2100-Jan-03 04:00:00, 199.19692281151248, 2.2762227999480045, null, null, 199.19692281151248, 2.2762227999480045
2100-Jan-03 05:00:00, 199.60776482769978, 2.2809174907656287, null, null, 199.60776482769978, 2.2809174907656287
2100-Jan-03 06:00:00, 200.04029917805016, 2.2858600598381429, null, null, 200.04029917805016, 2.2858600598381429
2100-Jan-03 07:00:00, 200.49045656156397, 2.2910040072719529, null, null, 200.49045656156397, 2.2910040072719529
2100-Jan-03 08:00:00, 200.94478435235607, 2.296195609940582, null, null, 200.94478435235607, 2.296195609940582
2100-Jan-03 09:00:00, 201.36833012752194, 2.301035466584183, null, null, 201.36833012752194, 2.301035466584183
2100-Jan-03 10:00:00, 201.71194776513815, 2.3049619845753591, null, null, 201.71194776513815, 2.3049619845753591
2100-Jan-03 11:00:00, 201.9275360423938, 2.3074255113465791, null, null, 201.9275360423938, 2.3074255113465791
2100-Jan-03 12:00:00, 201.97641746886666, 2.3079840792996431, null, null, 201.97641746886666, 2.3079840792996431
2100-Jan-03 13:00:00, 201.83691942223794, 2.3063900354268623, null, null, 201.83691942223794, 2.3063900354268623
2100-Jan-03 14:00:00, 201.51050466182147, 2.3026600946757063, null, null, 201.51050466182147, 2.3026600946757063
2100-Jan-03 15:00:00, 201.02798851759988, 2.2971463837542809, null, null, 201.02798851759988, 2.2971463837542809
2100-Jan-03 16:00:00, 200.44778315976117, 2.2905163784031735, null, null, 200.44778315976117, 2.2905163784031735
2100-Jan-03 17:00:00, 199.85047897562282, 2.2836909848014533, null, null, 199.85047897562282, 2.2836909848014533
2100-Jan-03 18:00:00, 199.31300148543798, 2.2775492307002856, null, null, 199.31300148543798, 2.2775492307002856
2100-Jan-03 19:00:00, 198.88463366541748, 2.2726542725607097, null, null, 198.88463366541748, 2.2726542725607097
2100-Jan-03 20:00:00, 198.5834420985579, 2.2692125571869912, null, null, 198.5834420985579, 2.2692125571869912
2100-Jan-03 21:00:00, 198.40198680464709, 2.2671390679415682, null, null, 198.40198680464709, 2.2671390679415682
2100-Jan-03 22:00:00, 198.33347400400396, 2.2663561723189294, null, null, 198.33347400400396, 2.2663561723189294
2100-Jan-03 23:00:00, 198.37414430782314, 2.2668209117914446, null, null, 198.37414430782314, 2.2668209117914446
2100-Jan-04 00:00:00, 198.51529146619814, 2.268433800060532, null, null, 198.51529146619814, 2.268433800060532
2100-Jan-04 01:00:00, 198.73616155287363, 2.2709576820564048, null, null, 198.73616155287363, 2.2709576820564048
2100-Jan-04 02:00:00, 199.02075124909905, 2.27420968789081, null, null, 199.02075124909905, 2.27420968789081
2100-Jan-04 03:00:00, 199.35931757092112, 2.2780784845074886, null, null, 199.35931757092112, 2.2780784845074886
2100-Jan-04 04:00:00, 199.74805127936165, 2.2825205437409934, null, null, 199.74805127936165, 2.2825205437409934
2100-Jan-04 05:00:00, 200.18495606732793, 2.2875130537945565, null, null, 200.18495606732793, 2.2875130537945565
2100-Jan-04 06:00:00, 200.66538954991884, 2.2930029661460973, null, null, 200.66538954991884, 2.2930029661460973
2100-Jan-04 07:00:00, 201.17254638468404, 2.2987982461843055, null, null, 201.17254638468404, 2.2987982461843055
2100-Jan-04 08:00:00, 201.69123618987237, 2.3047253134502363, null, null, 201.69123618987237, 2.3047253134502363
2100-Jan-04 09:00:00, 202.2010929915316, 2.3105514460042187, null, null, 202.2010929915316, 2.3105514460042187
2100-Jan-04 10:00:00, 202.67212827122788, 2.3159339651119013, null, null, 202.67212827122788, 2.3159339651119013
2100-Jan-04 11:00:00, 203.05667249329971, 2.3203281510938627, null, null, 203.05667249329971, 2.3203281510938627
2100-Jan-04 12:00:00, 203.31913301134168, 2.3233272868577148, null, null, 203.31913301134168, 2.3233272868577148
2100-Jan-04 13:00:00, 203.44969064827288, 2.3248191686884967, null, null, 203.44969064827288, 2.3248191686884967
2100-Jan-04 14:00:00, 203.45959663586035, 2.324932364386926, null, null, 203.45959663586035, 2.324932364386926
2100-Jan-04 15:00:00, 203.374570391471, 2.3239607696788283, null, null, 203.374570391471, 2.3239607696788283
2100-Jan-04 16:00:00, 203.232700057762, 2.3223396176867857, null, null, 203.232700057762, 2.3223396176867857
2100-Jan-04 17:00:00, 203.07405890654232, 2.3205268255998419, null, null, 203.07405890654232, 2.3205268255998419
2100-Jan-04 18:00:00, 202.93288065839428, 2.318913582067986, null, null, 202.93288065839428, 2.318913582067986
2100-Jan-04 19:00:00, 202.83281686516651, 2.3177701533223027, null, null, 202.83281686516651, 2.3177701533223027
2100-Jan-04 20:00:00, 202.78281254362685, 2.3171987540497736, null, null, 202.78281254362685, 2.3171987540497736
2100-Jan-04 21:00:00, 202.78877472247746, 2.317266883854419, null, null, 202.78877472247746, 2.317266883854419
2100-Jan-04 22:00:00, 202.84927427641554, 2.3179582121245392, null, null, 202.84927427641554, 2.3179582121245392
2100-Jan-04 23:00:00, 202.95894804668407, 2.3192114540567839, null, null, 202.95894804668407, 2.3192114540567839
2100-Jan-05 00:00:00, 203.11040223359907, 2.3209421207183856, null, null, 203.11040223359907, 2.3209421207183856
2100-Jan-05 01:00:00, 203.29813908809891, 2.3230873893428785, null, null, 203.29813908809891, 2.3230873893428785
2100-Jan-05 02:00:00, 203.52116457113777, 2.3256359010482668, null, null, 203.52116457113777, 2.3256359010482668
2100-Jan-05 03:00:00, 203.77554071785815, 2.3285426567187635, null, null, 203.77554071785815, 2.3285426567187635
2100-Jan-05 04:00:00, 204.05833894874891, 2.3317741914827197, null, null, 204.05833894874891, 2.3317741914827197
2100-Jan-05 05:00:00, 204.36816281719572, 2.3353145481477373, null, null, 204.36816281719572, 2.3353145481477373
2100-Jan-05 06:00:00, 204.69699640807815, 2.3390721288693208, null, null, 204.69699640807815, 2.3390721288693208
2100-Jan-05 07:00:00, 205.03987183009014, 2.3429901655644159, null, null, 205.03987183009014, 2.3429901655644159
2100-Jan-05 08:00:00, 205.3897728283124, 2.346988483503452, null, null, 205.3897728283124, 2.346988483503452
2100-Jan-05 09:00:00, 205.71441432873576, 2.3506981612165569, null, null, 205.71441432873576, 2.3506981612165569
2100-Jan-05 10:00:00, 205.95756149094211, 2.3534766033056473, null, null, 205.95756149094211, 2.3534766033056473
2100-Jan-05 11:00:00, 206.06064822351277, 2.3546545751725696, null, null, 206.06064822351277, 2.3546545751725696
2100-Jan-05 12:00:00, 205.99765079098933, 2.3539347036493345, null, null, 205.99765079098933, 2.3539347036493345
2100-Jan-05 13:00:00, 205.77598202535739, 2.3514016951507788, null, null, 205.77598202535739, 2.3514016951507788
2100-Jan-05 14:00:00, 205.4082876787769, 2.3472000526590899, null, null, 205.4082876787769, 2.3472000526590899
2100-Jan-05 15:00:00, 204.92572642436275, 2.3416858262635931, null, null, 204.92572642436275, 2.3416858262635931
2100-Jan-05 16:00:00, 204.37815287616928, 2.3354287045297109, null, null, 204.37815287616928, 2.3354287045297109
2100-Jan-05 17:00:00, 203.82779899047097, 2.3291398118852604, null, null, 203.82779899047097, 2.3291398118852604
2100-Jan-05 18:00:00, 203.33098900600817, 2.3234627652827577, null, null, 203.33098900600817, 2.3234627652827577
2100-Jan-05 19:00:00, 202.92712021255741, 2.3188477574660458, null, null, 202.92712021255741, 2.3188477574660458
2100-Jan-05 20:00:00, 202.63636805462187, 2.315525333195199, null, null, 202.63636805462187, 2.315525333195199
2100-Jan-05 21:00:00, 202.46283172085657, 2.3135423338899854, null, null, 202.46283172085657, 2.3135423338899854
2100-Jan-05 22:00:00, 202.4011827005744, 2.3128378706704731, null, null, 202.4011827005744, 2.3128378706704731
2100-Jan-05 23:00:00, 202.43907869375283, 2.3132709081013827, null, null, 202.43907869375283, 2.3132709081013827
2100-Jan-06 00:00:00, 202.56166735372838, 2.3146717284499756, null, null, 202.56166735372838, 2.3146717284499756
2100-Jan-06 01:00:00, 202.75826619440622, 2.3169182629710821, null, null, 202.75826619440622, 2.3169182629710821
2100-Jan-06 02:00:00, 203.02044779227808, 2.319914211514762, null, null, 203.02044779227808, 2.319914211514762
2100-Jan-06 03:00:00, 203.33922236199609, 2.3235568478235686, null, null, 203.33922236199609, 2.3235568478235686
2100-Jan-06 04:00:00, 203.70671180407709, 2.3277561488719911, null, null, 203.70671180407709, 2.3277561488719911
2100-Jan-06 05:00:00, 204.11595372811547, 2.3324325554401399, null, null, 204.11595372811547, 2.3324325554401399
2100-Jan-06 06:00:00, 204.55865659174486, 2.3374913200915848, null, null, 204.55865659174486, 2.3374913200915848
2100-Jan-06 07:00:00, 205.02792567236739, 2.3428536568463265, null, null, 205.02792567236739, 2.3428536568463265
2100-Jan-06 08:00:00, 205.51572278539177, 2.3484277133866756, null, null, 205.51572278539177, 2.3484277133866756
2100-Jan-06 09:00:00, 206.00933572558731, 2.35406822737135, null, null, 206.00933572558731, 2.35406822737135
2100-Jan-06 10:00:00, 206.48744706258933, 2.3595316045703414, null, null, 206.48744706258933, 2.3595316045703414
2100-Jan-06 11:00:00, 206.90285167659013, 2.3642784321831702, null, null, 206.90285167659013, 2.3642784321831702
2100-Jan-06 12:00:00, 207.19341083700925, 2.3675986510718201, null, null, 207.19341083700925, 2.3675986510718201
2100-Jan-06 13:00:00, 207.31916275177008, 2.3690356179259044, null, null, 207.31916275177008, 2.3690356179259044
2100-Jan-06 14:00:00, 207.2640851201113, 2.3684062459497746, null, null, 207.2640851201113, 2.3684062459497746
2100-Jan-06 15:00:00, 207.04878530798078, 2.3659460154689067, null, null, 207.04878530798078, 2.3659460154689067
2100-Jan-06 16:00:00, 206.73946069795002, 2.3624113638287141, null, null, 206.73946069795002, 2.3624113638287141
2100-Jan-06 17:00:00, 206.41783352382001, 2.3587361308155499, null, null, 206.41783352382001, 2.3587361308155499
2100-Jan-06 18:00:00, 206.15241889804918, 2.355703238469161, null, null, 206.15241889804918, 2.355703238469161
2100-Jan-06 19:00:00, 205.98007128743723, 2.3537338227008124, null, null, 205.98007128743723, 2.3537338227008124
2100-Jan-06 20:00:00, 205.90982840193738, 2.352931157402312, null, null, 205.90982840193738, 2.352931157402312
2100-Jan-06 21:00:00, 205.93731462053989, 2.353245242361981, null, null, 205.93731462053989, 2.353245242361981
2100-Jan-06 22:00:00, 206.04512013373454, 2.3544771357247409, null, null, 206.04512013373454, 2.3544771357247409
2100-Jan-06 23:00:00, 206.22022224363724, 2.3564780271504415, null, null, 206.22022224363724, 2.3564780271504415
2100-Jan-07 00:00:00, 206.45418200405172, 2.3591514848194124, null, null, 206.45418200405172, 2.3591514848194124
2100-Jan-07 01:00:00, 206.74034762208521, 2.3624214987088608, null, null, 206.74034762208521, 2.3624214987088608
2100-Jan-07 02:00:00, 207.07501877334448, 2.3662457852200638, null, null, 207.07501877334448, 2.3662457852200638
2100-Jan-07 03:00:00, 207.46073495936855, 2.3706533632315363, null, null, 207.46073495936855, 2.3706533632315363
2100-Jan-07 04:00:00, 207.8883331205418, 2.3755395264811532, null, null, 207.8883331205418, 2.3755395264811532
2100-Jan-07 05:00:00, 208.34704159895171, 2.3807811872575804, null, null, 208.34704159895171, 2.3807811872575804
2100-Jan-07 06:00:00, 208.82417326223856, 2.3862333697271776, null, null, 208.82417326223856, 2.3862333697271776
2100-Jan-07 07:00:00, 209.30945214373318, 2.3917786504413607, null, null, 209.30945214373318, 2.3917786504413607
2100-Jan-07 08:00:00, 209.7875205038066, 2.397241536543083, null, null, 209.7875205038066, 2.397241536543083
2100-Jan-07 09:00:00, 210.23259752939938, 2.4023274307380751, null, null, 210.23259752939938, 2.4023274307380751
2100-Jan-07 10:00:00, 210.61044155406015, 2.4066450535789197, null, null, 210.61044155406015, 2.4066450535789197
2100-Jan-07 11:00:00, 210.87219802512564, 2.4096361441995162, null, null, 210.87219802512564, 2.4096361441995162
2100-Jan-07 12:00:00, 210.98461468366838, 2.4109207291100527, null, null, 210.98461468366838, 2.4109207291100527
2100-Jan-07 13:00:00, 210.95295851643885, 2.4105589941565713, null, null, 210.95295851643885, 2.4105589941565713
2100-Jan-07 14:00:00, 210.8106323427499, 2.408932633282078, null, null, 210.8106323427499, 2.408932633282078
2100-Jan-07 15:00:00, 210.60288690598534, 2.406558726631943, null, null, 210.60288690598534, 2.406558726631943
2100-Jan-07 16:00:00, 210.37898034762131, 2.404000146880747, null, null, 210.37898034762131, 2.404000146880747
2100-Jan-07 17:00:00, 210.17851792292203, 2.4017094631935039, null, null, 210.17851792292203, 2.4017094631935039
2100-Jan-07 18:00:00, 210.02604761728432, 2.3999671853454871, null, null, 210.02604761728432, 2.3999671853454871
2100-Jan-07 19:00:00, 209.93244327872193, 2.3988975687740939, null, null, 209.93244327872193, 2.3988975687740939
2100-Jan-07 20:00:00, 209.89806365359576, 2.3985047128732027, null, null, 209.89806365359576, 2.3985047128732027
2100-Jan-07 21:00:00, 209.91779262153102, 2.3987301557465153, null, null, 209.91779262153102, 2.3987301557465153
2100-Jan-07 22:00:00, 209.9835600805076, 2.3994816803559531, null, null, 209.9835600805076, 2.3994816803559531
2100-Jan-07 23:00:00, 210.09343550585911, 2.4007372266003886, null, null, 210.09343550585911, 2.4007372266003886
2100-Jan-08 00:00:00, 210.24778866960901, 2.4025010198639225, null, null, 210.24778866960901, 2.4025010198639225
2100-Jan-08 01:00:00, 210.44162857877828, 2.4047160280807334, null, null, 210.44162857877828, 2.4047160280807334
2100-Jan-08 02:00:00, 210.66727822963472, 2.4072945261460159, null, null, 210.66727822963472, 2.4072945261460159
2100-Jan-08 03:00:00, 210.91606749779595, 2.4101374405674743, null, null, 210.91606749779595, 2.4101374405674743
2100-Jan-08 04:00:00, 211.18285610165375, 2.4131860333584485, null, null, 211.18285610165375, 2.4131860333584485
2100-Jan-08 05:00:00, 211.46587301935907, 2.4164200670561549, null, null, 211.46587301935907, 2.4164200670561549
2100-Jan-08 06:00:00, 211.76759686923532, 2.4198678648267373, null, null, 211.76759686923532, 2.4198678648267373
2100-Jan-08 07:00:00, 212.09079793606654, 2.4235610827083454, null, null, 212.09079793606654, 2.4235610827083454
2100-Jan-08 08:00:00, 212.42682837492305, 2.4274009017959397, null, null, 212.42682837492305, 2.4274009017959397
2100-Jan-08 09:00:00, 212.74568652730179, 2.4310444932036268, null, null, 212.74568652730179, 2.4310444932036268
2100-Jan-08 10:00:00, 212.99922552094375, 2.4339416827277334, null, null, 212.99922552094375, 2.4339416827277334
2100-Jan-08 11:00:00, 213.14262546592929, 2.4355803135844769, null, null, 213.14262546592929, 2.4355803135844769
2100-Jan-08 12:00:00, 213.14549609486176, 2.4356131162549906, null, null, 213.14549609486176, 2.4356131162549906
2100-Jan-08 13:00:00, 212.99247862590201, 2.4338645859728931, null, null, 212.99247862590201, 2.4338645859728931
2100-Jan-08 14:00:00, 212.67494973946734, 2.4302361840842326, null, null, 212.67494973946734, 2.4302361840842326
2100-Jan-08 15:00:00, 212.21128092673575, 2.424937841578394, null, null, 212.21128092673575, 2.424937841578394
2100-Jan-08 16:00:00, 211.65557591777358, 2.4185878016601472, null, null, 211.65557591777358, 2.4185878016601472
2100-Jan-08 17:00:00, 211.08092323513955, 2.4120212467164217, null, null, 211.08092323513955, 2.4120212467164217
2100-Jan-08 18:00:00, 210.55628553930634, 2.406026212917141, null, null, 210.55628553930634, 2.406026212917141
2100-Jan-08 19:00:00, 210.12285747587921, 2.4010734313872595, null, null, 210.12285747587921, 2.4010734313872595
2100-Jan-08 20:00:00, 209.80657806973926, 2.397459307307185, null, null, 209.80657806973926, 2.397459307307185
2100-Jan-08 21:00:00, 209.6083518851234, 2.395194177130469, null, null, 209.6083518851234, 2.395194177130469
2100-Jan-08 22:00:00, 209.5085196453303, 2.3940533943453759, null, null, 209.5085196453303, 2.3940533943453759
2100-Jan-08 23:00:00, 209.48500458404652, 2.3937846877916757, null, null, 209.48500458404652, 2.3937846877916757
2100-Jan-09 00:00:00, 209.53212804323309, 2.3943231674564163, null, null, 209.53212804323309, 2.3943231674564163
2100-Jan-09 01:00:00, 209.65457468942401, 2.3957223650138038, null, null, 209.65457468942401, 2.3957223650138038
2100-Jan-09 02:00:00, 209.845566994, 2.3979048336591746, null, null, 209.845566994, 2.3979048336591746
2100-Jan-09 03:00:00, 210.09445607871913, 2.400748888684221, null, null, 210.09445607871913, 2.400748888684221
2100-Jan-09 04:00:00, 210.39263923620408, 2.404156226970616, null, null, 210.39263923620408, 2.404156226970616
2100-Jan-09 05:00:00, 210.73727442194885, 2.4080943724820245, null, null, 210.73727442194885, 2.4080943724820245
2100-Jan-09 06:00:00, 211.12550198206762, 2.4125306479597675, null, null, 211.12550198206762, 2.4125306479597675
2100-Jan-09 07:00:00, 211.54966486325756, 2.4173775562725517, null, null, 211.54966486325756, 2.4173775562725517
2100-Jan-09 08:00:00, 211.98559849212921, 2.422358968893271, null, null, 211.98559849212921, 2.422358968893271
2100-Jan-09 09:00:00, 212.38699566396323, 2.4269457334951912, null, null, 212.38699566396323, 2.4269457334951912
2100-Jan-09 10:00:00, 212.70272067958479, 2.430553522556028, null, null, 212.70272067958479, 2.430553522556028
2100-Jan-09 11:00:00, 212.89326482709529, 2.4327308701115946, null, null, 212.89326482709529, 2.4327308701115946
2100-Jan-09 12:00:00, 212.93706687426982, 2.4332313960085603, null, null, 212.93706687426982, 2.4332313960085603
2100-Jan-09 13:00:00, 212.83040125400896, 2.4320125281998539, null, null, 212.83040125400896, 2.4320125281998539
2100-Jan-09 14:00:00, 212.57941839083628, 2.4291445475730122, null, null, 212.57941839083628, 2.4291445475730122
2100-Jan-09 15:00:00, 212.19439260342955, 2.4247448587450253, null, null, 212.19439260342955, 2.4247448587450253
2100-Jan-09 16:00:00, 211.70558401164797, 2.419159244039137, null, null, 211.70558401164797, 2.419159244039137
2100-Jan-09 17:00:00, 211.17575089364158, 2.4131048421620815, null, null, 211.17575089364158, 2.4131048421620815
2100-Jan-09 18:00:00, 210.67300116933026, 2.4073599221653614, null, null, 210.67300116933026, 2.4073599221653614
2100-Jan-09 19:00:00, 210.24783773174903, 2.4025015804968888, null, null, 210.24783773174903, 2.4025015804968888
2100-Jan-09 20:00:00, 209.92407936389714, 2.3988019943377403, null, null, 209.92407936389714, 2.3988019943377403
2100-Jan-09 21:00:00, 209.70085558818752, 2.3962512167424386, null, null, 209.70085558818752, 2.3962512167424386
2100-Jan-09 22:00:00, 209.56694489829621, 2.3947210195828377, null, null, 209.56694489829621, 2.3947210195828377
2100-Jan-09 23:00:00, 209.50968084314809, 2.3940666633502921, null, null, 209.50968084314809, 2.3940666633502921
