Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 122.95311058311547, 1.404984924885802, null, null, 122.95311058311547, 1.404984924885802
2100-Jan-01 01:00:00, 123.01663980708742, 1.4057108731887522, null, null, 123.01663980708742, 1.4057108731887522
2100-Jan-01 02:00:00, 123.1910902208441, 1.4077043176840223, null, null, 123.1910902208441, 1.4077043176840223
2100-Jan-01 03:00:00, 123.47041011469709, 1.4108961054982789, null, null, 123.47041011469709, 1.4108961054982789
2100-Jan-01 04:00:00, 123.84508248172546, 1.4151774858143165, null, null, 123.84508248172546, 1.4151774858143165
2100-Jan-01 05:00:00, 124.3067084228537, 1.4204524844308255, null, null, 124.3067084228537, 1.4204524844308255
2100-Jan-01 06:00:00, 124.84404342796303, 1.4265926103553477, null, null, 124.84404342796303, 1.4265926103553477
2100-Jan-01 07:00:00, 125.4411004129487, 1.4334151792128926, null, null, 125.4411004129487, 1.4334151792128926
2100-Jan-01 08:00:00, 126.0626696640804, 1.4405178496819107, null, null, 126.0626696640804, 1.4405178496819107
2100-Jan-01 09:00:00, 126.64571364144098, 1.4471802919320667, null, null, 126.64571364144098, 1.4471802919320667
2100-Jan-01 10:00:00, 127.11713101765227, 1.4525671772557882, null, null, 127.11713101765227, 1.4525671772557882
2100-Jan-01 11:00:00, 127.40206708753549, 1.455823141101221, null, null, 127.40206708753549, 1.455823141101221
2100-Jan-01 12:00:00, 127.45318392785177, 1.4564072531233696, null, null, 127.45318392785177, 1.4564072531233696
2100-Jan-01 13:00:00, 127.25836485004999, 1.4541810559487431, null, null, 127.25836485004999, 1.4541810559487431
2100-Jan-01 14:00:00, 126.83694513028239, 1.4493654937355138, null, null, 126.83694513028239, 1.4493654937355138
2100-Jan-01 15:00:00, 126.24293744258044, 1.4425777691913402, null, null, 126.24293744258044, 1.4425777691913402
2100-Jan-01 16:00:00, 125.5531852324102, 1.4346959721989756, null, null, 125.5531852324102, 1.4346959721989756
