Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 27.672778994614429, 9.0789957331412143, null, null, 27.672778994614429, 9.0789957331412143
2100-Jan-01 01:00:00, 28.31545529676379, 9.2898475383083277, null, null, 28.31545529676379, 9.2898475383083277
2100-Jan-01 02:00:00, 29.026837471677798, 9.5232406403142349, null, null, 29.026837471677798, 9.5232406403142349
2100-Jan-01 03:00:00, 29.797273007936678, 9.776008204703631, null, null, 29.797273007936678, 9.776008204703631
2100-Jan-01 04:00:00, 30.587702275876328, 10.035335392347873, null, null, 30.587702275876328, 10.035335392347873
2100-Jan-01 05:00:00, 31.398238821590194, 10.301259455902292, null, null, 31.398238821590194, 10.301259455902292
2100-Jan-01 06:00:00, 32.204128153031682, 10.565658842858161, null, null, 32.204128153031682, 10.565658842858161
2100-Jan-01 07:00:00, 32.964597817371384, 10.815156764229453, null, null, 32.964597817371384, 10.815156764229453
2100-Jan-01 08:00:00, 33.54362386930228, 11.005125941372135, null, null, 33.54362386930228, 11.005125941372135
2100-Jan-01 09:00:00, 33.765133780594347, 11.077799796782919, null, null, 33.765133780594347, 11.077799796782919
2100-Jan-01 10:00:00, 33.553918377794517, 11.008503404788224, null, null, 33.553918377794517, 11.008503404788224
2100-Jan-01 11:00:00, 32.857333731333341, 10.77996513495188, null, null, 32.857333731333341, 10.77996513495188
2100-Jan-01 12:00:00, 31.791583466510481, 10.430309536256717, null, null, 31.791583466510481, 10.430309536256717
2100-Jan-01 13:00:00, 30.51073668781747, 10.010084215163209, null, null, 30.51073668781747, 10.010084215163209
2100-Jan-01 14:00:00, 29.17119224357706, 9.5706011297824976, null, null, 29.17119224357706, 9.5706011297824976
2100-Jan-01 15:00:00, 27.972167112831563, 9.1772201813751817, null, null, 27.972167112831563, 9.1772201813751817
2100-Jan-01 16:00:00, 27.061137338592037, 8.8783258984881979, null, null, 27.061137338592037, 8.8783258984881979
2100-Jan-01 17:00:00, 26.541219870205452, 8.707749301248505, null, null, 26.541219870205452, 8.707749301248505
2100-Jan-01 18:00:00, 26.412298906407763, 8.6654523971154056, null, null, 26.412298906407763, 8.6654523971154056
2100-Jan-01 19:00:00, 26.598225016301676, 8.7264517770018593, null, null, 26.598225016301676, 8.7264517770018593
2100-Jan-01 20:00:00, 26.98189381804459, 8.8523273681248629, null, null, 26.98189381804459, 8.8523273681248629
2100-Jan-01 21:00:00, 27.478858457170688, 9.0153735095704324, null, null, 27.478858457170688, 9.0153735095704324
2100-Jan-01 22:00:00, 28.026518424552556, 9.1950519765592347, null, null, 28.026518424552556, 9.1950519765592347
2100-Jan-01 23:00:00, 28.600211491253049, 9.3832714866315747, null, null, 28.600211491253049, 9.3832714866315747
2100-Jan-02 00:00:00, 29.220249503785244, 9.5866960314256016, null, null, 29.220249503785244, 9.5866960314256016
2100-Jan-02 01:00:00, 29.896788303171128, 9.8086575797805509, null, null, 29.896788303171128, 9.8086575797805509
2100-Jan-02 02:00:00, 30.607180248612114, 10.041725803350428, null, null, 30.607180248612114, 10.041725803350428
2100-Jan-02 03:00:00, 31.324730885315226, 10.277142678909192, null, null, 31.324730885315226, 10.277142678909192
2100-Jan-02 04:00:00, 32.052414331182568, 10.515883966923411, null, null, 32.052414331182568, 10.515883966923411
2100-Jan-02 05:00:00, 32.761789919399284, 10.748618739960392, null, null, 32.761789919399284, 10.748618739960392
2100-Jan-02 06:00:00, 33.463886003118994, 10.978965224120401, null, null, 33.463886003118994, 10.978965224120401
2100-Jan-02 07:00:00, 34.14157571335253, 11.201304367897809, null, null, 34.14157571335253, 11.201304367897809
2100-Jan-02 08:00:00, 34.655255826421779, 11.369834588721053, null, null, 34.655255826421779, 11.369834588721053
2100-Jan-02 09:00:00, 34.859065884360234, 11.436701405629995, null, null, 34.859065884360234, 11.436701405629995
2100-Jan-02 10:00:00, 34.679717928753597, 11.377860212845665, null, null, 34.679717928753597, 11.377860212845665
2100-Jan-02 11:00:00, 34.019673844019721, 11.161310316279433, null, null, 34.019673844019721, 11.161310316279433
2100-Jan-02 12:00:00, 33.029695026461248, 10.836514116293056, null, null, 33.029695026461248, 10.836514116293056
2100-Jan-02 13:00:00, 31.821993247691058, 10.440286498586302, null, null, 31.821993247691058, 10.440286498586302
2100-Jan-02 14:00:00, 30.337234475886103, 9.953160917285464, null, null, 30.337234475886103, 9.953160917285464
2100-Jan-02 15:00:00, 28.813111447426525, 9.453120553617623, null, null, 28.813111447426525, 9.453120553617623
2100-Jan-02 16:00:00, 27.606508291332023, 9.057253376421265, null, null, 27.606508291332023, 9.057253376421265
2100-Jan-02 17:00:00, 26.871599322056142, 8.8161415098609357, null, null, 26.871599322056142, 8.8161415098609357
2100-Jan-02 18:00:00, 26.586855965073546, 8.7227217733180904, null, null, 26.586855965073546, 8.7227217733180904
2100-Jan-02 19:00:00, 26.690517918877994, 8.7567316006817535, null, null, 26.690517918877994, 8.7567316006817535
2100-Jan-02 20:00:00, 27.072669553121955, 8.8821094334389592, null, null, 27.072669553121955, 8.8821094334389592
2100-Jan-02 21:00:00, 27.633610165381491, 9.0661450673823758, null, null, 27.633610165381491, 9.0661450673823758
2100-Jan-02 22:00:00, 28.287747655204861, 9.2807571047260016, null, null, 28.287747655204861, 9.2807571047260016
2100-Jan-02 23:00:00, 28.919191508711876, 9.487923723330665, null, null, 28.919191508711876, 9.487923723330665
2100-Jan-03 00:00:00, 29.515943865019402, 9.6837086171323463, null, null, 29.515943865019402, 9.6837086171323463
2100-Jan-03 01:00:00, 30.105975774275368, 9.87728863985412, null, null, 30.105975774275368, 9.87728863985412
2100-Jan-03 02:00:00, 30.718249913914207, 10.078165982255314, null, null, 30.718249913914207, 10.078165982255314
2100-Jan-03 03:00:00, 31.343942454521937, 10.28344568717911, null, null, 31.343942454521937, 10.28344568717911
2100-Jan-03 04:00:00, 31.956718404725564, 10.484487665592374, null, null, 31.956718404725564, 10.484487665592374
2100-Jan-03 05:00:00, 32.545072239864808, 10.677517139063253, null, null, 32.545072239864808, 10.677517139063253
2100-Jan-03 06:00:00, 33.068285285438371, 10.84917496241416, null, null, 33.068285285438371, 10.84917496241416
2100-Jan-03 07:00:00, 33.582179031745113, 11.017775272882252, null, null, 33.582179031745113, 11.017775272882252
2100-Jan-03 08:00:00, 34.024238999844719, 11.162808070815194, null, null, 34.024238999844719, 11.162808070815194
2100-Jan-03 09:00:00, 34.260572889117924, 11.240345436062308, null, null, 34.260572889117924, 11.240345436062308
2100-Jan-03 10:00:00, 34.184892411514859, 11.215515883042929, null, null, 34.184892411514859, 11.215515883042929
2100-Jan-03 11:00:00, 33.757812625361609, 11.075397842966403, null, null, 33.757812625361609, 11.075397842966403
2100-Jan-03 12:00:00, 32.979415394709271, 10.820018174117212, null, null, 32.979415394709271, 10.820018174117212
2100-Jan-03 13:00:00, 31.90522098613431, 10.467592187051936, null, null, 31.90522098613431, 10.467592187051936
2100-Jan-03 14:00:00, 30.642877666035666, 10.053437554473641, null, null, 30.642877666035666, 10.053437554473641
2100-Jan-03 15:00:00, 29.359296668365847, 9.6323151799100515, null, null, 29.359296668365847, 9.6323151799100515
2100-Jan-03 16:00:00, 28.23655909467961, 9.2639629575720477, null, null, 28.23655909467961, 9.2639629575720477
2100-Jan-03 17:00:00, 27.455277734818129, 9.0076370521056823, null, null, 27.455277734818129, 9.0076370521056823
2100-Jan-03 18:00:00, 27.082107691588568, 8.8852059355605508, null, null, 27.082107691588568, 8.8852059355605508
2100-Jan-03 19:00:00, 27.057658794999735, 8.877184644028782, null, null, 27.057658794999735, 8.877184644028782
2100-Jan-03 20:00:00, 27.274727782880383, 8.9484015035696771, null, null, 27.274727782880383, 8.9484015035696771
2100-Jan-03 21:00:00, 27.605929360434512, 9.0570634384627642, null, null, 27.605929360434512, 9.0570634384627642
2100-Jan-03 22:00:00, 28.058750897692711, 9.2056269349385502, null, null, 28.058750897692711, 9.2056269349385502
2100-Jan-03 23:00:00, 28.633387542223218, 9.3941560177897667, null, null, 28.633387542223218, 9.3941560177897667
2100-Jan-04 00:00:00, 29.292397236667608, 9.6103665474631228, null, null, 29.292397236667608, 9.6103665474631228
2100-Jan-04 01:00:00, 29.932766487956162, 9.8204614461798396, null, null, 29.932766487956162, 9.8204614461798396
2100-Jan-04 02:00:00, 30.56845905752758, 10.029022000501172, null, null, 30.56845905752758, 10.029022000501172
2100-Jan-04 03:00:00, 31.213170561248365, 10.240541522719276, null, null, 31.213170561248365, 10.240541522719276
2100-Jan-04 04:00:00, 31.900307803764811, 10.465980250579003, null, null, 31.900307803764811, 10.465980250579003
2100-Jan-04 05:00:00, 32.632000956604394, 10.706037059253406, null, null, 32.632000956604394, 10.706037059253406
2100-Jan-04 06:00:00, 33.375539866619093, 10.949980271200486, null, null, 33.375539866619093, 10.949980271200486
2100-Jan-04 07:00:00, 34.023211337666211, 11.162470911307809, null, null, 34.023211337666211, 11.162470911307809
2100-Jan-04 08:00:00, 34.587139503646249, 11.347486713794698, null, null, 34.587139503646249, 11.347486713794698
2100-Jan-04 09:00:00, 35.024475929589528, 11.490969793172415, null, null, 35.024475929589528, 11.490969793172415
2100-Jan-04 10:00:00, 35.265553314691601, 11.570063423455247, null, null, 35.265553314691601, 11.570063423455247
2100-Jan-04 11:00:00, 35.1710257805358, 11.53905045293169, null, null, 35.1710257805358, 11.53905045293169
2100-Jan-04 12:00:00, 34.792464096572758, 11.41485042538476, null, null, 34.792464096572758, 11.41485042538476
2100-Jan-04 13:00:00, 34.235850084850462, 11.232234279806578, null, null, 34.235850084850462, 11.232234279806578
2100-Jan-04 14:00:00, 33.600310951745691, 11.02372406553336, null, null, 33.600310951745691, 11.02372406553336
2100-Jan-04 15:00:00, 32.979013522315007, 10.819886326218832, null, null, 32.979013522315007, 10.819886326218832
2100-Jan-04 16:00:00, 32.464216000712206, 10.650989501545997, null, null, 32.464216000712206, 10.650989501545997
2100-Jan-04 17:00:00, 32.089071821470064, 10.527910702582039, null, null, 32.089071821470064, 10.527910702582039
2100-Jan-04 18:00:00, 31.885162664350041, 10.461011372818252, null, null, 31.885162664350041, 10.461011372818252
2100-Jan-04 19:00:00, 31.844269586529546, 10.447595008703916, null, null, 31.844269586529546, 10.447595008703916
2100-Jan-04 20:00:00, 31.899166671425132, 10.465605863328452, null, null, 31.899166671425132, 10.465605863328452
2100-Jan-04 21:00:00, 32.065626011175354, 10.52021850760346, null, null, 32.065626011175354, 10.52021850760346
2100-Jan-04 22:00:00, 32.28816001594501, 10.593228351687992, null, null, 32.28816001594501, 10.593228351687992
2100-Jan-04 23:00:00, 32.550970177837321, 10.679452158083107, null, null, 32.550970177837321, 10.679452158083107
2100-Jan-05 00:00:00, 32.840233330315264, 10.774354767163798, null, null, 32.840233330315264, 10.774354767163798
2100-Jan-05 01:00:00, 33.164645946585551, 10.880789352554311, null, null, 33.164645946585551, 10.880789352554311
2100-Jan-05 02:00:00, 33.538394597217888, 11.0034103009245, null, null, 33.538394597217888, 11.0034103009245
2100-Jan-05 03:00:00, 33.93075637887403, 11.13213791957809, null, null, 33.93075637887403, 11.13213791957809
2100-Jan-05 04:00:00, 34.342146164908051, 11.267108321820224, null, null, 34.342146164908051, 11.267108321820224
2100-Jan-05 05:00:00, 34.769196606178618, 11.407216734310566, null, null, 34.769196606178618, 11.407216734310566
2100-Jan-05 06:00:00, 35.144548361800631, 11.530363635761358, null, null, 35.144548361800631, 11.530363635761358
2100-Jan-05 07:00:00, 35.506707828327364, 11.649182358375116, null, null, 35.506707828327364, 11.649182358375116
2100-Jan-05 08:00:00, 35.838768832353743, 11.758126257333902, null, null, 35.838768832353743, 11.758126257333902
2100-Jan-05 09:00:00, 36.004147224989381, 11.812384260167116, null, null, 36.004147224989381, 11.812384260167116
2100-Jan-05 10:00:00, 35.821847387624423, 11.75257460223898, null, null, 35.821847387624423, 11.75257460223898
2100-Jan-05 11:00:00, 35.222430176653027, 11.555915412287735, null, null, 35.222430176653027, 11.555915412287735
2100-Jan-05 12:00:00, 34.344928184561454, 11.268021057926983, null, null, 34.344928184561454, 11.268021057926983
2100-Jan-05 13:00:00, 33.339401521939003, 10.938123858903868, null, null, 33.339401521939003, 10.938123858903868
2100-Jan-05 14:00:00, 32.226517959689517, 10.573004579950625, null, null, 32.226517959689517, 10.573004579950625
2100-Jan-05 15:00:00, 31.1448731553063, 10.218134237305213, null, null, 31.1448731553063, 10.218134237305213
2100-Jan-05 16:00:00, 30.22627858903514, 9.9167580672687432, null, null, 30.22627858903514, 9.9167580672687432
2100-Jan-05 17:00:00, 29.59045659149664, 9.7081550497036186, null, null, 29.59045659149664, 9.7081550497036186
2100-Jan-05 18:00:00, 29.27593363030887, 9.6049651018073696, null, null, 29.27593363030887, 9.6049651018073696
2100-Jan-05 19:00:00, 29.261698154481302, 9.600294670105411, null, null, 29.261698154481302, 9.600294670105411
2100-Jan-05 20:00:00, 29.488388751980565, 9.674668225715406, null, null, 29.488388751980565, 9.674668225715406
