Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 746.65062934146079, 3.4183399088139508, 612.16916442647096, 6.3939517621032778, 134.48146491498986, 1.0961702361121255
2100-Jan-01 01:00:00, 750.57555941199007, 3.4363091498112133, 616.06267192817302, 6.434618461110559, 134.51288748381711, 1.0964263642314347
2100-Jan-01 02:00:00, 754.8594069672456, 3.4559215983727589, 620.31514035777491, 6.479034416027555, 134.54426660947064, 1.0966821382416179
2100-Jan-01 03:00:00, 759.47507568613923, 3.4770532012504987, 624.89947353838272, 6.5269166141544046, 134.57560214775648, 1.0969375569673376
2100-Jan-01 04:00:00, 764.44126704843552, 3.4997895781601613, 629.83437314834566, 6.5784603897813376, 134.60689390008991, 1.0971926187899121
2100-Jan-01 05:00:00, 769.77476641776138, 3.5242075763929908, 635.13662481714789, 6.6338410645538337, 134.63814160061355, 1.0974473215423144
2100-Jan-01 06:00:00, 775.35092826126879, 3.5497365397643588, 640.68158335542228, 6.6917567510615097, 134.66934490584654, 1.0977016624248022
2100-Jan-01 07:00:00, 781.03934359867139, 3.5757794256893365, 646.33884020738333, 6.7508453649925233, 134.70050339128807, 1.0979556379772319
2100-Jan-01 08:00:00, 786.25251003792255, 3.5996465118341634, 651.52089348736149, 6.8049705980592226, 134.73161655056109, 1.0982092440720796
2100-Jan-01 09:00:00, 789.70531303534278, 3.6154542454910197, 654.94262923411827, 6.8407097606613192, 134.76268380122454, 1.0984624759618173
2100-Jan-01 10:00:00, 790.53430170404363, 3.6192495480579967, 655.74059721052242, 6.8490443339219826, 134.7937044935212, 1.0987153283502167
2100-Jan-01 11:00:00, 787.9158659749512, 3.6072617414457993, 653.09118805114713, 6.8213719267712714, 134.8246779238041, 1.0989677955017894
2100-Jan-01 12:00:00, 782.32081172738867, 3.581646284262979, 647.46520837853507, 6.7626099950510463, 134.85560334885355, 1.0992198713584864
2100-Jan-01 13:00:00, 774.70334679637813, 3.5467717614883445, 639.81686679241386, 6.6827250057318546, 134.88648000396429, 1.0994715496871281
2100-Jan-01 14:00:00, 766.12922285812306, 3.5075174316994513, 631.21191573809313, 6.5928484729794521, 134.91730712002996, 1.099722824218661
2100-Jan-01 15:00:00, 757.84889460082877, 3.4696081667398091, 622.90081065863319, 6.5060410869563015, 134.94808394219564, 1.0999736888001961
2100-Jan-01 16:00:00, 750.83701736691296, 3.4375061650237737, 615.85820762169215, 6.4324828832528675, 134.97880974522076, 1.100224137520234
2100-Jan-01 17:00:00, 745.7730666994936, 3.4143222233213848, 610.76358285110155, 6.3792708188071003, 135.00948384839202, 1.1004741648302208
2100-Jan-01 18:00:00, 742.87928177485401, 3.4010738041723321, 607.83917614742893, 6.3487261320070516, 135.04010562742502, 1.1007237656415592
2100-Jan-01 19:00:00, 741.9411280846316, 3.3967787187952303, 606.87045356237161, 6.3386080701384513, 135.07067452225994, 1.1009729353891526
2100-Jan-01 20:00:00, 742.44444289775799, 3.3990830108493664, 607.34325285644672, 6.3435463389294071, 135.1011900413113, 1.1012216700660449
2100-Jan-01 21:00:00, 743.91995346185422, 3.4058382407372392, 608.78830170009974, 6.3586395078394364, 135.13165176175454, 1.1014699662257554
2100-Jan-01 22:00:00, 746.01658476628495, 3.4154371055615087, 610.85452544188718, 6.3802206911175565, 135.16205932439777, 1.1017178209404799
2100-Jan-01 23:00:00, 748.62510713793574, 3.4273795265220488, 613.43269471171845, 6.4071490156784359, 135.19241242621729, 1.1019652317402453
2100-Jan-02 00:00:00, 751.81758845296235, 3.4419954470857577, 616.59487764457731, 6.4401772149255976, 135.22271080838499, 1.1022121965153211
2100-Jan-02 01:00:00, 755.63146214547623, 3.4594562462038065, 620.37850790154596, 6.479696273961113, 135.25295424393025, 1.1024587134156496
2100-Jan-02 02:00:00, 760.00333971943292, 3.4794717166262794, 624.72019719753632, 6.5250441182136258, 135.28314252189665, 1.1027047807217067
2100-Jan-02 03:00:00, 764.88913218803782, 3.5018400087368011, 629.57585675459222, 6.5757602515721203, 135.31327543344565, 1.1029503967312311
2100-Jan-02 04:00:00, 770.21980359770475, 3.5262450599138284, 634.87645083938855, 6.6311236132998062, 135.34335275831617, 1.1031955596488554
2100-Jan-02 05:00:00, 775.90524706579868, 3.5522743399312211, 640.53187281234909, 6.6901930623847283, 135.37337425344964, 1.1034402674933876
2100-Jan-02 06:00:00, 781.95202606659882, 3.5799578978978754, 646.54868642202689, 6.7530371555168758, 135.40333964457196, 1.1036845180291956
2100-Jan-02 07:00:00, 788.18647054074142, 3.6085006319662076, 652.75322192030956, 6.8178419561955321, 135.43324862043184, 1.1039283087192431
2100-Jan-02 08:00:00, 794.0510902716361, 3.63535022250873, 658.58798943960664, 6.8787846240550365, 135.46310083202945, 1.1041716367188013
2100-Jan-02 09:00:00, 798.39273956114073, 3.6552273008277791, 662.89984366815088, 6.9238208485900667, 135.49289589298985, 1.1044144988784943
2100-Jan-02 10:00:00, 800.32862580505741, 3.6640902374496109, 664.80599242032667, 6.9437300891742835, 135.52263338473074, 1.104656891786421
2100-Jan-02 11:00:00, 798.70245922894674, 3.6566452693654066, 663.15014636490014, 6.9264351968159179, 135.55231286404657, 1.1048988118299741
2100-Jan-02 12:00:00, 794.21877386944061, 3.6361179169455973, 658.63683999688681, 6.8792948557441704, 135.58193387255375, 1.1051402552728287
2100-Jan-02 13:00:00, 787.6525938816385, 3.6060564206865555, 652.04109793400028, 6.8104040016534011, 135.61149594763819, 1.1053812183441765
2100-Jan-02 14:00:00, 777.66207565539128, 3.5603175090450625, 642.02107702061005, 6.705747422886474, 135.64099863478125, 1.1056216973391964
