Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 946.07300984247217, 1.8448270155092945, 707.41406096035098, 3.9659070727593959, 238.65894888212117, 0.71358431830923852
2100-Jan-01 01:00:00, 947.4834481513634, 1.8475773473218309, 708.77245244229573, 3.9735224916252685, 238.71099570906767, 0.71373993702666239
2100-Jan-01 02:00:00, 949.06069103367633, 1.8506529453454921, 710.2977108174224, 3.9820734002253722, 238.76298021625391, 0.71389536940955389
2100-Jan-01 03:00:00, 950.78969996917135, 1.8540244847098688, 711.97479816337113, 3.991475492909117, 238.81490180580016, 0.71405061367026756
2100-Jan-01 04:00:00, 952.67533243040998, 1.8577014374076246, 713.80857258053447, 4.0017560051751584, 238.86675984987548, 0.71420566793160434
2100-Jan-01 05:00:00, 954.72726374544811, 1.8617026701714492, 715.80871006111192, 4.012969182603304, 238.91855368433616, 0.71436053020779122
2100-Jan-01 06:00:00, 956.92296239936763, 1.8659842469129129, 717.95267979683467, 4.0249887129009378, 238.97028260253293, 0.71451519838596433
2100-Jan-01 07:00:00, 959.22292945608069, 1.8704691453476672, 720.20098360289421, 4.0375931612123814, 239.02194585318651, 0.71466967021981742
2100-Jan-01 08:00:00, 961.48322074945099, 1.8748766766877951, 722.40967811158691, 4.0499755517485516, 239.07354263786414, 0.71482394332205645
2100-Jan-01 09:00:00, 963.334187176108, 1.878486031180707, 724.20911506348386, 4.0600635612020604, 239.12507211262411, 0.71497801516931658
2100-Jan-01 10:00:00, 964.38159053071809, 1.8805284507240374, 725.20505713833154, 4.0656470149905459, 239.17653339238652, 0.7151318831152309
2100-Jan-01 11:00:00, 964.23743664099015, 1.8802473529785209, 725.00951108559468, 4.0645507440561701, 239.22792555539542, 0.71528554440377223
2100-Jan-01 12:00:00, 962.82790680474477, 1.8774987926729003, 723.54865915238463, 4.0563609110659877, 239.27924765236011, 0.71543899619658491
2100-Jan-01 13:00:00, 960.35624309961406, 1.8726790885601723, 721.0257443863037, 4.0422169378727126, 239.33049871331039, 0.71559223559348217
2100-Jan-01 14:00:00, 957.1784155507064, 1.8664823764123109, 717.7967377925122, 4.0241144703151415, 239.38167775819414, 0.7157452596641326
2100-Jan-01 15:00:00, 953.75461941015055, 1.8598060295025247, 714.32183560495855, 4.0046334620580284, 239.43278380519203, 0.71589806547292079
2100-Jan-01 16:00:00, 950.52654218397936, 1.8535113312994944, 711.04272630376249, 3.9862501085347608, 239.48381588021687, 0.71605065010735025
2100-Jan-01 17:00:00, 947.85118986467273, 1.8482944376947565, 708.31641683922351, 3.9709658633032374, 239.5347730254492, 0.71620301070356474
2100-Jan-01 18:00:00, 945.93734557990808, 1.8445624723989704, 706.35169127286758, 3.9599512122669487, 239.5856543070405, 0.71635514446938031
2100-Jan-01 19:00:00, 944.82224226587516, 1.8423880390334584, 705.18578344701768, 3.9534148959171627, 239.63645881885751, 0.7165070486954811
2100-Jan-01 20:00:00, 944.39569990165444, 1.841556288345523, 704.70851421323528, 3.9507392275436803, 239.68718568841919, 0.71665872077317061
2100-Jan-01 21:00:00, 944.49366559744306, 1.8417473198624397, 704.75583151996273, 3.951004497986792, 239.73783407748033, 0.71681015819611638
2100-Jan-01 22:00:00, 944.96173767157723, 1.8426600528107264, 705.17333449016371, 3.9533451045336427, 239.78840318141349, 0.7169613585585024
2100-Jan-01 23:00:00, 945.71112662246048, 1.8441213491032229, 705.87223439649176, 3.9572632795242479, 239.83889222596872, 0.71711231954534072
2100-Jan-02 00:00:00, 946.72587696261485, 1.8461000957982858, 706.83657649813495, 3.9626695774373464, 239.88930046447996, 0.71726303892411825
2100-Jan-02 01:00:00, 948.01304232342386, 1.8486100473626408, 708.07341515320707, 3.9696035464389716, 239.93962717021685, 0.71741351452192936
2100-Jan-02 02:00:00, 949.56309804349394, 1.8516326308611448, 709.57322641382052, 3.978011793340646, 239.98987162967339, 0.7175637442054088
2100-Jan-02 03:00:00, 951.36422909386954, 1.8551448071790793, 711.32419595676436, 3.9878280846441019, 240.04003313710521, 0.71771372586439863
2100-Jan-02 04:00:00, 953.39450357643341, 1.8591038094710446, 713.30439259247726, 3.9989294696411246, 240.09011098395618, 0.71786345738033353
2100-Jan-02 05:00:00, 955.62520956242861, 1.863453649941927, 715.4851051065807, 4.0111549874257113, 240.14010445584785, 0.71801293661723964
2100-Jan-02 06:00:00, 958.04632111315038, 1.8681747781739615, 717.85630828820024, 4.0244484346271543, 240.19001282495014, 0.7181621613989233
2100-Jan-02 07:00:00, 960.61309191470446, 1.8731799395812359, 720.37325656740484, 4.0385589584817634, 240.23983534729956, 0.71831112950095211
2100-Jan-02 08:00:00, 963.15013439205052, 1.8781271312387613, 722.86056313119821, 4.0525033048523706, 240.28957126085234, 0.7184598386448342
2100-Jan-02 09:00:00, 965.31749056897911, 1.8823534406100586, 724.97827078672992, 4.0643756045882684, 240.33921978224913, 0.71860828648834452
2100-Jan-02 10:00:00, 966.7585333298116, 1.8851634506072052, 726.36975321784359, 4.072176538043963, 240.38878011196806, 0.71875647064093262
2100-Jan-02 11:00:00, 967.03532781397087, 1.8857031953592576, 726.59707637815927, 4.0734509579050471, 240.43825143581162, 0.71890438866816819
2100-Jan-02 12:00:00, 966.09998709184356, 1.8838792961306201, 725.61235416518093, 4.0679304049436702, 240.4876329266626, 0.71905203809699136
2100-Jan-02 13:00:00, 964.1250408561275, 1.8800281830220937, 723.58811710367411, 4.0565821203643768, 240.53692375245339, 0.71919941643954077
2100-Jan-02 14:00:00, 960.84997030605609, 1.8736418486001059, 720.26384722413195, 4.037945587455857, 240.58612308192409, 0.71934652121036979
2100-Jan-02 15:00:00, 956.56613237053944, 1.8652884341476414, 715.93090228064193, 4.013654217032804, 240.63523008989756, 0.71949334994221958
2100-Jan-02 16:00:00, 952.11297769530574, 1.8566048548005458, 711.42873373295026, 3.9884141446743242, 240.68424396235542, 0.71963990020119528
2100-Jan-02 17:00:00, 948.27540314087855, 1.8491216466988614, 707.54223923410825, 3.9666256662261103, 240.7331639067703, 0.71978616961765973
2100-Jan-02 18:00:00, 945.46235667990902, 1.8436362517524993, 704.68036752696071, 3.9505814314970209, 240.78198915294834, 0.71993215588875259
2100-Jan-02 19:00:00, 943.75953572051526, 1.8403157785165192, 702.92881676005754, 3.9407618817338621, 240.83071896045766, 0.72007785680060088
2100-Jan-02 20:00:00, 943.04819202145381, 1.8389286698476444, 702.16883940205162, 3.936501294129537, 240.8793526194022, 0.72022327023063304
2100-Jan-02 21:00:00, 943.13564983341234, 1.8390992111616233, 702.20776038064844, 3.9367194930498219, 240.92788945276394, 0.72036839415458209
