Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1537.5543099110207, 1.6102845518390008, 878.80082741985586, 6.568981514220666, 658.75348249116485, 0.80232707002541437
2100-Jan-01 01:00:00, 1547.6629404249645, 1.6208713463684206, 888.90362788394521, 6.6444993191882711, 658.75931254101931, 0.8023341707192887
2100-Jan-01 02:00:00, 1558.6927576321061, 1.632422902072034, 899.93516914566783, 6.7269594038406462, 658.75758848643829, 0.80233207091154979
2100-Jan-01 03:00:00, 1570.5734131512415, 1.6448655429107122, 911.82470880959431, 6.8158329731728839, 658.74870434164723, 0.8023212504907864
2100-Jan-01 04:00:00, 1583.3509979281189, 1.6582475400495382, 924.61764604995324, 6.9114593831880322, 658.73335187816554, 0.80230255199829981
2100-Jan-01 05:00:00, 1597.0666250731335, 1.672611951353929, 938.35417616110033, 7.0141390912108266, 658.71244891203321, 0.80227709328571983
2100-Jan-01 06:00:00, 1611.4003784956737, 1.6876237278859214, 952.71330777331411, 7.1214727067216703, 658.68707072235964, 0.80224618398640746
2100-Jan-01 07:00:00, 1626.0176227443167, 1.7029324050834178, 967.35923320297979, 7.2309500881763462, 658.65838954133699, 0.80221125181747577
2100-Jan-01 08:00:00, 1639.4171984041168, 1.7169658148609384, 980.78957454251645, 7.3313410541795454, 658.62762386160045, 0.80217378083882218
2100-Jan-01 09:00:00, 1648.3186471906515, 1.726288324887119, 989.72265075999155, 7.3981152431729775, 658.59599643066008, 0.80213526029255833
2100-Jan-01 10:00:00, 1650.5188278553646, 1.7285925797110331, 991.95413145578812, 7.4147954225522632, 658.56469639957641, 0.80209713850208808
2100-Jan-01 11:00:00, 1643.9170214029918, 1.7216784909689566, 985.3821847352749, 7.365670529661295, 658.53483666771706, 0.80206077092026695
2100-Jan-01 12:00:00, 1629.7159740545317, 1.7068056978469479, 971.20857617776437, 7.2597236874428548, 658.50739787676719, 0.8020273519170541
2100-Jan-01 13:00:00, 1610.3520038921984, 1.6865257624887742, 951.86884629929102, 7.1151604097378183, 658.48315759290733, 0.80199782852713242
2100-Jan-01 14:00:00, 1588.5459679876933, 1.6636882454478945, 930.08335434056278, 6.9523152126352468, 658.46261364713052, 0.80197280708244945
2100-Jan-01 15:00:00, 1567.4902111989309, 1.6416364976392688, 909.04429149999191, 6.7950495267550854, 658.44591969893884, 0.80195247473219122
2100-Jan-01 16:00:00, 1549.6732138521952, 1.6229767108579711, 891.24036224983342, 6.6619662632035963, 658.43285160236178, 0.80193655847836309
2100-Jan-01 17:00:00, 1536.8299536663897, 1.6095259316958039, 878.40713671927756, 6.5660387007255849, 658.4228169471121, 0.80192433679641506
2100-Jan-01 18:00:00, 1529.5279856203633, 1.601878561930232, 871.11307445345642, 6.5115160390566951, 658.41491116690702, 0.80191470797222397
2100-Jan-01 19:00:00, 1527.219687185815, 1.599461075090107, 868.81167354513832, 6.4943132104385901, 658.40801364067659, 0.80190630714830724
2100-Jan-01 20:00:00, 1528.5925717176292, 1.6008989005631904, 870.19166279551075, 6.5046285442351399, 658.40090892211856, 0.80189765397504065
2100-Jan-01 21:00:00, 1532.4489608183922, 1.6049377067079946, 874.05654729505397, 6.5335183154323717, 658.39241352333818, 0.80188730702645772
2100-Jan-01 22:00:00, 1537.8930180669522, 1.6106392817549215, 879.51152974196896, 6.5742939698652307, 658.38148832498337, 0.8018740007098788
2100-Jan-01 23:00:00, 1544.6461357280239, 1.6177118391119387, 886.27881431180458, 6.6248790010277956, 658.36732141621928, 0.80185674616063984
2100-Jan-02 00:00:00, 1552.8922400809056, 1.6263480052406436, 894.54286559525212, 6.6866522702598266, 658.34937448565358, 0.8018348877437973
2100-Jan-02 01:00:00, 1562.7264879268837, 1.6366474381018159, 904.39909317993545, 6.760326958293323, 658.32739474694813, 0.80180811757889625
2100-Jan-02 02:00:00, 1573.986315058517, 1.6484398837862198, 915.68491417312214, 6.8446877681194929, 658.30140088539497, 0.80177645842363876
2100-Jan-02 03:00:00, 1586.5580687453844, 1.6616063134993002, 928.28641517113931, 6.9388832041325035, 658.27165357424497, 0.80174022776432463
2100-Jan-02 04:00:00, 1600.2643887254528, 1.6759609773860957, 942.02576969981374, 7.0415840245006054, 658.23861902563908, 0.80169999342280385
2100-Jan-02 05:00:00, 1614.8739279787778, 1.6912615851223365, 956.67099734073327, 7.1510561900278136, 658.20293063804468, 0.80165652684507238
2100-Jan-02 06:00:00, 1630.4020481449866, 1.707524224992399, 972.23669674216512, 7.2674088247017341, 658.16535140282144, 0.80161075731444853
2100-Jan-02 07:00:00, 1646.4042950174758, 1.7242834189716831, 988.27755665287555, 7.3873132546224829, 658.12673836460033, 0.80156372866618464
2100-Jan-02 08:00:00, 1661.4544622483677, 1.7400454975130919, 1003.366452244329, 7.5001018104790749, 658.08801000403855, 0.80151655956137935
2100-Jan-02 09:00:00, 1672.6101645179992, 1.7517288929638468, 1014.5600480598257, 7.5837732428393974, 658.05011645817353, 0.80147040721693674
2100-Jan-02 10:00:00, 1677.620560522754, 1.7569762934836497, 1019.606551038987, 7.6214955386625576, 658.01400948376693, 0.8014264308224992
2100-Jan-02 11:00:00, 1673.5368325311497, 1.7526993947384122, 1015.5562277683096, 7.5912196241873584, 657.98060476284024, 0.80138574563057463
2100-Jan-02 12:00:00, 1662.1583026508224, 1.7407826313624313, 1004.2075735254513, 7.506389139728789, 657.95072912537103, 0.80134935867655777
2100-Jan-02 13:00:00, 1645.4638572690376, 1.7232984961182174, 987.53880666357202, 7.3817911444105331, 657.92505060546557, 0.80131808359083012
