Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 858.03373367487825, 2.5788121822786669, 508.09170437344005, 7.2535576064948453, 349.94202930143825, 1.3322134024876948
2100-Jan-01 01:00:00, 863.77950770647135, 2.5960810511911183, 513.83209208609276, 7.3355078383111438, 349.94741562037865, 1.3322339079591206
2100-Jan-01 02:00:00, 870.0504512823378, 2.6149283121473577, 520.10190912908342, 7.4250162453802933, 349.94854215325438, 1.3322381966185834
2100-Jan-01 03:00:00, 876.80657917163126, 2.6352337899184035, 526.86095430079376, 7.5215089121487075, 349.94562487083755, 1.332227090656998
2100-Jan-01 04:00:00, 884.0742323572008, 2.6570766520763436, 534.13518283370558, 7.6253563775808599, 349.93904952349521, 1.3322020586084813
2100-Jan-01 05:00:00, 891.87690492236698, 2.6805275098639538, 541.94757362993585, 7.7368866903120761, 349.92933129243113, 1.3321650617444638
2100-Jan-01 06:00:00, 900.03265721573348, 2.7050395453986198, 550.11558120229824, 7.8534938164399826, 349.91707601343518, 1.3321184064542657
2100-Jan-01 07:00:00, 908.35117119511324, 2.7300407596243166, 558.44822536001561, 7.972451307562495, 349.90294583509763, 1.3320646135074785
2100-Jan-01 08:00:00, 915.97857177003414, 2.7529648391211472, 566.09094141767457, 8.0815593302228432, 349.88763035235957, 1.3320063081607043
2100-Jan-01 09:00:00, 921.04844554592296, 2.7682022962778507, 571.17662291649117, 8.1541629240277089, 349.87182262943173, 1.3319461288778978
2100-Jan-01 10:00:00, 922.3067938703482, 2.7719842501349321, 572.45059626469367, 8.1723502689317584, 349.85619760565447, 1.3318866451224545
2100-Jan-01 11:00:00, 918.55751530883379, 2.7607158292678649, 568.71612743200001, 8.1190366946804193, 349.84138787683378, 1.3318302651578602
2100-Jan-01 12:00:00, 910.48384307052777, 2.7364504845538566, 560.65589103986542, 8.0039681184980704, 349.82795203066235, 1.3317791155020755
2100-Jan-01 13:00:00, 899.47096844675934, 2.703351395174181, 549.65463380819119, 7.8469132947586804, 349.81633463856815, 1.3317348886183236
2100-Jan-01 14:00:00, 887.06637572101681, 2.6660695103462455, 537.25955283789835, 7.669960132403749, 349.80682288311846, 1.3316986777975868
2100-Jan-01 15:00:00, 875.08623197171255, 2.6300633028585314, 525.28672205689224, 7.4990350473545115, 349.79950991482036, 1.3316708376596127
2100-Jan-01 16:00:00, 864.94663908454527, 2.5995888533881324, 515.15236365520241, 7.35435614030136, 349.7942754293428, 1.3316509102112801
2100-Jan-01 17:00:00, 857.63527121836171, 2.5776146071755943, 507.84448072452199, 7.2500282220083845, 349.79079049383972, 1.3316376432201922
2100-Jan-01 18:00:00, 853.47565316123269, 2.5651129148780103, 503.68710453739192, 7.1906771887093761, 349.78854862384071, 1.3316291085229874
2100-Jan-01 19:00:00, 852.15674736118058, 2.5611489561069658, 502.36982784763609, 7.1718716418551534, 349.78691951354449, 1.3316229065741243
2100-Jan-01 20:00:00, 852.93222276215772, 2.5634796400097217, 503.14700562076303, 7.1829666935935306, 349.7852171413947, 1.3316164257207141
2100-Jan-01 21:00:00, 855.12097556930621, 2.5700579156433574, 505.33820429141667, 7.2142484201953474, 349.78277127788954, 1.3316071144295019
2100-Jan-01 22:00:00, 858.21354495943228, 2.5793526033750886, 508.43455376970496, 7.2584521517605003, 349.77899118972726, 1.3315927238056537
2100-Jan-01 23:00:00, 862.05164024281225, 2.5908879620504819, 512.27822733371772, 7.3133247414468618, 349.77341290909453, 1.331571487544789
2100-Jan-02 00:00:00, 866.74009525377403, 2.6049790687562178, 516.97436918168205, 7.3803672361958883, 349.76572607209198, 1.3315422241056474
2100-Jan-02 01:00:00, 872.33319796767478, 2.6217890854831456, 522.57741664462014, 7.4603567876774752, 349.75578132305463, 1.3315043648979998
2100-Jan-02 02:00:00, 878.73858421040859, 2.6410404125891507, 528.99500126562396, 7.5519747364499521, 349.74358294478458, 1.3314579262262791
2100-Jan-02 03:00:00, 885.89175168394763, 2.662539189034264, 536.16247905931277, 7.6542982198335396, 349.72927262463486, 1.3314034474877996
2100-Jan-02 04:00:00, 893.69188034826925, 2.6859824011522102, 543.97877122447073, 7.7658842288180461, 349.71310912379857, 1.3313419137746636
2100-Jan-02 05:00:00, 902.00745281636921, 2.7109747746938813, 552.31200607080996, 7.8848501526583323, 349.69544674555925, 1.3312746739033707
2100-Jan-02 06:00:00, 910.84728412534696, 2.7375428031689926, 561.17057000176032, 8.0113157163171689, 349.67671412358658, 1.3312033596628219
2100-Jan-02 07:00:00, 919.95849209710877, 2.7649264516092731, 570.30109798603576, 8.1416638604446661, 349.65739411107302, 1.3311298092531778
2100-Jan-02 08:00:00, 928.53087202924848, 2.7906906575285935, 578.89286676768302, 8.2643206353200096, 349.63800526156541, 1.3310559967842257
2100-Jan-02 09:00:00, 934.88982061428032, 2.8098024166983997, 585.27073571921562, 8.35537160003447, 349.61908489506476, 1.3309839678087909
2100-Jan-02 10:00:00, 937.75346426746853, 2.8184090703166884, 588.15229221506831, 8.396508929888757, 349.60117205240022, 1.3309157744308135
2100-Jan-02 11:00:00, 935.44293529378979, 2.8114647975789357, 585.85814910084594, 8.3637575602180476, 349.58478619294385, 1.3308533942085161
2100-Jan-02 12:00:00, 928.98087649605895, 2.7920431416507743, 579.41047907291704, 8.271710109782056, 349.57039742314191, 1.3307986168157755
2100-Jan-02 13:00:00, 919.49232958210087, 2.7635254046277336, 569.93394256071042, 8.1364223203738266, 349.5583870213905, 1.3307528937621189
2100-Jan-02 14:00:00, 905.02888689695669, 2.7200556659329704, 555.47988384718019, 7.930075027899254, 349.5490030497765, 1.3307171694086375
2100-Jan-02 15:00:00, 888.28199682229501, 2.6697230479427043, 538.73967610231273, 7.6910904899174239, 349.54232071998223, 1.3306917300827883
2100-Jan-02 16:00:00, 873.3201305948262, 2.6247553020572725, 523.78191777441623, 7.4775523416628289, 349.53821282041002, 1.3306760914957998
2100-Jan-02 17:00:00, 862.37029474095584, 2.5918456750977663, 512.83396051732029, 7.3212584326022272, 349.53633422363549, 1.3306689397632516
2100-Jan-02 18:00:00, 855.82691287554894, 2.5721796034672928, 506.29078164813222, 7.2278474903476528, 349.53613122741672, 1.3306681669658718
2100-Jan-02 19:00:00, 853.24177367862023, 2.5644099923293093, 503.70488952522533, 7.1909310886110482, 349.53688415339491, 1.3306710333208542
2100-Jan-02 20:00:00, 853.74958308766213, 2.5659362086526518, 504.2118041076248, 7.198167841530565, 349.53777898003727, 1.3306744398852164
2100-Jan-02 21:00:00, 856.53348649097586, 2.5743032037123972, 506.99549306044878, 7.2379080065520967, 349.53799343052708, 1.3306752562884854
2100-Jan-02 22:00:00, 860.89050751480772, 2.5873981887388942, 511.35372701032577, 7.3001265012567051, 349.53678050448201, 1.3306706387341531
2100-Jan-02 23:00:00, 866.31414786389962, 2.6036988879487413, 516.78061190831716, 7.377601141941776, 349.53353595558247, 1.3306582868839405
2100-Jan-03 00:00:00, 872.45907297776967, 2.6221674016224039, 522.93123076388417, 7.4654078662012582, 349.52784221388549, 1.3306366110680514
2100-Jan-03 01:00:00, 879.06103387122664, 2.6420095319615653, 529.54154666049499, 7.5597772620022052, 349.51948721073165, 1.3306048039507365
2100-Jan-03 02:00:00, 885.97692750481792, 2.6627951841494619, 536.46846656420212, 7.6586665218043812, 349.50846094061586, 1.3305628274414931
2100-Jan-03 03:00:00, 893.13799614370362, 2.6843177074714757, 543.64306101238219, 7.7610916031138419, 349.49493513132143, 1.3305113353001874
2100-Jan-03 04:00:00, 900.51302536442404, 2.7064832872763622, 551.03379303185375, 7.8666022815916801, 349.47923233257029, 1.3304515554589533
2100-Jan-03 05:00:00, 908.08234359332664, 2.7292328008376021, 558.62055324463313, 7.9749114741574605, 349.46179034869351, 1.3303851546189827
2100-Jan-03 06:00:00, 915.83480943537609, 2.752532762798948, 566.3916827550961, 8.0858527374894145, 349.44312668027999, 1.3303141028815
2100-Jan-03 07:00:00, 923.67896856963534, 2.7761083080732849, 574.25516253424348, 8.1981124006065098, 349.42380603539181, 1.3302405500644345
2100-Jan-03 08:00:00, 931.10875184262204, 2.7984384506587143, 581.70433928708201, 8.304457440749033, 349.40441255554003, 1.3301667199679725
2100-Jan-03 09:00:00, 937.00268939255966, 2.8161526236088514, 587.61716226452882, 8.3888693721282426, 349.38552712803079, 1.3300948240036903
2100-Jan-03 10:00:00, 940.2229234854625, 2.8258310063840835, 590.85521486624123, 8.4350960687603891, 349.36770861922128, 1.330026989750412
2100-Jan-03 11:00:00, 940.09284278940254, 2.825440050095871, 590.74136695188656, 8.433470766874839, 349.35147583751603, 1.3299651922881564
2100-Jan-03 12:00:00, 936.25585556267629, 2.8139080216741554, 586.91856930362917, 8.3788962034231442, 349.33728625904718, 1.3299111732077686
2100-Jan-03 13:00:00, 928.77933266964283, 2.7914374036075866, 579.45382304746931, 8.2723288918121565, 349.32550962217346, 1.3298663400863779
2100-Jan-03 14:00:00, 918.25534027867138, 2.7598076451040257, 568.93894243150964, 8.1222176193454416, 349.3163978471618, 1.3298316519729918
2100-Jan-03 15:00:00, 906.10034361349869, 2.7232759188495645, 556.79028839971454, 7.9487824675756062, 349.31005521378415, 1.3298075058559631
2100-Jan-03 16:00:00, 894.18616848355077, 2.6874679794165526, 544.87975427828644, 7.7787467345961847, 349.30641420526428, 1.3297936447019931
2100-Jan-03 17:00:00, 884.53860022011577, 2.6584723052481776, 535.2333767602513, 7.6410342814724919, 349.30522345986441, 1.3297891115883689
2100-Jan-03 18:00:00, 878.0898939435524, 2.6390907801947114, 528.78383961968518, 7.5489601759879035, 349.30605432386727, 1.3297922746498694
2100-Jan-03 19:00:00, 874.81997830670821, 2.6292630800142049, 525.51164794825081, 7.5022461072795572, 349.30833035845734, 1.3298009394101198
2100-Jan-03 20:00:00, 874.21227188632565, 2.6274366241784657, 524.90089306989432, 7.4935269220311582, 349.31137881643133, 1.32981254475109
2100-Jan-03 21:00:00, 875.71923833809171, 2.6319657974400523, 526.40474201100312, 7.514995989193455, 349.31449632708859, 1.3298244129724874
2100-Jan-03 22:00:00, 879.02913720679339, 2.6419136668415981, 529.71212025614932, 7.5622123842283226, 349.31701695064413, 1.3298340088718139
2100-Jan-03 23:00:00, 883.78252643026349, 2.6561999327021448, 534.46415504586821, 7.6300528110618995, 349.31837138439533, 1.3298391651395527
2100-Jan-04 00:00:00, 889.48986717941375, 2.6733532907517024, 540.1717370144039, 7.7115347054644428, 349.31813016500979, 1.3298382468283141
2100-Jan-04 01:00:00, 895.79130365405172, 2.6922921978236349, 546.47527515631907, 7.8015245176254249, 349.3160284977327, 1.3298302458765003
2100-Jan-04 02:00:00, 902.57229923621367, 2.7126724152078188, 553.26032566845481, 7.8983884387033036, 349.3119735677588, 1.3298148089423654
2100-Jan-04 03:00:00, 909.643968902805, 2.7339262507734099, 560.33793205008556, 7.9994289106562206, 349.3060368527195, 1.3297922081380038
2100-Jan-04 04:00:00, 916.89377828262946, 2.7557154835438009, 567.59534319478644, 8.1030362897159147, 349.29843508784296, 1.3297632685645799
2100-Jan-04 05:00:00, 924.28542340799663, 2.777931002291226, 574.9959193300466, 8.2086875035741649, 349.28950407795008, 1.329729268615786
2100-Jan-04 06:00:00, 931.86734273217553, 2.8007183883238311, 582.58767344673322, 8.3170679895095478, 349.27966928544237, 1.32969182800765
2100-Jan-04 07:00:00, 939.31136777727716, 2.8230913344191757, 590.04195128578397, 8.4234858531647916, 349.26941649149313, 1.3296527960870219
2100-Jan-04 08:00:00, 946.58513957192326, 2.844952585998191, 597.32587460532216, 8.5274717221423497, 349.25926496660117, 1.3296141496930927
2100-Jan-04 09:00:00, 953.11505756934923, 2.8645781921021856, 603.86531339470162, 8.6208292707199341, 349.24974417464762, 1.3295779044707965
2100-Jan-04 10:00:00, 958.16150628918535, 2.8797452454769066, 608.92013245988164, 8.6929922699661155, 349.24137382930377, 1.3295460389464615
