Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 983.27152819609194, 2.3325995850069021, 585.86043706054409, 6.5872032672848597, 397.41109113554785, 1.194878266069018
2100-Jan-01 01:00:00, 996.36879015483294, 2.3636700136053324, 598.96192471886002, 6.7345116650701025, 397.40686543597292, 1.1948655608459036
2100-Jan-01 02:00:00, 1010.8113873508087, 2.3979319598324955, 613.41212305100873, 6.8969844788071519, 397.39926429979988, 1.19484270684758
2100-Jan-01 03:00:00, 1026.4433204036629, 2.4350153488113651, 629.05526318281034, 7.0728702995050083, 397.38805722085255, 1.1948090110213714
2100-Jan-01 04:00:00, 1042.538287196905, 2.4731971854516397, 645.16508643138889, 7.2540033367021444, 397.37320076551623, 1.1947643427773587
2100-Jan-01 05:00:00, 1059.1604697503224, 2.5126297277496388, 661.80564348478208, 7.4411037532134987, 397.35482626554034, 1.1947090969848762
2100-Jan-01 06:00:00, 1075.7954671581065, 2.5520926705251461, 678.46224459601081, 7.6283845633194858, 397.33322256209578, 1.1946441420898362
2100-Jan-01 07:00:00, 1091.6481059511825, 2.5896996362610838, 694.33929028228522, 7.80690033363536, 397.30881566889724, 1.1945707589687413
2100-Jan-01 08:00:00, 1104.0311913405565, 2.6190758350139864, 706.74904453010174, 7.9464311306585618, 397.28214681045478, 1.1944905748972734
2100-Jan-01 09:00:00, 1109.3570197284512, 2.6317102139532529, 712.10317059797717, 8.0066309914047817, 397.25384913047395, 1.1944054935204738
2100-Jan-01 10:00:00, 1105.7770114260052, 2.6232174165507622, 708.55239004835914, 7.9667072966845689, 397.22462137764597, 1.1943176157349786
2100-Jan-01 11:00:00, 1091.9461571998772, 2.5904066985516918, 694.75096212196797, 7.8115290231932581, 397.19519507790915, 1.1942291409873165
2100-Jan-01 12:00:00, 1069.9106169449267, 2.5381321329000257, 672.74432451516248, 7.5640943340157012, 397.16629242976427, 1.1941422406796238
2100-Jan-01 13:00:00, 1042.6478188886445, 2.4734570257616357, 645.50924351916251, 7.2578729147614105, 397.13857536948188, 1.1940589050262675
2100-Jan-01 14:00:00, 1013.5467969339381, 2.4044211289739406, 616.43420657003207, 6.9309636949672306, 397.11259036390601, 1.1939807770648221
2100-Jan-01 15:00:00, 986.89962631111791, 2.3412064651155942, 589.81090918956443, 6.6316209498410741, 397.08871712155349, 1.1939089984480096
2100-Jan-01 16:00:00, 966.14092914395417, 2.2919609342435221, 569.0737987972185, 6.3984603663822002, 397.06713034673567, 1.1938440944515192
2100-Jan-01 17:00:00, 953.79146410415774, 2.262664492517263, 556.74368191723761, 6.2598249831750197, 397.04778218692013, 1.1937859211992681
2100-Jan-01 18:00:00, 950.01520578365944, 2.2537061342828562, 552.98479579245259, 6.2175614244906896, 397.03040999120691, 1.1937336889904679
2100-Jan-01 19:00:00, 953.19198322169245, 2.2612423534462542, 556.17741367254746, 6.2534580674462541, 397.01456954914494, 1.1936860622372973
2100-Jan-01 20:00:00, 960.67971074472553, 2.2790053717092915, 563.6800217521851, 6.3378146843622369, 396.99968899254037, 1.1936413215290727
2100-Jan-01 21:00:00, 970.52619017577308, 2.302364020033806, 573.54105583440128, 6.4486885918940215, 396.98513434137175, 1.1935975607062381
2100-Jan-01 22:00:00, 981.34943529342127, 2.328039834237611, 584.37915949940441, 6.5705483171068764, 396.97027579401686, 1.1935528861722462
2100-Jan-01 23:00:00, 992.70760742689617, 2.3549846473896672, 595.75306227063186, 6.6984323740544989, 396.95454515626432, 1.1935055895628128
2100-Jan-02 00:00:00, 1005.1310569430598, 2.3844566013258524, 608.19357842536976, 6.8383090468545271, 396.93747851769001, 1.1934542760590829
2100-Jan-02 01:00:00, 1018.911041360459, 2.4171466416775713, 621.99229875724052, 6.9934568771304537, 396.91874260321839, 1.1933979436176982
2100-Jan-02 02:00:00, 1033.6146832431245, 2.4520278601102037, 636.71653631144852, 7.1590108889561979, 396.89814693167614, 1.1933360195273799
2100-Jan-02 03:00:00, 1048.7050726636892, 2.4878265536456294, 651.82942695557665, 7.3289347758269408, 396.87564570811253, 1.1932683660984853
2100-Jan-02 04:00:00, 1064.2007987252782, 2.524586820920891, 667.34946595391875, 7.5034364918178813, 396.85133277135952, 1.1931952654720597
2100-Jan-02 05:00:00, 1079.5386096012969, 2.5609724684845419, 682.71317808069387, 7.6761805248966306, 396.82543152060305, 1.1931173893325073
2100-Jan-02 06:00:00, 1094.9439644093088, 2.5975183494559744, 698.14568321071977, 7.849698041670667, 396.798281198589, 1.1930357576659159
2100-Jan-02 07:00:00, 1110.0062119362492, 2.6332502824196689, 713.23589121767998, 8.0193668931571924, 396.77032071856917, 1.1929516901332531
2100-Jan-02 08:00:00, 1121.9285281856269, 2.6615334057870661, 725.18645711210081, 8.1537347420950734, 396.74207107352612, 1.192866753180966
2100-Jan-02 09:00:00, 1127.6214401978589, 2.6750386114361868, 730.90732323037571, 8.2180580955802061, 396.71411696748316, 1.1927827048126565
2100-Jan-02 10:00:00, 1125.3037284964373, 2.6695403404114781, 728.61664224132392, 8.1923025054415426, 396.68708625511346, 1.1927014327710668
2100-Jan-02 11:00:00, 1112.8747734807689, 2.6400553258653883, 716.2131498655408, 8.0528421146470404, 396.661623615228, 1.1926248753833277
2100-Jan-02 12:00:00, 1092.996175116486, 2.5928976395443848, 696.35781953626929, 7.8295959479077055, 396.63835558021668, 1.1925549164165317
2100-Jan-02 13:00:00, 1067.8896481662189, 2.5333378204447734, 671.27180145374803, 7.5475378162723823, 396.61784671247079, 1.1924932533153303
2100-Jan-02 14:00:00, 1036.6114233821863, 2.4591369796202267, 640.01087267198761, 7.196051217786998, 396.60055071019866, 1.1924412501939634
2100-Jan-02 15:00:00, 1003.7372671479611, 2.3811501357114166, 607.15050340979769, 6.8265810879142146, 396.58676373816337, 1.1923997975178622
2100-Jan-02 16:00:00, 976.85296111557454, 2.3173729192497627, 580.2763752266809, 6.524418091789312, 396.57658588889359, 1.1923691962307843
2100-Jan-02 17:00:00, 960.01203865795776, 2.2774214637165802, 563.44214317316323, 6.3351400634903925, 396.56989548479453, 1.1923490804901129
2100-Jan-02 18:00:00, 953.14223932303412, 2.2611243467776592, 556.57589503708175, 6.2579384480631504, 396.56634428595237, 1.1923384032583757
2100-Jan-02 19:00:00, 954.83136755433486, 2.2651314391202839, 558.26598653672477, 6.2769412267868958, 396.56538101761009, 1.1923355070422603
2100-Jan-02 20:00:00, 962.56464447673784, 2.2834769703623348, 565.9983421273148, 6.3638810417805463, 396.56630234942298, 1.1923382771696767
2100-Jan-02 21:00:00, 974.11282255900392, 2.3108725316389833, 577.54450039149094, 6.4937018773091788, 396.56832216751297, 1.1923443500669635
2100-Jan-02 22:00:00, 987.60479632101396, 2.3428793288417111, 591.03414969310552, 6.6453746244910121, 396.57064662790839, 1.1923513389187312
2100-Jan-02 23:00:00, 1000.751289753181, 2.3740665484904153, 604.1787464155276, 6.7931677250313252, 396.57254333765337, 1.1923570416716285
2100-Jan-03 00:00:00, 1013.3522509226483, 2.4039596105304724, 616.77885464816757, 6.934838793544885, 396.57339627448073, 1.1923596061588813
2100-Jan-03 01:00:00, 1025.8763059793573, 2.4336702294085337, 629.30356417618395, 7.0756621062414844, 396.57274180317347, 1.1923576383890875
2100-Jan-03 02:00:00, 1038.8855545964479, 2.4645318653405219, 642.31526934223882, 7.2219610220939066, 396.57028525420918, 1.19235025239249
2100-Jan-03 03:00:00, 1052.215085319564, 2.4961533014763972, 655.64918381729785, 7.3718827431039387, 396.56590150226612, 1.1923370719603443
2100-Jan-03 04:00:00, 1065.406614072981, 2.5274473577095504, 668.84698935958647, 7.5202741044072265, 396.55962471339456, 1.1923181998181958
2100-Jan-03 05:00:00, 1078.2533633136077, 2.5579234989259545, 681.70173161014691, 7.6648081858991395, 396.55163170346088, 1.1922941675904517
2100-Jan-03 06:00:00, 1090.0480843230353, 2.5859039301119742, 693.50586260525006, 7.7975295736899435, 396.54222171778514, 1.1922658750047168
2100-Jan-03 07:00:00, 1101.7363816702168, 2.6136318941174932, 705.20458735258603, 7.929065811680962, 396.5317943176309, 1.192234523404085
2100-Jan-03 08:00:00, 1111.8955792309987, 2.6377323987438785, 715.37475272392271, 8.0434154798357564, 396.52082650707598, 1.1922015469755183
2100-Jan-03 09:00:00, 1117.8051568398992, 2.6517515967810441, 721.29530651111202, 8.1099840493858437, 396.50985032878719, 1.1921685453880582
2100-Jan-03 10:00:00, 1117.1488267873401, 2.6501945953177395, 720.6493954555275, 8.1027216586412667, 396.4994313318125, 1.1921372190528929
2100-Jan-03 11:00:00, 1108.9905027899317, 2.630840731583254, 712.50035711923999, 8.0110968132713527, 396.49014567069179, 1.1921093002682723
2100-Jan-03 12:00:00, 1093.2546690389504, 2.5935108606119908, 696.77211661659885, 7.8342541547237623, 396.48255242235155, 1.192086469985945
2100-Jan-03 13:00:00, 1070.9814327448166, 2.5406724123841928, 674.50427313522846, 7.5838825609840885, 396.47715960958817, 1.1920702556554754
2100-Jan-03 14:00:00, 1044.2841838158167, 2.4773389485475468, 647.8097983915676, 7.2837395232801718, 396.47438542424908, 1.1920619146357061
2100-Jan-03 15:00:00, 1016.5896705120432, 2.4116396901159862, 620.1151520105177, 6.9723509167327418, 396.47451850152549, 1.192062314753239
