Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 782.07448683868006, 2.3622451566060394, 458.62121174642266, 6.5655505572367465, 323.45327509225734, 1.2382414840139888
2100-Jan-01 01:00:00, 792.39359696220367, 2.39341388582557, 468.94172772804541, 6.7132974728146051, 323.45186923415827, 1.2382361021182007
2100-Jan-01 02:00:00, 803.8072625121622, 2.4278887045522319, 480.3595616744683, 6.8767534231922829, 323.44770083769396, 1.2382201446930596
2100-Jan-01 03:00:00, 816.18333029045493, 2.4652704458813419, 492.74273906771384, 7.0540290815182169, 323.44059122274115, 1.2381929277166124
2100-Jan-01 04:00:00, 828.94551815497448, 2.5038184575835527, 505.51500611381812, 7.2368748873247135, 323.43051204115642, 1.2381543426667019
2100-Jan-01 05:00:00, 842.12946866359516, 2.5436403975113118, 518.7118935943347, 7.4257994938023639, 323.41757506926052, 1.2381048174446294
2100-Jan-01 06:00:00, 855.32987272042919, 2.5835120351535852, 531.92785451396094, 7.6149971526935696, 323.40201820646831, 1.238045262775211
2100-Jan-01 07:00:00, 867.9178623790549, 2.6215338835873512, 544.53367329534649, 7.7954601108053128, 323.38418908370846, 1.2379770094566489
2100-Jan-01 08:00:00, 877.78200451570456, 2.6513283883033458, 554.41747711081996, 7.936955122344771, 323.36452740488454, 1.2379017407602408
2100-Jan-01 09:00:00, 882.07726829254671, 2.6643021730565155, 558.73372209817762, 7.9987458201060102, 323.34354619436903, 1.237821420642172
2100-Jan-01 10:00:00, 879.31010644115827, 2.6559439990066114, 555.98829589821014, 7.9594427219165285, 323.32181054294807, 1.2377382123788956
2100-Jan-01 11:00:00, 868.40585940987251, 2.6230078718607017, 545.10594843800504, 7.8036527135143476, 323.29991097186746, 1.2376543765995658
2100-Jan-01 12:00:00, 850.97994716027256, 2.5703731452409211, 527.70151797539506, 7.5544935704231673, 323.27842918487744, 1.2375721401782644
2100-Jan-01 13:00:00, 829.3970728330404, 2.5051823722351041, 506.13917617552909, 7.2458104096937541, 323.25789665751131, 1.2374935377057772
2100-Jan-01 14:00:00, 806.34716264986093, 2.4355604377432667, 483.10841274943817, 6.916105551364252, 323.23874990042276, 1.2374202402290253
2100-Jan-01 15:00:00, 785.24273313957622, 2.371814800681094, 462.0214439535489, 6.6142277572668569, 323.22128918602732, 1.2373533972486943
2100-Jan-01 16:00:00, 768.82549863052327, 2.322226771207534, 445.61985044736105, 6.379425073426618, 323.20564818316228, 1.2372935204748587
2100-Jan-01 17:00:00, 759.09708475676325, 2.2928422318299067, 435.90530410078435, 6.2403531257158038, 323.19178065597885, 1.2372404329077773
2100-Jan-01 18:00:00, 756.17863030909939, 2.2840270805881921, 432.99916246081779, 6.1987492500663688, 323.1794678482816, 1.2371932971065673
2100-Jan-01 19:00:00, 758.77482124418498, 2.291868839353167, 435.60647474209952, 6.2360751306903213, 323.16834650208551, 1.2371507224496432
2100-Jan-01 20:00:00, 764.78604570107041, 2.3100256595761985, 441.6280923307101, 6.3222796796770968, 323.15795337036025, 1.2371109355380796
2100-Jan-01 21:00:00, 772.65329426237486, 2.3337885749026905, 449.50551556226759, 6.4350516561205637, 323.14777870010721, 1.2370719849391409
2100-Jan-01 22:00:00, 781.27966127228092, 2.3598443969902099, 458.14234151205801, 6.5586951247936973, 323.13731976022285, 1.2370319461012595
2100-Jan-01 23:00:00, 790.3169165443652, 2.3871413013832781, 467.19078986509788, 6.6882313163278919, 323.12612667926732, 1.2369890968298491
2100-Jan-02 00:00:00, 800.18410093721161, 2.4169449951919835, 477.07026494334508, 6.8296643583326224, 323.11383599386653, 1.2369420457170544
2100-Jan-02 01:00:00, 811.11631366767824, 2.4499655923449737, 488.01612279871352, 6.9863635717599424, 323.10019086896466, 1.2368898095487755
2100-Jan-02 02:00:00, 822.77844989091511, 2.4851909132992214, 499.69339997546638, 7.1535336714221183, 323.08504991544874, 1.2368318470602349
2100-Jan-02 03:00:00, 834.74651910635555, 2.5213403006195771, 511.67813118316928, 7.3251052355881763, 323.06838792318626, 1.2367680617421859
2100-Jan-02 04:00:00, 847.02909874478235, 2.5584396623169323, 523.97880753532661, 7.5011998217298856, 323.05029120945574, 1.2366987840338088
2100-Jan-02 05:00:00, 859.18383993170607, 2.5951528897419478, 536.15289081716799, 7.6754821209950448, 323.03094911453809, 1.2366247387661951
2100-Jan-02 06:00:00, 871.383600803636, 2.63200209850205, 548.37295810110209, 7.8504227201443602, 323.01064270253391, 1.2365470019068978
2100-Jan-02 07:00:00, 883.31103210407969, 2.6680287395629496, 560.32130050769524, 8.0214733478441484, 322.98973159638444, 1.2364669501618553
2100-Jan-02 08:00:00, 892.77931522754466, 2.6966275576118415, 569.81067546747443, 8.1573217766984474, 322.96863976007018, 1.2363862065469053
2100-Jan-02 09:00:00, 897.33668091283198, 2.7103930175496402, 574.38884019545264, 8.2228620770836791, 322.94784071737934, 1.236306583802383
2100-Jan-02 10:00:00, 895.54392407234172, 2.7049780203406928, 572.61608304955189, 8.1974835591062991, 322.92784102278989, 1.2362300211164705
2100-Jan-02 11:00:00, 885.72594662903407, 2.6753229554416063, 562.81678760443708, 8.0571983563674117, 322.90915902459693, 1.2361585028263551
2100-Jan-02 12:00:00, 869.96928620678739, 2.6277301808490043, 547.07698964502629, 7.8318698355393312, 322.8922965617611, 1.2360939500683099
2100-Jan-02 13:00:00, 850.04721024734818, 2.5675558263128355, 527.16950678024546, 7.5468773801787838, 322.87770346710266, 1.236038084889078
2100-Jan-02 14:00:00, 825.26606500122443, 2.4927047202891179, 502.40032695551196, 7.1922856207150003, 322.86573804571248, 1.2359922789496116
2100-Jan-02 15:00:00, 799.22839121285472, 2.4140582872051146, 476.37176163079852, 6.8196646926053051, 322.8566295820562, 1.2359574099950412
2100-Jan-02 16:00:00, 777.92785185934258, 2.3497203030773837, 455.07740415838174, 6.5148179541898852, 322.8504477009609, 1.2359337445626253
2100-Jan-02 17:00:00, 764.58289005893948, 2.3094120307726289, 441.73580768254101, 6.3238217160463774, 322.84708237639842, 1.2359208614515198
2100-Jan-02 18:00:00, 759.14900958391615, 2.2929990700512191, 436.30276848606786, 6.2460431645745444, 322.84624109784829, 1.2359176408750698
2100-Jan-02 19:00:00, 760.50826086283666, 2.297104669715031, 437.66079177228636, 6.2654844165602945, 322.84746909055031, 1.235922341867834
2100-Jan-02 20:00:00, 766.66957263265226, 2.3157148265882199, 443.81938100456216, 6.3536498304795215, 322.85019162809004, 1.2359327642663165
2100-Jan-02 21:00:00, 775.85935432696556, 2.3434724349273042, 453.00558357105842, 6.4851580900946404, 322.85377075590719, 1.2359464658574921
2100-Jan-02 22:00:00, 786.59111250831666, 2.3758875618907709, 463.73354635322454, 6.6387379512490137, 322.85756615509206, 1.2359609953771509
2100-Jan-02 23:00:00, 797.03484756993862, 2.4074327190099059, 474.17385684775104, 6.7881998266037087, 322.86099072218752, 1.2359741052800919
2100-Jan-03 00:00:00, 807.02816204305589, 2.4376173869793032, 484.1646078506447, 6.9312258775891795, 322.86355419241119, 1.2359839187382275
2100-Jan-03 01:00:00, 816.9488252753174, 2.4675826128818374, 494.08393406505161, 7.0732294223149328, 322.8648912102658, 1.2359890371002906
2100-Jan-03 02:00:00, 827.2475993166961, 2.4986899172468817, 504.38282571614053, 7.2206667673109042, 322.86477360055562, 1.2359885868676503
2100-Jan-03 03:00:00, 837.8010617737325, 2.53056650444426, 514.93795194669735, 7.3717723270403424, 322.86310982703515, 1.2359822176219148
2100-Jan-03 04:00:00, 848.24725086196213, 2.5621190739167781, 525.38731490150917, 7.5213637960207755, 322.8599359604529, 1.2359700674488621
2100-Jan-03 05:00:00, 858.41900440123368, 2.5928427146143052, 535.5636026312792, 7.6670459621821934, 322.85540176995448, 1.23595270969365
2100-Jan-03 06:00:00, 867.74592864555643, 2.6210145601264161, 544.89617448849231, 7.800649621996028, 322.84975415706413, 1.235931089542905
2100-Jan-03 07:00:00, 876.97010062120989, 2.64887604383402, 554.12678140400192, 7.9327935674253691, 322.84331921720803, 1.2359064553527743
2100-Jan-03 08:00:00, 885.01015260928921, 2.6731609095179438, 562.17366882466604, 8.0479915670721329, 322.83648378462311, 1.2358802879992814
2100-Jan-03 09:00:00, 889.73162307203734, 2.6874220456633888, 566.90194565776392, 8.115680849210003, 322.82967741427348, 1.2358542319016268
2100-Jan-03 10:00:00, 889.27134294146049, 2.6860317759033658, 566.44798780975384, 8.1091820586490186, 322.82335513170665, 1.2358300289853148
2100-Jan-03 11:00:00, 882.84307257569935, 2.6666152742882128, 560.02509347399166, 8.0172328936187878, 322.81797910170775, 1.235809448506227
2100-Jan-03 12:00:00, 870.36582979657442, 2.6289279352702537, 547.55183341020017, 7.8386676256702463, 322.81399638637424, 1.2357942019042454
2100-Jan-03 13:00:00, 852.67037308241163, 2.575479053328162, 529.85856155576391, 7.5853734737471878, 322.81181152664772, 1.2357858378400715
2100-Jan-03 14:00:00, 831.45113081168734, 2.5113866259131141, 508.63937562261776, 7.2816028794980339, 322.81175518906952, 1.2357856221689627
2100-Jan-03 15:00:00, 809.44980994199591, 2.4449319409208337, 486.63575785143541, 6.9666024799990955, 322.81405209056049, 1.2357944151506075
2100-Jan-03 16:00:00, 789.83282065987476, 2.3856790964683818, 467.01402797565049, 6.6857008203716752, 322.81879268422426, 1.2358125630569214
2100-Jan-03 17:00:00, 775.89266858732128, 2.3435730601893421, 453.06675474172869, 6.486033807142598, 322.82591384559259, 1.2358398242352728
