Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 414.37301178465839, 1.2705323377184623, 169.33494242639654, 2.4446013512977922, 245.03806935826188, 0.95392945765212633
2100-Jan-01 01:00:00, 417.087992364321, 1.2788568919839114, 172.01434120021045, 2.4832824514255947, 245.07365116411054, 0.95406797707828894
2100-Jan-01 02:00:00, 420.08612868243932, 1.2880496459440489, 174.97764131042601, 2.5260620889294287, 245.10848737201331, 0.95420359390304765
2100-Jan-01 03:00:00, 423.36728534964578, 1.2981101844739393, 178.22480486573173, 2.5729397167919452, 245.14248048391406, 0.95433592856796035
2100-Jan-01 04:00:00, 426.85030746869927, 1.3087896739903702, 181.67473339096827, 2.6227445580953868, 245.175574077731, 0.95446476142272541
2100-Jan-01 05:00:00, 430.50132216501635, 1.3199842549723162, 185.29356961237266, 2.6749878328159356, 245.20775255264368, 0.95459003173358736
2100-Jan-01 06:00:00, 434.24361599342751, 1.3314587120219261, 189.00457670636419, 2.7285617309532948, 245.23903928706335, 0.95471183051234376
2100-Jan-01 07:00:00, 437.94391466952948, 1.342804405379117, 192.67442099738597, 2.7815413829042432, 245.26949367214348, 0.95483038896784711
2100-Jan-01 08:00:00, 441.21175147457325, 1.3528241031323875, 195.91254410089584, 2.8282884984202838, 245.2992073736774, 0.95494606395362913
2100-Jan-01 09:00:00, 443.40342427275272, 1.3595441140515157, 198.07512427641308, 2.8595085546213665, 245.32829999633964, 0.95505932108885938
2100-Jan-01 10:00:00, 443.9600809606103, 1.3612509103505417, 198.60316694309617, 2.8671316346426532, 245.35691401751413, 0.95517071503581508
2100-Jan-01 11:00:00, 442.45458479411343, 1.3566348240962576, 197.06937635412535, 2.8449890898572754, 245.38520843998808, 0.95528086478991592
2100-Jan-01 12:00:00, 438.94490975716349, 1.3458736125730384, 193.53155928223725, 2.7939154468710306, 245.4133504749262, 0.95539042130166962
2100-Jan-01 13:00:00, 433.84915838317619, 1.3302492434141011, 188.40765342174168, 2.7199442569263761, 245.4415049614345, 0.95550002628719566
2100-Jan-01 14:00:00, 427.80154009728585, 1.3117063017169373, 182.33171809385715, 2.6322291078844073, 245.46982200342867, 0.95561026409874295
2100-Jan-01 15:00:00, 421.63313145151147, 1.2927929979210053, 176.13470724432676, 2.5427660538939185, 245.49842420718471, 0.9557216120406693
2100-Jan-01 16:00:00, 416.17095595365652, 1.2760451151995198, 170.64356051390411, 2.4634931966500542, 245.52739543975241, 0.95583439660611735
2100-Jan-01 17:00:00, 412.11714375870463, 1.2636154942101094, 166.56037071646088, 2.4045462885080813, 245.55677304224378, 0.95594876316346544
2100-Jan-01 18:00:00, 409.81493123099904, 1.2565565512250132, 164.22838623342889, 2.3708806295676452, 245.58654499757017, 0.95606466493037101
2100-Jan-01 19:00:00, 409.20102359495911, 1.2546742145819927, 163.58437084083704, 2.3615833110318034, 245.61665275412204, 0.95618187396631327
2100-Jan-01 20:00:00, 409.88885417540467, 1.2567832105119252, 164.24185478461209, 2.371075068104374, 245.64699939079259, 0.95630001295890543
2100-Jan-01 21:00:00, 411.43589362552518, 1.261526674958702, 165.7584318538151, 2.3929691101703368, 245.67746177171006, 0.95641860254208122
2100-Jan-01 22:00:00, 413.46937870898239, 1.2677616576514048, 167.76147410272822, 2.4218859994917952, 245.7079046062542, 0.95653711603152447
2100-Jan-01 23:00:00, 415.78110628644424, 1.2748497752643519, 170.04291210817752, 2.4548219449683035, 245.7381941782667, 0.95665503287227516
2100-Jan-02 00:00:00, 418.35818833608448, 1.2827515111108054, 172.589978360651, 2.4915926286406833, 245.76820997543348, 0.95677188391173729
2100-Jan-02 01:00:00, 421.24477711864517, 1.2916022429143639, 175.44692382909577, 2.5328368789570637, 245.79785328954941, 0.95688728488037733
2100-Jan-02 02:00:00, 424.41059670771585, 1.3013091399585834, 178.58354398254335, 2.5781186486600816, 245.82705272517254, 0.95700095783683126
2100-Jan-02 03:00:00, 427.77133376474575, 1.3116136843861637, 181.91556661621297, 2.6262213433319985, 245.85576714853278, 0.95711274264796109
2100-Jan-02 04:00:00, 431.28230746461736, 1.322378877812622, 185.39832071817719, 2.6765000705805129, 245.88398674644014, 0.95722260111116819
2100-Jan-02 05:00:00, 434.85874338077002, 1.3333447886128436, 188.94701070675063, 2.7277306802650694, 245.91173267401939, 0.95733061558302979
2100-Jan-02 06:00:00, 438.48404617338292, 1.3444605328844068, 192.54499058590781, 2.7796728627142295, 245.93905558747511, 0.95743698326737603
2100-Jan-02 07:00:00, 442.10082442894225, 1.3555501395946843, 196.13479113749392, 2.8314969644238421, 245.96603329144833, 0.95754200705648462
2100-Jan-02 08:00:00, 445.33762632695567, 1.3654746794784538, 199.34485860634248, 2.8778390551917603, 245.99276772061319, 0.95764608378048377
2100-Jan-02 09:00:00, 447.61066760465121, 1.37244417885739, 201.59128616534827, 2.9102695728843808, 246.01938143930295, 0.95774969058044879
2100-Jan-02 10:00:00, 448.40311647943827, 1.3748739508086791, 202.35710290431842, 2.9213252747265841, 246.04601357511984, 0.95785336907800822
2100-Jan-02 11:00:00, 447.21813113566782, 1.3712406007685825, 201.14531647772876, 2.9038313381918193, 246.07281465793906, 0.95795770528366475
2100-Jan-02 12:00:00, 444.14791934669313, 1.3618268521638255, 198.04797968995325, 2.8591166822069125, 246.09993965673991, 0.95806330248928528
2100-Jan-02 13:00:00, 439.54522575019212, 1.3477142751169322, 193.41768691230902, 2.7922715301140211, 246.12753883788312, 0.9581707456795151
2100-Jan-02 14:00:00, 433.48694811324606, 1.3291386501855076, 187.33120131457247, 2.7044040722599005, 246.15574679867362, 0.95828055883960417
2100-Jan-02 15:00:00, 426.54388796218871, 1.3078501439513537, 180.3592170813854, 2.6037531266638116, 246.18467088080328, 0.95839315984911788
2100-Jan-02 16:00:00, 419.9531785823122, 1.2876420001835613, 173.73879814396304, 2.5081775481761355, 246.21438043834917, 0.95850881870241789
2100-Jan-02 17:00:00, 414.84191775488745, 1.2719700766193609, 168.59701951959579, 2.4339483383444684, 246.24489823529166, 0.95862762401933188
2100-Jan-02 18:00:00, 411.70954749407952, 1.2623657404370316, 165.43335197843504, 2.3882760994352417, 246.27619551564447, 0.95874946385324478
2100-Jan-02 19:00:00, 410.56897454920068, 1.2588685657447078, 164.26078203005218, 2.3713483109987008, 246.30819251914849, 0.95887402769868724
2100-Jan-02 20:00:00, 411.08859400021049, 1.2604618000940495, 164.74782872289953, 2.3783795532598617, 246.34076527731099, 0.95900083294821259
2100-Jan-02 21:00:00, 412.82195811150655, 1.2657765650372517, 166.4482003069204, 2.4029269420766295, 246.37375780458618, 0.95912927235247591
2100-Jan-02 22:00:00, 415.3305194825395, 1.2734682057870239, 168.92352200941085, 2.4386618866314733, 246.40699747312865, 0.95925867387391417
2100-Jan-02 23:00:00, 418.14627181559138, 1.2821017419788254, 171.7059608383716, 2.4788305229667498, 246.44031097721981, 0.95938836283601459
2100-Jan-03 00:00:00, 421.0261135602816, 1.290931786311061, 174.55257491006464, 2.519925624229201, 246.47353865021699, 0.95951771765897853
2100-Jan-03 01:00:00, 423.92375061753694, 1.2998163938494678, 177.41720501083569, 2.5612808136246628, 246.50654560670122, 0.95964621323593191
2100-Jan-03 02:00:00, 426.89275430978898, 1.308919822631099, 180.35352529080359, 2.6036709572146233, 246.53922901898537, 0.95977344926026109
2100-Jan-03 03:00:00, 429.94281245233969, 1.3182717770099379, 183.37129077630354, 2.6472368832901561, 246.57152167603618, 0.95989916408044107
2100-Jan-03 04:00:00, 433.02415626102771, 1.3277196581248432, 186.42076368806877, 2.6912605531484171, 246.60339257295894, 0.96002323699489078
2100-Jan-03 05:00:00, 436.08631737198647, 1.3371087220940934, 189.45147194213428, 2.7350133273078217, 246.63484542985219, 0.96014568248589705
2100-Jan-03 06:00:00, 439.02603459422949, 1.3461223539870619, 192.36011875057841, 2.7770039632420511, 246.66591584365108, 0.96026663913178401
2100-Jan-03 07:00:00, 441.89228721089631, 1.3549107319315161, 195.1956196592991, 2.8179386294942788, 246.69666755159722, 0.96038635506065895
2100-Jan-03 08:00:00, 444.54023421075635, 1.3630297507773552, 197.81304609250472, 2.855725066858311, 246.7271881182516, 0.96050517116001888
2100-Jan-03 09:00:00, 446.55392233437777, 1.3692040329008981, 199.79633801149967, 2.8843568308387453, 246.7575843228781, 0.96062350311990574
2100-Jan-03 10:00:00, 447.42605803142055, 1.3718781370883284, 200.63808059655076, 2.896508635016759, 246.78797743486976, 0.96074182304021238
2100-Jan-03 11:00:00, 446.79379236138936, 1.3699395118474034, 199.97529417600339, 2.8869403288179587, 246.81849818538598, 0.96086063985534365
2100-Jan-03 12:00:00, 444.48704438239213, 1.3628666624606636, 197.6377635295872, 2.8531946027731836, 246.84928085280495, 0.96098047630897299
2100-Jan-03 13:00:00, 440.57025214821522, 1.3508571660597917, 193.68979621917612, 2.7961998320329067, 246.88045592903913, 0.96110184040412039
2100-Jan-03 14:00:00, 435.35342656046004, 1.3348615644617692, 188.44128520750129, 2.7204297816960215, 246.91214135295874, 0.9612251912750045
2100-Jan-03 15:00:00, 429.42503062735807, 1.316684177108852, 182.4805977468875, 2.6343784067577745, 246.94443288047054, 0.96135090169790638
2100-Jan-03 16:00:00, 423.57104574938217, 1.2987349456665096, 176.59365109746, 2.5493915899319219, 246.97739465192217, 0.9614792213702188
2100-Jan-03 17:00:00, 418.68560604796647, 1.2837554249253085, 171.67455473749246, 2.4783771292634298, 247.01105131047402, 0.96161024622738822
2100-Jan-03 18:00:00, 415.39144424096639, 1.2736550106067097, 168.34606107229388, 2.4303253804918059, 247.04538316867249, 0.9617438996264589
2100-Jan-03 19:00:00, 413.81946743807782, 1.2688350843436278, 166.73914167137463, 2.4071271127118332, 247.08032576670317, 0.9618799306263589
2100-Jan-03 20:00:00, 413.71015265869755, 1.2684999081660215, 166.59437810180643, 2.4050372356155041, 247.11577455689113, 0.96201793222458809
2100-Jan-03 21:00:00, 414.59244929023703, 1.2712051673647395, 167.44085496710989, 2.4172573861592266, 247.15159432312717, 0.9621573780269006
2100-Jan-03 22:00:00, 416.23871124467735, 1.2762528634983841, 169.05107949082941, 2.4405033682948312, 247.18763175384794, 0.96229767119372434
2100-Jan-03 23:00:00, 418.54573826767512, 1.2833265684775883, 171.32200930639172, 2.47328761244597, 247.22372896128337, 0.96243819707038425
2100-Jan-04 00:00:00, 421.37761660065951, 1.2920095495024499, 174.11788059994424, 2.5136501663544406, 247.25973600071526, 0.962578371924385
2100-Jan-04 01:00:00, 424.42499924446707, 1.3013533003844973, 177.12947795881354, 2.557127046362575, 247.29552128565354, 0.96271768349153253
2100-Jan-04 02:00:00, 427.56456748906885, 1.3109797067087428, 180.23358798874094, 2.6019394841560084, 247.33097950032794, 0.96285572177914336
2100-Jan-04 03:00:00, 430.76854205213459, 1.320803592859219, 183.40250520492265, 2.6476875099197748, 247.36603684721194, 0.96299219949457493
2100-Jan-04 04:00:00, 434.09626812106808, 1.3310069204442836, 186.69561452933652, 2.6952284331874736, 247.40065359173155, 0.96312696195173819
2100-Jan-04 05:00:00, 437.57395318405327, 1.3416700457136952, 190.1391289640618, 2.7449406775696503, 247.43482421999144, 0.963259987685123
2100-Jan-04 06:00:00, 441.15634835819776, 1.3526542285291594, 193.68777252804901, 2.7961706170463656, 247.46857583014875, 0.9633913821874408
2100-Jan-04 07:00:00, 444.6036447979717, 1.363224177536144, 197.1016793744019, 2.8454554319239951, 247.50196542356977, 0.96352136736413918
2100-Jan-04 08:00:00, 447.80984595910923, 1.37305489078388, 200.27476941043119, 2.8912636985387752, 247.53507654867801, 0.96365026846795321
2100-Jan-04 09:00:00, 450.59783789428712, 1.3816033092624045, 203.02982244277439, 2.9310369802327805, 247.56801545151274, 0.96377849911308966
2100-Jan-04 10:00:00, 452.69049512241213, 1.3880197229874247, 205.0895884349666, 2.9607727610215506, 247.60090668744556, 0.96390654419170563
2100-Jan-04 11:00:00, 453.59635787031675, 1.3907972395775869, 205.96246967882666, 2.9733740979794576, 247.63388819149012, 0.96403494068270057
2100-Jan-04 12:00:00, 453.15163318231157, 1.3894336442626827, 205.48452747630654, 2.9664742925560685, 247.667105706005, 0.96416425595884825
2100-Jan-04 13:00:00, 451.54059896245678, 1.3844939618623233, 203.83989269720649, 2.9427315472858364, 247.70070626525029, 0.96429506242227492
2100-Jan-04 14:00:00, 449.14727177607108, 1.3771556471107245, 201.41244124347358, 2.907687680857709, 247.73483053259753, 0.96442790767333564
2100-Jan-04 15:00:00, 446.40240608529103, 1.3687394604295264, 198.63280164623345, 2.8675594555890962, 247.76960443905759, 0.96456328195953034
2100-Jan-04 16:00:00, 443.77997804245251, 1.360698686689422, 195.97484681863531, 2.8291879306685428, 247.80513122381723, 0.96470158718943455
2100-Jan-04 17:00:00, 441.64820334661511, 1.3541623327021626, 193.80671820242762, 2.7978877744868234, 247.84148514418746, 0.96484311244562482
2100-Jan-04 18:00:00, 440.23400723722693, 1.3498261866749037, 192.35529939780628, 2.7769343887281894, 247.87870783942066, 0.96498801982907401
2100-Jan-04 19:00:00, 439.59062951605813, 1.3478534901506007, 191.67382162699076, 2.767096245132167, 247.91680788906737, 0.96513634273984128
2100-Jan-04 20:00:00, 439.58321193465406, 1.3478307466881321, 191.62744837130634, 2.766426778323452, 247.95576356334769, 0.9652879965842257
2100-Jan-04 21:00:00, 440.14721792336229, 1.3495600770907914, 192.15168971969308, 2.7739949806702855, 247.99552820366918, 0.96544279972104008
2100-Jan-04 22:00:00, 441.13376273201698, 1.3525849774736749, 193.09772548393417, 2.7876524117621879, 248.03603724808281, 0.96560050081160409
2100-Jan-04 23:00:00, 442.42397166214255, 1.356540959454928, 194.34675584956014, 2.8056840198630879, 248.07721581258241, 0.96576080833362654
2100-Jan-05 00:00:00, 443.90477722770544, 1.3610813404725481, 195.78579127938048, 2.8264586332175248, 248.11898594832496, 0.96592341883345345
2100-Jan-05 01:00:00, 445.52791548126584, 1.3660581357296873, 197.36664253867147, 2.8492805686626754, 248.16127294259439, 0.96608804145562321
2100-Jan-05 02:00:00, 447.30764483933649, 1.371515063757111, 199.10363455433335, 2.8743566277904375, 248.20401028500311, 0.96625441727621386
2100-Jan-05 03:00:00, 449.1966463333174, 1.3773070372106053, 200.94950315945951, 2.9010044821656265, 248.24714317385789, 0.96642233295307167
2100-Jan-05 04:00:00, 451.17808745738387, 1.3833824449997592, 202.88745678947151, 2.9289817206185762, 248.29063066791235, 0.96659162910255025
2100-Jan-05 05:00:00, 453.24799681125637, 1.3897291101913805, 204.91355010281421, 2.958231386285223, 248.33444670844213, 0.96676220427843418
2100-Jan-05 06:00:00, 455.29278269638769, 1.3959987429060703, 206.91420245123882, 2.987113773844198, 248.37858024514887, 0.9669340154620808
2100-Jan-05 07:00:00, 457.30576247526085, 1.4021708531340424, 208.8827277941667, 3.0155323603711763, 248.42303468109415, 0.96710707590155687
2100-Jan-05 08:00:00, 459.22114463498724, 1.4080437138267317, 210.75331784340969, 3.0425371055028037, 248.46782679157758, 0.96728145090284734
2100-Jan-05 09:00:00, 460.62294121077946, 1.4123418409484192, 212.10995599258658, 3.0621221917536312, 248.51298521819285, 0.96745725196723842
2100-Jan-05 10:00:00, 460.85889473326165, 1.4130653112806715, 212.30034613930243, 3.064870756245202, 248.55854859395922, 0.96763462949248358
2100-Jan-05 11:00:00, 459.41935361503511, 1.4086514534999608, 210.8147905280386, 3.0434245549905374, 248.60456308699654, 0.96781376321036738
2100-Jan-05 12:00:00, 456.38367419263375, 1.3993435865216166, 207.73259555822241, 2.9989284936330241, 248.65107863441133, 0.9679948475252822
2100-Jan-05 13:00:00, 452.20712131450523, 1.386537623437778, 203.50897822214716, 2.9379543054401633, 248.69814309235807, 0.9681780687405056
2100-Jan-05 14:00:00, 447.21897788508568, 1.3712431970344752, 198.47318353845347, 2.8652551311751306, 248.74579434663221, 0.9683635743448602
2100-Jan-05 15:00:00, 441.89884662504909, 1.3549308441192325, 193.10479501047129, 2.7877544708757886, 248.7940516145778, 0.96855143915117237
2100-Jan-05 16:00:00, 436.83723120067106, 1.3394111411104157, 187.99432357496087, 2.7139772268055178, 248.84290762571018, 0.96874163485555664
2100-Jan-05 17:00:00, 432.66276441349845, 1.3266115743070863, 183.77044138754536, 2.6529992150902642, 248.89232302595309, 0.96893400825319576
2100-Jan-05 18:00:00, 429.77252446984062, 1.3177496474736583, 180.83030056118201, 2.6105539162396871, 248.94222390865863, 0.9691282716266395
2100-Jan-05 19:00:00, 428.28599012463962, 1.3131917011234058, 179.29348704764001, 2.5883677310491708, 248.99250307699964, 0.96932400766027849
2100-Jan-05 20:00:00, 428.08790109217921, 1.3125843292282036, 179.04487591308308, 2.584778660141672, 249.04302517909611, 0.9695206894313132
2100-Jan-05 21:00:00, 428.93819568701622, 1.315191465186877, 179.8445605245943, 2.5963232950167927, 249.09363516242195, 0.96971771332263035
2100-Jan-05 22:00:00, 430.58420121278641, 1.3202383750701905, 181.44003235152044, 2.6193563000668671, 249.144168861266, 0.96991444023962614
2100-Jan-05 23:00:00, 432.76346420376274, 1.3269203355832642, 183.56899996922985, 2.6500911090823416, 249.19446423453286, 0.9701102393587937
2100-Jan-06 00:00:00, 435.27084018104784, 1.3346083417307655, 186.02646831035594, 2.6855683138541777, 249.24437187069191, 0.97030452902332864
2100-Jan-06 01:00:00, 438.02333831455769, 1.3430479306727967, 188.72957459058517, 2.7245916670420303, 249.29376372397249, 0.97049681075300342
2100-Jan-06 02:00:00, 440.96986631198979, 1.3520824454656564, 191.62732681989408, 2.7664250235483157, 249.34253949209574, 0.97068669407258001
2100-Jan-06 03:00:00, 444.04827240167015, 1.3615213190755067, 194.65764188544506, 2.8101721214476396, 249.39063051622512, 0.97087391169425741
