Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 862.25327118189296, 2.076438120404978, 192.14437012571443, 2.178607570689933, 670.10890105617852, 2.0488868079685858
2100-Jan-01 01:00:00, 865.49938212177653, 2.0842552534028025, 195.58054843347605, 2.2175682962663945, 669.91883368830042, 2.0483056688103729
2100-Jan-01 02:00:00, 869.09206797912043, 2.0929069919559113, 199.37799857080796, 2.2606252623023808, 669.71406940831241, 2.0476795932107961
2100-Jan-01 03:00:00, 873.03195819624614, 2.1023948518579525, 203.53782506721407, 2.3077909923828277, 669.49413312903209, 2.0470071285703462
2100-Jan-01 04:00:00, 877.21283820909241, 2.1124630521485859, 207.95345921951807, 2.3578571691191663, 669.25937898957432, 2.0462893576846093
2100-Jan-01 05:00:00, 881.59200338051312, 2.1230087535119728, 212.5811097950301, 2.4103272704899319, 669.01089358548302, 2.0455296028662313
2100-Jan-01 06:00:00, 886.07345373007206, 2.1338007732717488, 217.32307017663177, 2.4640934608836966, 668.75038355344032, 2.0447330822303251
2100-Jan-01 07:00:00, 890.48891556112517, 2.1444338825583333, 222.0088567921309, 2.5172227312780611, 668.48005876899424, 2.0439065525664963
2100-Jan-01 08:00:00, 894.33873615898699, 2.1537048410032495, 226.13621790828324, 2.5640203562552468, 668.20251825070375, 2.0430579604858572
2100-Jan-01 09:00:00, 896.80600726175226, 2.1596464082229749, 228.88536733830921, 2.5951912813117231, 667.9206399234431, 2.0421961053675828
2100-Jan-01 10:00:00, 897.19102982561935, 2.1605736016075054, 229.55356307230804, 2.6027675443260394, 667.63746675331129, 2.0413302912114966
2100-Jan-01 11:00:00, 894.96194442070646, 2.1552056220786429, 227.60587083052658, 2.5806838524617248, 667.3560735901799, 2.0404699195034297
2100-Jan-01 12:00:00, 890.19957574616262, 2.143737107907985, 223.1201752693419, 2.5298232922329067, 667.07940047682075, 2.0396239795507034
2100-Jan-01 13:00:00, 883.43745251990777, 2.1274528780753452, 216.62740173216429, 2.456205701597201, 666.81005078774353, 2.0388004312829353
2100-Jan-01 14:00:00, 875.48183050867522, 2.1082945201221039, 208.93175969864026, 2.368949520296725, 666.55007081003498, 2.0380055313109704
2100-Jan-01 15:00:00, 867.38602847277457, 2.0887985871701136, 201.08528390095267, 2.279983127136763, 666.30074457182195, 2.0372432056060736
2100-Jan-01 16:00:00, 860.19445164574415, 2.0714801672016994, 194.13200760385601, 2.2011441771740738, 666.06244404188817, 2.0365145914788121
2100-Jan-01 17:00:00, 854.79261570694018, 2.0584717177838949, 188.95804615027524, 2.1424797906721222, 665.83456955666497, 2.0358178554320134
2100-Jan-01 18:00:00, 851.61328225223269, 2.0508153952120076, 185.99768043738044, 2.1089140132834649, 665.6156018148522, 2.0351483521365585
2100-Jan-01 19:00:00, 850.57708408511724, 2.0483200711043437, 185.17381737713356, 2.0995727336035488, 665.40326670798368, 2.034499128407929
2100-Jan-01 20:00:00, 851.19623224311079, 2.0498110748272684, 186.0014406432507, 2.1089566479595208, 665.19479159986008, 2.0338617067916052
2100-Jan-01 21:00:00, 852.91255822347898, 2.0539442510201438, 187.92534614692494, 2.1307706365393289, 664.9872120765541, 2.0332270234644092
2100-Jan-01 22:00:00, 855.25314905634639, 2.0595807527210588, 190.47547059281086, 2.1596849389483643, 664.77767846353549, 2.0325863654238083
2100-Jan-01 23:00:00, 857.94866199910678, 2.0660719612968417, 193.38494591308645, 2.1926737012802544, 664.56371608602035, 2.0319321662451353
2100-Jan-02 00:00:00, 860.97731990500631, 2.0733654340381578, 196.63390984777052, 2.2295117175092503, 664.34341005723581, 2.0312585710796611
2100-Jan-02 01:00:00, 864.39166344092973, 2.0815876969290041, 200.27615684158076, 2.2708089299638541, 664.11550659934892, 2.0305617464476962
2100-Jan-02 02:00:00, 868.15085481674373, 2.0906404063074659, 204.27141302781894, 2.3161086978857006, 663.87944178892485, 2.0298399681290662
2100-Jan-02 03:00:00, 872.14596170090977, 2.1002612364122957, 208.51064296044939, 2.364174734996658, 663.63531874046043, 2.0290935514007828
