Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 694.47657974451795, 2.1293736012230142, 149.74469895577329, 2.1617870958681782, 544.73188078874466, 2.1206328835658912
2100-Jan-01 01:00:00, 697.01617753258211, 2.1371604044721857, 152.43689926934127, 2.2006530052322377, 544.57927826324089, 2.120038804267228
2100-Jan-01 02:00:00, 699.8352985799678, 2.1458042696679906, 155.4207969830538, 2.243729999729382, 544.41450159691396, 2.1193973312244694
2100-Jan-01 03:00:00, 702.9339149810155, 2.1553051112473205, 158.69670910650248, 2.2910226558638143, 544.23720587451305, 2.1187071216878168
2100-Jan-01 04:00:00, 706.22725126258672, 2.1654029943760902, 162.17953142713554, 2.3413023679501159, 544.04771983545118, 2.1179694554347797
2100-Jan-01 05:00:00, 709.67917834284731, 2.1759871416496495, 165.83221308744754, 2.3940342518407705, 543.84696525539971, 2.1171879209239539
2100-Jan-01 06:00:00, 713.21305848053976, 2.1868225697901593, 169.57669380523592, 2.4480913914449771, 543.63636467530387, 2.1163680560854892
2100-Jan-01 07:00:00, 716.69568198429613, 2.1975008370898652, 173.27793580953576, 2.5015243160117682, 543.4177461747604, 2.1155169776053073
2100-Jan-01 08:00:00, 719.73508598527428, 2.2068201242075323, 176.54183538776005, 2.5486435532176124, 543.19325059751429, 2.1146430197553761
2100-Jan-01 09:00:00, 721.68708959300784, 2.212805271976416, 178.72184775140153, 2.5801152689405518, 542.96524184160637, 2.1137553851546267
2100-Jan-01 10:00:00, 721.99578534802367, 2.2137517813486718, 179.2595715549179, 2.5878781105482282, 542.73621379310578, 2.112863782463398
2100-Jan-01 11:00:00, 720.23830917018836, 2.2083630850455687, 177.72962836757242, 2.5657911087185892, 542.50868080261591, 2.1119780000101476
2100-Jan-01 12:00:00, 716.47751747933012, 2.1968319106621816, 174.19247741151435, 2.5147270821035135, 542.28504006781577, 2.1111073700487886
2100-Jan-01 13:00:00, 711.13613485814346, 2.1804543977563173, 169.06872983870338, 2.4407581772766385, 542.06740501944012, 2.1102601201328599
2100-Jan-01 14:00:00, 704.85220229667993, 2.1611868796016105, 162.9947781615717, 2.3530716651789501, 541.8574241351082, 2.10944266776053
2100-Jan-01 15:00:00, 698.46036318301151, 2.1415885031136415, 156.80424943826844, 2.2637021903063146, 541.65611374474304, 2.1086589694886504
2100-Jan-01 16:00:00, 692.7896659932112, 2.1242012603344356, 151.32592789282265, 2.1846144836526111, 541.46373810038858, 2.1079100540463882
2100-Jan-01 17:00:00, 688.54144041222685, 2.111175537555539, 147.26167528281519, 2.1259409619324359, 541.27976512941166, 2.1071938500831173
2100-Jan-01 18:00:00, 686.05552371210479, 2.1035533289016106, 144.95260893187367, 2.0926061602614725, 541.10291478023112, 2.1065053743776025
2100-Jan-01 19:00:00, 685.2650080219048, 2.1011294843960355, 144.33370800927082, 2.0836714063941661, 540.93130001263398, 2.1058372807111461
2100-Jan-01 20:00:00, 685.78096225017134, 2.1027114806003051, 145.01832062412444, 2.093554806119029, 540.76264162604696, 2.1051806961907618
2100-Jan-01 21:00:00, 687.15922805349885, 2.1069374587004646, 146.56470589341461, 2.115879173817544, 540.59452216008424, 2.1045262096801287
2100-Jan-01 22:00:00, 689.02481156148667, 2.1126576289533587, 148.60017489060201, 2.1452641914031014, 540.42463667088464, 2.1038648480680346
2100-Jan-01 23:00:00, 691.16500228627297, 2.1192197877991168, 150.91399945114512, 2.1786676848954643, 540.25100283512791, 2.1031888942001022
2100-Jan-02 00:00:00, 693.56296598248082, 2.1265723188135892, 153.49085866816145, 2.21586847425269, 540.0721073143194, 2.1024924566727083
2100-Jan-02 01:00:00, 696.26107644044782, 2.1348451466524954, 156.37409339367289, 2.2574922490335956, 539.88698304677496, 2.1017717707295018
2100-Jan-02 02:00:00, 699.22848095264885, 2.1439436720984584, 159.53325341727444, 2.3030994152333251, 539.69522753537444, 2.1010252694553482
2100-Jan-02 03:00:00, 702.38007064496242, 2.1536069380579352, 162.88309057057057, 2.3514592889500849, 539.49698007439179, 2.1002534951207261
2100-Jan-02 04:00:00, 705.67229189502689, 2.1637014023260486, 166.37941766039702, 2.4019339624338754, 539.29287423462983, 2.0994589142070841
2100-Jan-02 05:00:00, 709.0210407350886, 2.1739691890090449, 169.93706457345402, 2.4532938786241196, 539.08397616163461, 2.0986456772027329
2100-Jan-02 06:00:00, 712.4113875737778, 2.1843645216492766, 173.53967217474494, 2.5053028691143107, 538.87171539903284, 2.0978193492991553
2100-Jan-02 07:00:00, 715.78855180653045, 2.1947194343619034, 177.13073892352406, 2.5571452502606697, 538.65781288300639, 2.0969866300745958
2100-Jan-02 08:00:00, 718.78283038332245, 2.2039003598849414, 180.33862091003985, 2.603455790345738, 538.44420947328263, 2.0961550752662998
2100-Jan-02 09:00:00, 720.81266584360333, 2.2101241522632797, 182.57966913447626, 2.6358086493556971, 538.23299670912706, 2.0953328272046505
2100-Jan-02 10:00:00, 721.36483609152447, 2.2118171924371279, 183.33849138895812, 2.6467633754277098, 538.02634470256635, 2.0945283341025891
2100-Jan-02 11:00:00, 719.94524355762587, 2.2074645001299387, 182.11882917318164, 2.6291557401807197, 537.82641438444421, 2.0937500084308516
2100-Jan-02 12:00:00, 716.6497463489643, 2.1973599912613895, 179.01450383985397, 2.584340194162984, 537.6352425091103, 2.0930057792429819
2100-Jan-02 13:00:00, 711.83391114747133, 2.1825938887822072, 174.37931432983572, 2.5174243504667708, 537.45459681763566, 2.0923025283279433
2100-Jan-02 14:00:00, 705.57361409033183, 2.1633988407732581, 168.28780067716997, 2.4294843051732347, 537.2858134131618, 2.0916454571148368
2100-Jan-02 15:00:00, 698.43952833781213, 2.1415246202259426, 161.30988631164195, 2.3287477493107338, 537.12964202617025, 2.0910374842929658
2100-Jan-02 16:00:00, 691.67056845523734, 2.1207699325919913, 154.68444609638792, 2.2330996812211081, 536.98612235884946, 2.0904787644223419
2100-Jan-02 17:00:00, 686.39538971036848, 2.1045954111053362, 149.54087985709918, 2.1588446645134942, 536.85450985326929, 2.089966398950327
2100-Jan-02 18:00:00, 683.11241931586585, 2.094529311404433, 146.3791418181095, 2.1132002808333605, 536.73327749775638, 2.0894944432438232
2100-Jan-02 19:00:00, 681.8325068944381, 2.0906049001261313, 145.21228884404994, 2.0963550254107135, 536.62021805038819, 2.0890543045437724
2100-Jan-02 20:00:00, 682.22105703379066, 2.0917962555060252, 145.70841279619438, 2.1035173113892891, 536.51264423759631, 2.0886355213352572
2100-Jan-02 21:00:00, 683.82808026605255, 2.0967236395923097, 147.42042602664512, 2.1282327646597725, 536.40765423940741, 2.0882267968774881
2100-Jan-02 22:00:00, 686.21105555204758, 2.10403021380138, 149.90864065907263, 2.1641538378038763, 536.30241489297498, 2.0878171017108196
