Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1816.4501070247795, 4.287742593955608, 1367.7757062548496, 15.336057471124128, 448.67440076992983, 1.3415252933773474
2100-Jan-01 01:00:00, 1897.5947353840897, 4.4792850304592964, 1449.0159643468237, 16.24695628397037, 448.57877103726605, 1.3412393628563566
2100-Jan-01 02:00:00, 1984.5805334009638, 4.6846155869022006, 1536.1111742289975, 17.223503197403968, 448.46935917196635, 1.3409122241017424
2100-Jan-01 03:00:00, 2076.1783536542994, 4.9008328525979872, 1627.829527049106, 18.25188666961629, 448.34882660519344, 1.3405518347264536
2100-Jan-01 04:00:00, 2166.0001832110925, 5.1128578804081384, 1717.7799814415985, 19.26044774568205, 448.22020176949394, 1.3401672496684442
2100-Jan-01 05:00:00, 2255.0836157177519, 5.3231399170560971, 1806.9969162631376, 20.260784302007554, 448.08669945461418, 1.3397680810690584
2100-Jan-01 06:00:00, 2340.4663050465974, 5.5246863247476439, 1892.5147249385207, 21.219644751606669, 447.95158010807671, 1.3393640775852547
2100-Jan-01 07:00:00, 2416.9170835246418, 5.7051488972970725, 1969.0990454599244, 22.078339298916021, 447.81803806471737, 1.3389647901987034
2100-Jan-01 08:00:00, 2466.4071466711539, 5.8219705214695203, 2018.718032582578, 22.634687561786979, 447.68911408857576, 1.338579310718216
2100-Jan-01 09:00:00, 2467.9280553751328, 5.825560636610227, 2020.3604368183414, 22.653102866018003, 447.56761855679127, 1.3382160421015052
2100-Jan-01 10:00:00, 2415.590431439547, 5.7020173262009974, 1968.1343959750877, 22.067523256584451, 447.45603546445938, 1.3378824114320942
2100-Jan-01 11:00:00, 2306.2309103698635, 5.4438734472517964, 1858.8745362460097, 20.842457275057292, 447.35637412385358, 1.3375844265036803
2100-Jan-01 12:00:00, 2159.2344485568483, 5.0968873186271049, 1711.9644822276541, 19.195242003424401, 447.26996632919406, 1.3373260693478413
2100-Jan-01 13:00:00, 1996.2823443857801, 4.7122377897868128, 1549.0850980955188, 17.368972108083604, 447.19724629026121, 1.3371086382410156
2100-Jan-01 14:00:00, 1838.2256366591805, 4.3391438769076034, 1391.0880604203608, 15.597445066790975, 447.13757623881986, 1.3369302262720502
2100-Jan-01 15:00:00, 1708.7785129158485, 4.0335830778562949, 1261.6893261738378, 14.146573834014715, 447.08918674201067, 1.3367855428807269
2100-Jan-01 16:00:00, 1622.5481390161258, 3.8300357050808556, 1175.4988657305992, 13.180171339237642, 447.04927328552668, 1.3366662026390561
2100-Jan-01 17:00:00, 1587.9624519042561, 3.7483959599553036, 1140.9481976682061, 12.79277519771569, 447.01425423605002, 1.3365614965525436
2100-Jan-01 18:00:00, 1601.1748348396113, 3.779583878005178, 1154.1946731026112, 12.941300067416817, 446.980161737, 1.3364595608287502
2100-Jan-01 19:00:00, 1650.1148875751717, 3.8951071989338235, 1203.1717841415814, 13.490451354596738, 446.94310343359035, 1.3363487574237234
2100-Jan-01 20:00:00, 1718.0581375603597, 4.0554876937278319, 1271.158426952411, 14.252745242876546, 446.89971060794875, 1.3362190139548527
2100-Jan-01 21:00:00, 1793.7932950194606, 4.234261038088615, 1346.9458071041715, 15.102504170658504, 446.84748791528915, 1.336062869403323
2100-Jan-01 22:00:00, 1869.4739790213519, 4.4129057974902981, 1422.6889728093613, 15.9517673480842, 446.78500621199061, 1.3358760506652705
2100-Jan-01 23:00:00, 1942.5354095133853, 4.5853677915106745, 1495.823484113891, 16.7717812314715, 446.71192539949413, 1.3356575408544671
2100-Jan-02 00:00:00, 2017.1256010383149, 4.7614384361465438, 1570.4967232383055, 17.609047956951443, 446.62887780000938, 1.3354092305985845
2100-Jan-02 01:00:00, 2095.5164432098404, 4.9464805419853013, 1648.9791761039548, 18.48902513604467, 446.53726710588569, 1.3351353169028179
2100-Jan-02 02:00:00, 2174.8302574880859, 5.1337013296385008, 1728.3912123511479, 19.379425182058522, 446.43904513693792, 1.3348416356598438
2100-Jan-02 03:00:00, 2251.5809153458108, 5.3148717694639593, 1805.2444014783657, 20.241134393520841, 446.33651386744492, 1.3345350697154732
2100-Jan-02 04:00:00, 2327.1994096670564, 5.4933697297096531, 1880.9672421734253, 21.090169678667099, 446.2321674936311, 1.3342230766543508
2100-Jan-02 05:00:00, 2397.8457692495572, 5.6601309327387543, 1951.7172023559133, 21.883447005115105, 446.12856689364406, 1.3339133134384127
2100-Jan-02 06:00:00, 2466.1242760017321, 5.8213028033675096, 2020.0960363799284, 22.650138300775069, 446.02823962180361, 1.3336133373921784
2100-Jan-02 07:00:00, 2529.9066590845187, 5.9718615440840397, 2083.9730574464293, 23.366353438739754, 445.93360163808956, 1.3333303721758683
2100-Jan-02 08:00:00, 2570.5308476187006, 6.0677552120957641, 2124.6839496391058, 23.822820518475485, 445.84689797959481, 1.3330711303945242
2100-Jan-02 09:00:00, 2570.5643635483571, 6.0678343266712806, 2124.7942062284442, 23.824056760194747, 445.77015731991281, 1.3328416777317087
2100-Jan-02 10:00:00, 2523.4498219884567, 5.9566201370495442, 2077.744689027109, 23.2965184390441, 445.7051329613476, 1.3326472565176808
