Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2566.1934667890368, 2.6875809654097322, 1879.6300681177122, 14.050117826231357, 686.56339867132476, 0.83619808423561903
2100-Jan-01 01:00:00, 2679.6195012218714, 2.8063723406777199, 1993.198561477896, 14.899035248932549, 686.42093974397562, 0.83602457676003539
2100-Jan-01 02:00:00, 2801.6412405841461, 2.9341660196502479, 2115.3826906541344, 15.812354013374721, 686.25854993001155, 0.83582679451356123
2100-Jan-01 03:00:00, 2930.410038207533, 3.0690259099547554, 2244.3298679871427, 16.776226142055339, 686.08017022039019, 0.83560953741575994
2100-Jan-01 04:00:00, 3056.9452667453129, 3.2015465776569556, 2371.0550232874421, 17.723488794274822, 685.89024345787072, 0.83537821661527567
2100-Jan-01 05:00:00, 3182.4774896116865, 3.3330167949603235, 2496.7840293277945, 18.663305292747264, 685.6934602838918, 0.83513854506650187
2100-Jan-01 06:00:00, 3302.8842942578826, 3.4591191486841972, 2617.3897315861504, 19.564825414173178, 685.49456267173207, 0.83489629824331135
2100-Jan-01 07:00:00, 3410.8347653771825, 3.5721759525230228, 2725.5365779716708, 20.37321636302277, 685.29818740551173, 0.83465712350471843
2100-Jan-01 08:00:00, 3481.1563770484045, 3.6458239558518568, 2796.04763473299, 20.900282125777203, 685.10874231541425, 0.83442638935589264
2100-Jan-01 09:00:00, 3484.2836298855791, 3.6490991357274143, 2799.3533343080153, 20.924992024450901, 684.93029557756381, 0.83420905062123629
2100-Jan-01 10:00:00, 3411.6611813974846, 3.5730414601296854, 2726.8947473772278, 20.383368594836753, 684.76643402025684, 0.83400947586883156
2100-Jan-01 11:00:00, 3258.8366590939859, 3.4129879479895253, 2574.2166178531816, 19.242109074845331, 684.62004124080431, 0.83383117716843325
2100-Jan-01 12:00:00, 3052.989097968537, 3.1974032720028753, 2368.4961035117044, 17.704361028143165, 684.49299445683243, 0.83367644087230797
2100-Jan-01 13:00:00, 2824.6062674355157, 2.9582173508669443, 2140.2204282914295, 15.998014557042488, 684.38583914408639, 0.83354593134120381
2100-Jan-01 14:00:00, 2602.9888343140974, 2.7261168477020932, 1918.6912963920381, 14.342098077558784, 684.29753792205918, 0.83343838510026269
2100-Jan-01 15:00:00, 2421.4769176820109, 2.5360189542857285, 1737.2515218831661, 12.985847050585505, 684.2253957988446, 0.83335051979118646
