Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 288.02747915581915, 1.3601090344639759, null, null, 288.02747915581915, 1.3601090344639759
2100-Jan-01 01:00:00, 288.22799312750533, 1.3610558915667286, null, null, 288.22799312750533, 1.3610558915667286
2100-Jan-01 02:00:00, 288.46505068388842, 1.3621753129673171, null, null, 288.46505068388842, 1.3621753129673171
2100-Jan-01 03:00:00, 288.73337311742182, 1.3634423718155484, null, null, 288.73337311742182, 1.3634423718155484
2100-Jan-01 04:00:00, 289.03126120402862, 1.3648490441200125, null, null, 289.03126120402862, 1.3648490441200125
2100-Jan-01 05:00:00, 289.35861605643038, 1.3663948629201221, null, null, 289.35861605643038, 1.3663948629201221
2100-Jan-01 06:00:00, 289.71124740363251, 1.368060041126627, null, null, 289.71124740363251, 1.368060041126627
2100-Jan-01 07:00:00, 290.08303900213872, 1.3698156969187347, null, null, 290.08303900213872, 1.3698156969187347
2100-Jan-01 08:00:00, 290.45403907479806, 1.3715676150068621, null, null, 290.45403907479806, 1.3715676150068621
2100-Jan-01 09:00:00, 290.77276397365563, 1.3730726818696328, null, null, 290.77276397365563, 1.3730726818696328
2100-Jan-01 10:00:00, 290.98196994775884, 1.3740605839138251, null, null, 290.98196994775884, 1.3740605839138251
2100-Jan-01 11:00:00, 291.02386749632177, 1.3742584304335022, null, null, 291.02386749632177, 1.3742584304335022
2100-Jan-01 12:00:00, 290.8805676363254, 1.373581746962919, null, null, 290.8805676363254, 1.373581746962919
2100-Jan-01 13:00:00, 290.574238960657, 1.3721352169286558, null, null, 290.574238960657, 1.3721352169286558
2100-Jan-01 14:00:00, 290.14926919938057, 1.370128445861603, null, null, 290.14926919938057, 1.370128445861603
2100-Jan-01 15:00:00, 289.66803682289174, 1.3678559942717152, null, null, 289.66803682289174, 1.3678559942717152
2100-Jan-01 16:00:00, 289.19440927412666, 1.3656194538210107, null, null, 289.19440927412666, 1.3656194538210107
2100-Jan-01 17:00:00, 288.78331693320922, 1.3636782140180603, null, null, 288.78331693320922, 1.3636782140180603
2100-Jan-01 18:00:00, 288.47094286907884, 1.3622031367511231, null, null, 288.47094286907884, 1.3622031367511231
2100-Jan-01 19:00:00, 288.26941339966243, 1.3612514843155037, null, null, 288.26941339966243, 1.3612514843155037
2100-Jan-01 20:00:00, 288.16934180754498, 1.3607789312211565, null, null, 288.16934180754498, 1.3607789312211565
