Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 678.25265920395282, 2.0392879507168975, null, null, 678.25265920395282, 2.0392879507168975
2100-Jan-01 01:00:00, 679.94356792888289, 2.0443719702805789, null, null, 679.94356792888289, 2.0443719702805789
2100-Jan-01 02:00:00, 682.38819125889893, 2.0517221676344595, null, null, 682.38819125889893, 2.0517221676344595
2100-Jan-01 03:00:00, 685.53210184591512, 2.061174897220154, null, null, 685.53210184591512, 2.061174897220154
2100-Jan-01 04:00:00, 689.27200387544883, 2.072419581693107, null, null, 689.27200387544883, 2.072419581693107
2100-Jan-01 05:00:00, 693.54890972036696, 2.0852788642002023, null, null, 693.54890972036696, 2.0852788642002023
2100-Jan-01 06:00:00, 698.24850431801121, 2.0994090360560391, null, null, 698.24850431801121, 2.0994090360560391
2100-Jan-01 07:00:00, 703.21140173250228, 2.1143308749322687, null, null, 703.21140173250228, 2.1143308749322687
2100-Jan-01 08:00:00, 708.02131453106017, 2.1287927381936829, null, null, 708.02131453106017, 2.1287927381936829
2100-Jan-01 09:00:00, 711.98538686915003, 2.1407114308005424, null, null, 711.98538686915003, 2.1407114308005424
2100-Jan-01 10:00:00, 714.4814960762676, 2.1482164296541004, null, null, 714.4814960762676, 2.1482164296541004
2100-Jan-01 11:00:00, 714.93677841823808, 2.1495853174594859, null, null, 714.93677841823808, 2.1495853174594859
2100-Jan-01 12:00:00, 713.23584380911996, 2.1444711532814891, null, null, 713.23584380911996, 2.1444711532814891
2100-Jan-01 13:00:00, 709.58577936131599, 2.1334965815688132, null, null, 709.58577936131599, 2.1334965815688132
2100-Jan-01 14:00:00, 704.40564598138064, 2.1179215839017096, null, null, 704.40564598138064, 2.1179215839017096
2100-Jan-01 15:00:00, 698.39820432465785, 2.0998591359054597, null, null, 698.39820432465785, 2.0998591359054597
2100-Jan-01 16:00:00, 692.33151816123859, 2.081618558701734, null, null, 692.33151816123859, 2.081618558701734
2100-Jan-01 17:00:00, 686.95227605359844, 2.0654449050267534, null, null, 686.95227605359844, 2.0654449050267534
2100-Jan-01 18:00:00, 682.75696385767822, 2.052830948421442, null, null, 682.75696385767822, 2.052830948421442
2100-Jan-01 19:00:00, 679.92256254707308, 2.0443088138425707, null, null, 679.92256254707308, 2.0443088138425707
