Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 12.952903738002066, 1.4487410229511972, null, null, 12.952903738002066, 1.4487410229511972
2100-Jan-01 01:00:00, 12.957438783986273, 1.4492482533986077, null, null, 12.957438783986273, 1.4492482533986077
2100-Jan-01 02:00:00, 12.968109611008353, 1.4504417514102039, null, null, 12.968109611008353, 1.4504417514102039
2100-Jan-01 03:00:00, 12.984627380213553, 1.4522892112801484, null, null, 12.984627380213553, 1.4522892112801484
2100-Jan-01 04:00:00, 13.006469962070462, 1.4547322344835429, null, null, 13.006469962070462, 1.4547322344835429
2100-Jan-01 05:00:00, 13.033162648760257, 1.4577177264629848, null, null, 13.033162648760257, 1.4577177264629848
2100-Jan-01 06:00:00, 13.064088355356221, 1.4611766682350817, null, null, 13.064088355356221, 1.4611766682350817
2100-Jan-01 07:00:00, 13.098360116723317, 1.4650098555748161, null, null, 13.098360116723317, 1.4650098555748161
2100-Jan-01 08:00:00, 13.134025411074113, 1.4689989051398209, null, null, 13.134025411074113, 1.4689989051398209
2100-Jan-01 09:00:00, 13.167650976791077, 1.4727598175544778, null, null, 13.167650976791077, 1.4727598175544778
2100-Jan-01 10:00:00, 13.195284082469911, 1.4758504924022358, null, null, 13.195284082469911, 1.4758504924022358
2100-Jan-01 11:00:00, 13.212893137501149, 1.4778200091156437, null, null, 13.212893137501149, 1.4778200091156437
2100-Jan-01 12:00:00, 13.217896796279792, 1.4783796524113939, null, null, 13.217896796279792, 1.4783796524113939
2100-Jan-01 13:00:00, 13.209586373053195, 1.4774501580454986, null, null, 13.209586373053195, 1.4774501580454986
2100-Jan-01 14:00:00, 13.188948506976148, 1.4751418784645833, null, null, 13.188948506976148, 1.4751418784645833
2100-Jan-01 15:00:00, 13.158853652428403, 1.4717758648474859, null, null, 13.158853652428403, 1.4717758648474859
2100-Jan-01 16:00:00, 13.123432613053115, 1.4678141344234423, null, null, 13.123432613053115, 1.4678141344234423
2100-Jan-01 17:00:00, 13.0874204482335, 1.4637862885014203, null, null, 13.0874204482335, 1.4637862885014203
2100-Jan-01 18:00:00, 13.054996991438282, 1.4601598281404662, null, null, 13.054996991438282, 1.4601598281404662
2100-Jan-01 19:00:00, 13.028938364386885, 1.4572452537118472, null, null, 13.028938364386885, 1.4572452537118472
2100-Jan-01 20:00:00, 13.010343712148877, 1.4551655010903808, null, null, 13.010343712148877, 1.4551655010903808
2100-Jan-01 21:00:00, 12.999195042465008, 1.453918557899182, null, null, 12.999195042465008, 1.453918557899182
2100-Jan-01 22:00:00, 12.994848366033592, 1.4534323959862194, null, null, 12.994848366033592, 1.4534323959862194
2100-Jan-01 23:00:00, 12.996564893303745, 1.4536243840935648, null, null, 12.996564893303745, 1.4536243840935648
2100-Jan-02 00:00:00, 13.003962361054903, 1.454451767297658, null, null, 13.003962361054903, 1.454451767297658
2100-Jan-02 01:00:00, 13.016883638846885, 1.4558969710592882, null, null, 13.016883638846885, 1.4558969710592882
2100-Jan-02 02:00:00, 13.035027339603984, 1.4579262861940745, null, null, 13.035027339603984, 1.4579262861940745
2100-Jan-02 03:00:00, 13.057894109274516, 1.4604838615419777, null, null, 13.057894109274516, 1.4604838615419777
2100-Jan-02 04:00:00, 13.085027016314831, 1.4635185907653485, null, null, 13.085027016314831, 1.4635185907653485
2100-Jan-02 05:00:00, 13.11582043454403, 1.466962736505014, null, null, 13.11582043454403, 1.466962736505014
2100-Jan-02 06:00:00, 13.149802416868845, 1.4707635129819303, null, null, 13.149802416868845, 1.4707635129819303
2100-Jan-02 07:00:00, 13.186414043125831, 1.4748584067561996, null, null, 13.186414043125831, 1.4748584067561996
2100-Jan-02 08:00:00, 13.223924730959496, 1.479053857703952, null, null, 13.223924730959496, 1.479053857703952
2100-Jan-02 09:00:00, 13.259299731437119, 1.4830104388239438, null, null, 13.259299731437119, 1.4830104388239438
2100-Jan-02 10:00:00, 13.288998779424404, 1.4863321827380549, null, null, 13.288998779424404, 1.4863321827380549
2100-Jan-02 11:00:00, 13.308996110653652, 1.4885688205366019, null, null, 13.308996110653652, 1.4885688205366019
2100-Jan-02 12:00:00, 13.316960172299723, 1.4894595754630147, null, null, 13.316960172299723, 1.4894595754630147
2100-Jan-02 13:00:00, 13.312115394721772, 1.4889177025234621, null, null, 13.312115394721772, 1.4889177025234621
2100-Jan-02 14:00:00, 13.293423170798579, 1.4868270368198122, null, null, 13.293423170798579, 1.4868270368198122
2100-Jan-02 15:00:00, 13.262013603557024, 1.4833139767757944, null, null, 13.262013603557024, 1.4833139767757944
2100-Jan-02 16:00:00, 13.222560188234487, 1.4789012379467705, null, null, 13.222560188234487, 1.4789012379467705
