Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 231.72459838349715, 1.1123229051674233, null, null, 231.72459838349715, 1.1123229051674233
2100-Jan-01 01:00:00, 231.80062747630333, 1.1126878595226251, null, null, 231.80062747630333, 1.1126878595226251
2100-Jan-01 02:00:00, 231.98060758129125, 1.1135517988482255, null, null, 231.98060758129125, 1.1135517988482255
2100-Jan-01 03:00:00, 232.25965823442849, 1.1148912959726214, null, null, 232.25965823442849, 1.1148912959726214
2100-Jan-01 04:00:00, 232.628936916225, 1.1166639050914535, null, null, 232.628936916225, 1.1166639050914535
2100-Jan-01 05:00:00, 233.08039939805204, 1.1188310123509464, null, null, 233.08039939805204, 1.1188310123509464
2100-Jan-01 06:00:00, 233.60359134392218, 1.1213424349157073, null, null, 233.60359134392218, 1.1213424349157073
2100-Jan-01 07:00:00, 234.1834848194475, 1.124126035793144, null, null, 234.1834848194475, 1.124126035793144
2100-Jan-01 08:00:00, 234.78699873492599, 1.1270230193523214, null, null, 234.78699873492599, 1.1270230193523214
2100-Jan-01 09:00:00, 235.35597051488801, 1.1297541939779787, null, null, 235.35597051488801, 1.1297541939779787
2100-Jan-01 10:00:00, 235.82344329791198, 1.1319981537808106, null, null, 235.82344329791198, 1.1319981537808106
2100-Jan-01 11:00:00, 236.12112800001563, 1.1334270979454686, null, null, 236.12112800001563, 1.1334270979454686
2100-Jan-01 12:00:00, 236.20530108817653, 1.1338311450540328, null, null, 236.20530108817653, 1.1338311450540328
2100-Jan-01 13:00:00, 236.06396002632059, 1.1331526806111563, null, null, 236.06396002632059, 1.1331526806111563
2100-Jan-01 14:00:00, 235.71381887587034, 1.131471935345421, null, null, 235.71381887587034, 1.131471935345421
2100-Jan-01 15:00:00, 235.20350098705728, 1.1290223107453428, null, null, 235.20350098705728, 1.1290223107453428
2100-Jan-01 16:00:00, 234.60297646227858, 1.1261396768398968, null, null, 234.60297646227858, 1.1261396768398968
2100-Jan-01 17:00:00, 233.99244496079055, 1.1232090075101457, null, null, 233.99244496079055, 1.1232090075101457
2100-Jan-01 18:00:00, 233.44269691419828, 1.1205701105239758, null, null, 233.44269691419828, 1.1205701105239758
2100-Jan-01 19:00:00, 233.00074809959196, 1.1184486707077996, null, null, 233.00074809959196, 1.1184486707077996
2100-Jan-01 20:00:00, 232.68521648530734, 1.1169340579117408, null, null, 232.68521648530734, 1.1169340579117408
2100-Jan-01 21:00:00, 232.49580323789954, 1.1160248376774471, null, null, 232.49580323789954, 1.1160248376774471
2100-Jan-01 22:00:00, 232.4216066993512, 1.1156686799372366, null, null, 232.4216066993512, 1.1156686799372366
2100-Jan-01 23:00:00, 232.45011246446526, 1.1158055131249383, null, null, 232.45011246446526, 1.1158055131249383
2100-Jan-02 00:00:00, 232.57484014399827, 1.1164042301183899, null, null, 232.57484014399827, 1.1164042301183899
2100-Jan-02 01:00:00, 232.79312392375505, 1.117452034493686, null, null, 232.79312392375505, 1.117452034493686
2100-Jan-02 02:00:00, 233.09985660222409, 1.1189244106954557, null, null, 233.09985660222409, 1.1189244106954557
2100-Jan-02 03:00:00, 233.48657670810445, 1.1207807420243705, null, null, 233.48657670810445, 1.1207807420243705
2100-Jan-02 04:00:00, 233.94554378043429, 1.1229838727702277, null, null, 233.94554378043429, 1.1229838727702277
2100-Jan-02 05:00:00, 234.46649837162261, 1.1254845555996436, null, null, 234.46649837162261, 1.1254845555996436
2100-Jan-02 06:00:00, 235.04144560178614, 1.1282444135423686, null, null, 235.04144560178614, 1.1282444135423686
2100-Jan-02 07:00:00, 235.66092042115716, 1.1312180125282669, null, null, 235.66092042115716, 1.1312180125282669
2100-Jan-02 08:00:00, 236.29561235615688, 1.134264656613315, null, null, 236.29561235615688, 1.134264656613315
2100-Jan-02 09:00:00, 236.89412207405888, 1.1371376190559379, null, null, 236.89412207405888, 1.1371376190559379
2100-Jan-02 10:00:00, 237.39649012297218, 1.1395490828864017, null, null, 237.39649012297218, 1.1395490828864017
2100-Jan-02 11:00:00, 237.73453208105951, 1.1411717496879032, null, null, 237.73453208105951, 1.1411717496879032
2100-Jan-02 12:00:00, 237.86875916030365, 1.1418160656378651, null, null, 237.86875916030365, 1.1418160656378651
2100-Jan-02 13:00:00, 237.78603747216604, 1.1414189855302224, null, null, 237.78603747216604, 1.1414189855302224
2100-Jan-02 14:00:00, 237.46877203428403, 1.1398960500454445, null, null, 237.46877203428403, 1.1398960500454445
2100-Jan-02 15:00:00, 236.93609876235786, 1.1373391152812147, null, null, 236.93609876235786, 1.1373391152812147
2100-Jan-02 16:00:00, 236.26717283812022, 1.134128141424402, null, null, 236.26717283812022, 1.134128141424402
2100-Jan-02 17:00:00, 235.56326870862327, 1.1307492654149349, null, null, 235.56326870862327, 1.1307492654149349
2100-Jan-02 18:00:00, 234.90979276382498, 1.1276124544486166, null, null, 234.90979276382498, 1.1276124544486166
2100-Jan-02 19:00:00, 234.36725859168521, 1.1250081854555234, null, null, 234.36725859168521, 1.1250081854555234
2100-Jan-02 20:00:00, 233.96745219134411, 1.1230890373813256, null, null, 233.96745219134411, 1.1230890373813256
2100-Jan-02 21:00:00, 233.71935948129791, 1.1218981443733562, null, null, 233.71935948129791, 1.1218981443733562
2100-Jan-02 22:00:00, 233.61619971570479, 1.1214029575396691, null, null, 233.61619971570479, 1.1214029575396691
2100-Jan-02 23:00:00, 233.63527934714017, 1.1214945434619914, null, null, 233.63527934714017, 1.1214945434619914
2100-Jan-03 00:00:00, 233.75371450745649, 1.1220630551457575, null, null, 233.75371450745649, 1.1220630551457575
2100-Jan-03 01:00:00, 233.95626809144994, 1.1230353515379894, null, null, 233.95626809144994, 1.1230353515379894
2100-Jan-03 02:00:00, 234.23455362906762, 1.1243711759598607, null, null, 234.23455362906762, 1.1243711759598607
2100-Jan-03 03:00:00, 234.58106679169663, 1.1260345061821289, null, null, 234.58106679169663, 1.1260345061821289
2100-Jan-03 04:00:00, 234.98597268714204, 1.1279781328194525, null, null, 234.98597268714204, 1.1279781328194525
2100-Jan-03 05:00:00, 235.43893621579025, 1.1301524453941021, null, null, 235.43893621579025, 1.1301524453941021
2100-Jan-03 06:00:00, 235.92617113997602, 1.1324912672979917, null, null, 235.92617113997602, 1.1324912672979917
2100-Jan-03 07:00:00, 236.44090821507874, 1.1349621048472625, null, null, 236.44090821507874, 1.1349621048472625
2100-Jan-03 08:00:00, 236.9684722088324, 1.1374945140877464, null, null, 236.9684722088324, 1.1374945140877464
2100-Jan-03 09:00:00, 237.47403026729614, 1.1399212905812395, null, null, 237.47403026729614, 1.1399212905812395
2100-Jan-03 10:00:00, 237.90778689689643, 1.1420034063244033, null, null, 237.90778689689643, 1.1420034063244033
2100-Jan-03 11:00:00, 238.21818987641254, 1.1434934006813104, null, null, 238.21818987641254, 1.1434934006813104
2100-Jan-03 12:00:00, 238.36026477845823, 1.1441753876990777, null, null, 238.36026477845823, 1.1441753876990777
2100-Jan-03 13:00:00, 238.30405576020777, 1.1439055735364332, null, null, 238.30405576020777, 1.1439055735364332
2100-Jan-03 14:00:00, 238.04185772584046, 1.1426469722426942, null, null, 238.04185772584046, 1.1426469722426942
2100-Jan-03 15:00:00, 237.59549076269084, 1.1405043244587085, null, null, 237.59549076269084, 1.1405043244587085
2100-Jan-03 16:00:00, 237.01627544992024, 1.1377239788937021, null, null, 237.01627544992024, 1.1377239788937021
2100-Jan-03 17:00:00, 236.3811949447101, 1.1346754695964654, null, null, 236.3811949447101, 1.1346754695964654
2100-Jan-03 18:00:00, 235.76990054578164, 1.1317411382113987, null, null, 235.76990054578164, 1.1317411382113987
2100-Jan-03 19:00:00, 235.24099902278252, 1.129202308571758, null, null, 235.24099902278252, 1.129202308571758
2100-Jan-03 20:00:00, 234.82534860063109, 1.1272071061274478, null, null, 234.82534860063109, 1.1272071061274478
