Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 226.10768710782474, 1.9044465247717226, null, null, 226.10768710782474, 1.9044465247717226
2100-Jan-01 01:00:00, 226.23808202278596, 1.9055448073901609, null, null, 226.23808202278596, 1.9055448073901609
2100-Jan-01 02:00:00, 226.45349136143557, 1.907359144494936, null, null, 226.45349136143557, 1.907359144494936
2100-Jan-01 03:00:00, 226.74978032823398, 1.9098547097734326, null, null, 226.74978032823398, 1.9098547097734326
2100-Jan-01 04:00:00, 227.11870645361563, 1.9129620790379085, null, null, 227.11870645361563, 1.9129620790379085
2100-Jan-01 05:00:00, 227.55344710846373, 1.9166237870492226, null, null, 227.55344710846373, 1.9166237870492226
2100-Jan-01 06:00:00, 228.04459208238478, 1.9207605740408873, null, null, 228.04459208238478, 1.9207605740408873
2100-Jan-01 07:00:00, 228.57779833672183, 1.9252516323107218, null, null, 228.57779833672183, 1.9252516323107218
2100-Jan-01 08:00:00, 229.11853541547947, 1.9298061207654382, null, null, 229.11853541547947, 1.9298061207654382
2100-Jan-01 09:00:00, 229.60483097565327, 1.9339020624002896, null, null, 229.60483097565327, 1.9339020624002896
2100-Jan-01 10:00:00, 229.96785066206391, 1.9369596832580838, null, null, 229.96785066206391, 1.9369596832580838
2100-Jan-01 11:00:00, 230.14065628921094, 1.9384151803280449, null, null, 230.14065628921094, 1.9384151803280449
2100-Jan-01 12:00:00, 230.08717468360021, 1.9379647186066973, null, null, 230.08717468360021, 1.9379647186066973
2100-Jan-01 13:00:00, 229.80780708530608, 1.9356116776353331, null, null, 229.80780708530608, 1.9356116776353331
2100-Jan-01 14:00:00, 229.33258170669546, 1.9316089772744793, null, null, 229.33258170669546, 1.9316089772744793
2100-Jan-01 15:00:00, 228.72319495920934, 1.926476270428743, null, null, 228.72319495920934, 1.926476270428743
2100-Jan-01 16:00:00, 228.05965942463163, 1.9208874823647335, null, null, 228.05965942463163, 1.9208874823647335
2100-Jan-01 17:00:00, 227.42743506962978, 1.915562420261979, null, null, 227.42743506962978, 1.915562420261979
2100-Jan-01 18:00:00, 226.89578573265652, 1.911084475504121, null, null, 226.89578573265652, 1.911084475504121
2100-Jan-01 19:00:00, 226.50320163315303, 1.9077778412470399, null, null, 226.50320163315303, 1.9077778412470399
2100-Jan-01 20:00:00, 226.25510200552381, 1.9056881622994581, null, null, 226.25510200552381, 1.9056881622994581
2100-Jan-01 21:00:00, 226.13788484278697, 1.9047008724771917, null, null, 226.13788484278697, 1.9047008724771917
2100-Jan-01 22:00:00, 226.13013980945519, 1.9046356380660949, null, null, 226.13013980945519, 1.9046356380660949
2100-Jan-01 23:00:00, 226.2131544279793, 1.9053348487111452, null, null, 226.2131544279793, 1.9053348487111452
2100-Jan-02 00:00:00, 226.37860636111623, 1.9067284075198252, null, null, 226.37860636111623, 1.9067284075198252
2100-Jan-02 01:00:00, 226.62408467425522, 1.9087960078139339, null, null, 226.62408467425522, 1.9087960078139339
2100-Jan-02 02:00:00, 226.94466778943681, 1.911496196416177, null, null, 226.94466778943681, 1.911496196416177
2100-Jan-02 03:00:00, 227.33193085202083, 1.9147580129565358, null, null, 227.33193085202083, 1.9147580129565358
2100-Jan-02 04:00:00, 227.77876848087934, 1.9185216106488647, null, null, 227.77876848087934, 1.9185216106488647
2100-Jan-02 05:00:00, 228.27562308011687, 1.9227064883367406, null, null, 228.27562308011687, 1.9227064883367406
2100-Jan-02 06:00:00, 228.81594595830538, 1.927257488087271, null, null, 228.81594595830538, 1.927257488087271
2100-Jan-02 07:00:00, 229.39156864224825, 1.9321058089649774, null, null, 229.39156864224825, 1.9321058089649774
2100-Jan-02 08:00:00, 229.97130527973684, 1.9369887806085797, null, null, 229.97130527973684, 1.9369887806085797
