Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 818.72763176885758, 0.42957276622735685, null, null, 818.72763176885758, 0.42957276622735685
2100-Jan-01 01:00:00, 819.51941226612769, 0.42998820028046481, null, null, 819.51941226612769, 0.42998820028046481
2100-Jan-01 02:00:00, 820.40023659936651, 0.43045035415277549, null, null, 820.40023659936651, 0.43045035415277549
2100-Jan-01 03:00:00, 821.35137953026538, 0.43094940302330292, null, null, 821.35137953026538, 0.43094940302330292
2100-Jan-01 04:00:00, 822.36624552247804, 0.43148188632386403, null, null, 822.36624552247804, 0.43148188632386403
2100-Jan-01 05:00:00, 823.44404404331578, 0.43204738927511016, null, null, 823.44404404331578, 0.43204738927511016
2100-Jan-01 06:00:00, 824.57250544738258, 0.43263947419824689, null, null, 824.57250544738258, 0.43263947419824689
2100-Jan-01 07:00:00, 825.73364812000102, 0.43324870643923485, null, null, 825.73364812000102, 0.43324870643923485
2100-Jan-01 08:00:00, 826.86713262155013, 0.43384342689804523, null, null, 826.86713262155013, 0.43384342689804523
2100-Jan-01 09:00:00, 827.81645094930423, 0.43434151842966068, null, null, 827.81645094930423, 0.43434151842966068
2100-Jan-01 10:00:00, 828.40755811496763, 0.43465166252451948, null, null, 828.40755811496763, 0.43465166252451948
2100-Jan-01 11:00:00, 828.46523410386283, 0.43468192415626761, null, null, 828.46523410386283, 0.43468192415626761
2100-Jan-01 12:00:00, 827.93959792777673, 0.43440613160031999, null, null, 827.93959792777673, 0.43440613160031999
2100-Jan-01 13:00:00, 826.90710587349986, 0.43386440019825989, null, null, 826.90710587349986, 0.43386440019825989
2100-Jan-01 14:00:00, 825.51681263819648, 0.43313493646968615, null, null, 825.51681263819648, 0.43313493646968615
2100-Jan-01 15:00:00, 823.97494124361538, 0.43232594220292853, null, null, 823.97494124361538, 0.43232594220292853
2100-Jan-01 16:00:00, 822.4896999468956, 0.43154666080629533, null, null, 822.4896999468956, 0.43154666080629533
2100-Jan-01 17:00:00, 821.23600990117666, 0.43088887049846408, null, null, 821.23600990117666, 0.43088887049846408
2100-Jan-01 18:00:00, 820.32425393644735, 0.43041048731375731, null, null, 820.32425393644735, 0.43041048731375731
2100-Jan-01 19:00:00, 819.78492247656391, 0.4301275090702662, null, null, 819.78492247656391, 0.4301275090702662
2100-Jan-01 20:00:00, 819.57868928619268, 0.43001930194662941, null, null, 819.57868928619268, 0.43001930194662941
2100-Jan-01 21:00:00, 819.63729685750127, 0.43005005236416999, null, null, 819.63729685750127, 0.43005005236416999
2100-Jan-01 22:00:00, 819.89186246477914, 0.43018361870279281, null, null, 819.89186246477914, 0.43018361870279281
2100-Jan-01 23:00:00, 820.29767232503525, 0.4303965403845198, null, null, 820.29767232503525, 0.4303965403845198
2100-Jan-02 00:00:00, 820.83988759340468, 0.43068103171434208, null, null, 820.83988759340468, 0.43068103171434208
2100-Jan-02 01:00:00, 821.51366418666578, 0.43103455108239014, null, null, 821.51366418666578, 0.43103455108239014
2100-Jan-02 02:00:00, 822.30843629146091, 0.43145155478219144, null, null, 822.30843629146091, 0.43145155478219144
2100-Jan-02 03:00:00, 823.21463556599679, 0.43192702246400716, null, null, 823.21463556599679, 0.43192702246400716
2100-Jan-02 04:00:00, 824.2205213992612, 0.43245479402458187, null, null, 824.2205213992612, 0.43245479402458187
2100-Jan-02 05:00:00, 825.31175694073738, 0.43302734715698898, null, null, 825.31175694073738, 0.43302734715698898
2100-Jan-02 06:00:00, 826.48261502458865, 0.4336416769126038, null, null, 826.48261502458865, 0.4336416769126038
2100-Jan-02 07:00:00, 827.71376794004334, 0.43428764236316292, null, null, 827.71376794004334, 0.43428764236316292
2100-Jan-02 08:00:00, 828.92981078327307, 0.43492567981023011, null, null, 828.92981078327307, 0.43492567981023011
2100-Jan-02 09:00:00, 829.98498723775162, 0.43547931333964823, null, null, 829.98498723775162, 0.43547931333964823
2100-Jan-02 10:00:00, 830.72090780709641, 0.43586543861798288, null, null, 830.72090780709641, 0.43586543861798288
