Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2236.1274003605104, 0.74426265750980547, null, null, 2236.1274003605104, 0.74426265750980547
2100-Jan-01 01:00:00, 2240.8530504406567, 0.74583552177797907, null, null, 2240.8530504406567, 0.74583552177797907
2100-Jan-01 02:00:00, 2247.8494457782226, 0.74816417075660457, null, null, 2247.8494457782226, 0.74816417075660457
2100-Jan-01 03:00:00, 2256.9638122352399, 0.75119775578388182, null, null, 2256.9638122352399, 0.75119775578388182
2100-Jan-01 04:00:00, 2267.8601061683271, 0.75482442959430063, null, null, 2267.8601061683271, 0.75482442959430063
2100-Jan-01 05:00:00, 2280.3472475963026, 0.75898059398027773, null, null, 2280.3472475963026, 0.75898059398027773
2100-Jan-01 06:00:00, 2294.0997833379702, 0.76355792655844024, null, null, 2294.0997833379702, 0.76355792655844024
2100-Jan-01 07:00:00, 2308.6403407505545, 0.76839754075028788, null, null, 2308.6403407505545, 0.76839754075028788
2100-Jan-01 08:00:00, 2322.7432307622807, 0.77309148367903313, null, null, 2322.7432307622807, 0.77309148367903313
2100-Jan-01 09:00:00, 2334.4552195878314, 0.77698964973460949, null, null, 2334.4552195878314, 0.77698964973460949
2100-Jan-01 10:00:00, 2342.0281064013516, 0.77951017556151125, null, null, 2342.0281064013516, 0.77951017556151125
2100-Jan-01 11:00:00, 2343.8498437071985, 0.78011651447060737, null, null, 2343.8498437071985, 0.78011651447060737
2100-Jan-01 12:00:00, 2339.5200909644213, 0.77867541890414715, null, null, 2339.5200909644213, 0.77867541890414715
2100-Jan-01 13:00:00, 2329.547171219413, 0.77535607683474839, null, null, 2329.547171219413, 0.77535607683474839
2100-Jan-01 14:00:00, 2315.0721519084395, 0.77053827605195135, null, null, 2315.0721519084395, 0.77053827605195135
2100-Jan-01 15:00:00, 2298.066651372973, 0.76487824119938863, null, null, 2298.066651372973, 0.76487824119938863
2100-Jan-01 16:00:00, 2280.728337394477, 0.75910743420677529, null, null, 2280.728337394477, 0.75910743420677529
2100-Jan-01 17:00:00, 2265.2196504715616, 0.75394559211232415, null, null, 2265.2196504715616, 0.75394559211232415
2100-Jan-01 18:00:00, 2253.0040155266215, 0.74987979473162703, null, null, 2253.0040155266215, 0.74987979473162703
2100-Jan-01 19:00:00, 2244.6487603490327, 0.74709886891244415, null, null, 2244.6487603490327, 0.74709886891244415
2100-Jan-01 20:00:00, 2239.9268660148191, 0.74552725468997372, null, null, 2239.9268660148191, 0.74552725468997372
2100-Jan-01 21:00:00, 2238.3620345710024, 0.7450064231806679, null, null, 2238.3620345710024, 0.7450064231806679
2100-Jan-01 22:00:00, 2239.3911905006512, 0.74534896284413654, null, null, 2239.3911905006512, 0.74534896284413654
2100-Jan-01 23:00:00, 2242.6075297764878, 0.74641947484470561, null, null, 2242.6075297764878, 0.74641947484470561
2100-Jan-02 00:00:00, 2247.9266063494561, 0.74818985253653891, null, null, 2247.9266063494561, 0.74818985253653891
2100-Jan-02 01:00:00, 2255.3152779136585, 0.75064906498255335, null, null, 2255.3152779136585, 0.75064906498255335
2100-Jan-02 02:00:00, 2264.556898348178, 0.75372500465539294, null, null, 2264.556898348178, 0.75372500465539294
2100-Jan-02 03:00:00, 2275.3464448992013, 0.75731614914389378, null, null, 2275.3464448992013, 0.75731614914389378
2100-Jan-02 04:00:00, 2287.5032929850499, 0.76136238016894986, null, null, 2287.5032929850499, 0.76136238016894986
2100-Jan-02 05:00:00, 2300.7033978635777, 0.76575584412575182, null, null, 2300.7033978635777, 0.76575584412575182
2100-Jan-02 06:00:00, 2314.8068445111326, 0.77044997232268042, null, null, 2314.8068445111326, 0.77044997232268042
2100-Jan-02 07:00:00, 2329.5476402646163, 0.77535623294965916, null, null, 2329.5476402646163, 0.77535623294965916
