Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1227.7904909500635, 0.52321768740856434, null, null, 1227.7904909500635, 0.52321768740856434
2100-Jan-01 01:00:00, 1228.3417853432136, 0.52345261916572594, null, null, 1228.3417853432136, 0.52345261916572594
2100-Jan-01 02:00:00, 1229.2630288033238, 0.52384520314181304, null, null, 1229.2630288033238, 0.52384520314181304
2100-Jan-01 03:00:00, 1230.537128734667, 0.52438815539996997, null, null, 1230.537128734667, 0.52438815539996997
2100-Jan-01 04:00:00, 1232.1286426531806, 0.52506637227659592, null, null, 1232.1286426531806, 0.52506637227659592
2100-Jan-01 05:00:00, 1234.0079865473576, 0.52586724667121332, null, null, 1234.0079865473576, 0.52586724667121332
2100-Jan-01 06:00:00, 1236.1345306191456, 0.52677346436846262, null, null, 1236.1345306191456, 0.52677346436846262
2100-Jan-01 07:00:00, 1238.4461414709842, 0.52775854748565765, null, null, 1238.4461414709842, 0.52775854748565765
2100-Jan-01 08:00:00, 1240.7932638647767, 0.52875876369517949, null, null, 1240.7932638647767, 0.52875876369517949
2100-Jan-01 09:00:00, 1242.907882013154, 0.5296598992109709, null, null, 1242.907882013154, 0.5296598992109709
2100-Jan-01 10:00:00, 1244.4923672650561, 0.53033512085126211, null, null, 1244.4923672650561, 0.53033512085126211
2100-Jan-01 11:00:00, 1245.2572434988299, 0.5306610695999604, null, null, 1245.2572434988299, 0.5306610695999604
2100-Jan-01 12:00:00, 1245.0457548043585, 0.53057094459373988, null, null, 1245.0457548043585, 0.53057094459373988
2100-Jan-01 13:00:00, 1243.8582280620144, 0.5300648851312787, null, null, 1243.8582280620144, 0.5300648851312787
2100-Jan-01 14:00:00, 1241.8228179688758, 0.52919750379080599, null, null, 1241.8228179688758, 0.52919750379080599
2100-Jan-01 15:00:00, 1239.2044199009592, 0.52808168460837335, null, null, 1239.2044199009592, 0.52808168460837335
2100-Jan-01 16:00:00, 1236.3474710890293, 0.5268642080425906, null, null, 1236.3474710890293, 0.5268642080425906
2100-Jan-01 17:00:00, 1233.6206239285939, 0.52570217374136741, null, null, 1233.6206239285939, 0.52570217374136741
2100-Jan-01 18:00:00, 1231.3234227877267, 0.52472323126111842, null, null, 1231.3234227877267, 0.52472323126111842
2100-Jan-01 19:00:00, 1229.6232758641331, 0.52399872089214727, null, null, 1229.6232758641331, 0.52399872089214727
2100-Jan-01 20:00:00, 1228.5452818270549, 0.52353933832543276, null, null, 1228.5452818270549, 0.52353933832543276
2100-Jan-01 21:00:00, 1228.0323948190469, 0.52332077371183638, null, null, 1228.0323948190469, 0.52332077371183638
2100-Jan-01 22:00:00, 1227.9934725826672, 0.52330418716660942, null, null, 1227.9934725826672, 0.52330418716660942
2100-Jan-01 23:00:00, 1228.3482829364411, 0.52345538808740055, null, null, 1228.3482829364411, 0.52345538808740055
2100-Jan-02 00:00:00, 1229.0609433087975, 0.52375908526919213, null, null, 1229.0609433087975, 0.52375908526919213
2100-Jan-02 01:00:00, 1230.1210689925038, 0.52421085331323525, null, null, 1230.1210689925038, 0.52421085331323525
2100-Jan-02 02:00:00, 1231.5075008724887, 0.52480167535277866, null, null, 1231.5075008724887, 0.52480167535277866
2100-Jan-02 03:00:00, 1233.1837869329827, 0.52551601751658572, null, null, 1233.1837869329827, 0.52551601751658572
2100-Jan-02 04:00:00, 1235.1192492358755, 0.52634080653201654, null, null, 1235.1192492358755, 0.52634080653201654
2100-Jan-02 05:00:00, 1237.2725208785191, 0.52725841406972818, null, null, 1237.2725208785191, 0.52725841406972818
2100-Jan-02 06:00:00, 1239.6151665037369, 0.52825672252339251, null, null, 1239.6151665037369, 0.52825672252339251
2100-Jan-02 07:00:00, 1242.1119587230389, 0.52932071989147123, null, null, 1242.1119587230389, 0.52932071989147123
2100-Jan-02 08:00:00, 1244.6283976499303, 0.53039308962029541, null, null, 1244.6283976499303, 0.53039308962029541
2100-Jan-02 09:00:00, 1246.9254186278713, 0.53137195532488091, null, null, 1246.9254186278713, 0.53137195532488091
2100-Jan-02 10:00:00, 1248.7346269871389, 0.53214294176006971, null, null, 1248.7346269871389, 0.53214294176006971
2100-Jan-02 11:00:00, 1249.7602250726077, 0.53257999601520922, null, null, 1249.7602250726077, 0.53257999601520922
2100-Jan-02 12:00:00, 1249.861248994592, 0.53262304692920737, null, null, 1249.861248994592, 0.53262304692920737
2100-Jan-02 13:00:00, 1249.0278661582686, 0.53226790438366622, null, null, 1249.0278661582686, 0.53226790438366622
2100-Jan-02 14:00:00, 1247.2128478232128, 0.53149444205204555, null, null, 1247.2128478232128, 0.53149444205204555
2100-Jan-02 15:00:00, 1244.5415657279711, 0.53035608656665101, null, null, 1244.5415657279711, 0.53035608656665101
2100-Jan-02 16:00:00, 1241.4245632678737, 0.52902778924651372, null, null, 1241.4245632678737, 0.52902778924651372
2100-Jan-02 17:00:00, 1238.3492990189902, 0.52771727848728311, null, null, 1238.3492990189902, 0.52771727848728311
2100-Jan-02 18:00:00, 1235.6873261119295, 0.52658289007277537, null, null, 1235.6873261119295, 0.52658289007277537
2100-Jan-02 19:00:00, 1233.6650348601656, 0.52572109927066901, null, null, 1233.6650348601656, 0.52572109927066901
2100-Jan-02 20:00:00, 1232.3623116335439, 0.52516594931716265, null, null, 1232.3623116335439, 0.52516594931716265
2100-Jan-02 21:00:00, 1231.7559677780125, 0.52490755846611437, null, null, 1231.7559677780125, 0.52490755846611437
2100-Jan-02 22:00:00, 1231.7629661907215, 0.52491054080987753, null, null, 1231.7629661907215, 0.52491054080987753
2100-Jan-02 23:00:00, 1232.242002661287, 0.52511468016114393, null, null, 1232.242002661287, 0.52511468016114393
2100-Jan-03 00:00:00, 1233.0706786087114, 0.52546781688603184, null, null, 1233.0706786087114, 0.52546781688603184
2100-Jan-03 01:00:00, 1234.1792280711884, 0.52594022051711575, null, null, 1234.1792280711884, 0.52594022051711575
2100-Jan-03 02:00:00, 1235.5381310094897, 0.52651931121543238, null, null, 1235.5381310094897, 0.52651931121543238
2100-Jan-03 03:00:00, 1237.1234887734036, 0.52719490467300045, null, null, 1237.1234887734036, 0.52719490467300045
2100-Jan-03 04:00:00, 1238.8996263259007, 0.52795179812476356, null, null, 1238.8996263259007, 0.52795179812476356
2100-Jan-03 05:00:00, 1240.8287959350234, 0.5287739055355507, null, null, 1240.8287959350234, 0.5287739055355507
2100-Jan-03 06:00:00, 1242.8571445175749, 0.52963827764336835, null, null, 1242.8571445175749, 0.52963827764336835
2100-Jan-03 07:00:00, 1244.9657280191298, 0.5305368415201237, null, null, 1244.9657280191298, 0.5305368415201237
2100-Jan-03 08:00:00, 1247.0944908074648, 0.5314440047139779, null, null, 1247.0944908074648, 0.5314440047139779
2100-Jan-03 09:00:00, 1249.0827843153645, 0.53229130752236486, null, null, 1249.0827843153645, 0.53229130752236486
2100-Jan-03 10:00:00, 1250.7031210190653, 0.53298180710611509, null, null, 1250.7031210190653, 0.53298180710611509
2100-Jan-03 11:00:00, 1251.7314446452549, 0.53342002283882217, null, null, 1251.7314446452549, 0.53342002283882217
2100-Jan-03 12:00:00, 1251.9863685205926, 0.5335286575623378, null, null, 1251.9863685205926, 0.5335286575623378
2100-Jan-03 13:00:00, 1251.3651470831358, 0.53326392669312961, null, null, 1251.3651470831358, 0.53326392669312961
2100-Jan-03 14:00:00, 1249.8724867869078, 0.5326278358665304, null, null, 1249.8724867869078, 0.5326278358665304
2100-Jan-03 15:00:00, 1247.6491492651492, 0.53168037005291013, null, null, 1247.6491492651492, 0.53168037005291013
2100-Jan-03 16:00:00, 1244.9643136605127, 0.53053623879722411, null, null, 1244.9643136605127, 0.53053623879722411
2100-Jan-03 17:00:00, 1242.1910969853204, 0.52935444432481848, null, null, 1242.1910969853204, 0.52935444432481848
2100-Jan-03 18:00:00, 1239.6886942886831, 0.52828805607572371, null, null, 1239.6886942886831, 0.52828805607572371
2100-Jan-03 19:00:00, 1237.6892292399441, 0.52743599256279816, null, null, 1237.6892292399441, 0.52743599256279816
2100-Jan-03 20:00:00, 1236.2790672777212, 0.52683505804979758, null, null, 1236.2790672777212, 0.52683505804979758
2100-Jan-03 21:00:00, 1235.4223020662835, 0.52646995120470896, null, null, 1235.4223020662835, 0.52646995120470896
2100-Jan-03 22:00:00, 1235.0872194539518, 0.5263271571768946, null, null, 1235.0872194539518, 0.5263271571768946
2100-Jan-03 23:00:00, 1235.2593420123676, 0.52640050647193226, null, null, 1235.2593420123676, 0.52640050647193226
2100-Jan-04 00:00:00, 1235.9027154819785, 0.52667467733527662, null, null, 1235.9027154819785, 0.52667467733527662
2100-Jan-04 01:00:00, 1236.9201023140899, 0.52710823239977744, null, null, 1236.9201023140899, 0.52710823239977744
2100-Jan-04 02:00:00, 1238.2361953961711, 0.52766907986023304, null, null, 1238.2361953961711, 0.52766907986023304
2100-Jan-04 03:00:00, 1239.8074574451643, 0.52833866648893457, null, null, 1239.8074574451643, 0.52833866648893457
2100-Jan-04 04:00:00, 1241.6201333650074, 0.52911113061029103, null, null, 1241.6201333650074, 0.52911113061029103
2100-Jan-04 05:00:00, 1243.6681278728811, 0.52998387474549435, null, null, 1243.6681278728811, 0.52998387474549435
2100-Jan-04 06:00:00, 1245.9294370482976, 0.53094752201756412, null, null, 1245.9294370482976, 0.53094752201756412
2100-Jan-04 07:00:00, 1248.3196738034226, 0.53196611122850324, null, null, 1248.3196738034226, 0.53196611122850324
2100-Jan-04 08:00:00, 1250.7635041635483, 0.53300753912590815, null, null, 1250.7635041635483, 0.53300753912590815
2100-Jan-04 09:00:00, 1253.1671197172354, 0.53403182965486173, null, null, 1253.1671197172354, 0.53403182965486173
2100-Jan-04 10:00:00, 1255.3929819166892, 0.53498037134912679, null, null, 1255.3929819166892, 0.53498037134912679
2100-Jan-04 11:00:00, 1257.2202658076617, 0.53575906059515099, null, null, 1257.2202658076617, 0.53575906059515099
2100-Jan-04 12:00:00, 1258.4823986461181, 0.53629691312765315, null, null, 1258.4823986461181, 0.53629691312765315
2100-Jan-04 13:00:00, 1259.1315760101666, 0.53657355729588796, null, null, 1259.1315760101666, 0.53657355729588796
2100-Jan-04 14:00:00, 1259.2182790355369, 0.53661050542080002, null, null, 1259.2182790355369, 0.53661050542080002
2100-Jan-04 15:00:00, 1258.8608289680365, 0.5364581795972494, null, null, 1258.8608289680365, 0.5364581795972494
2100-Jan-04 16:00:00, 1258.2351786432271, 0.53619156137656276, null, null, 1258.2351786432271, 0.53619156137656276
2100-Jan-04 17:00:00, 1257.5256637516125, 0.53588920462798972, null, null, 1257.5256637516125, 0.53588920462798972
2100-Jan-04 18:00:00, 1256.8918217050807, 0.53561909553998721, null, null, 1256.8918217050807, 0.53561909553998721
2100-Jan-04 19:00:00, 1256.4453407587494, 0.53542882958668869, null, null, 1256.4453407587494, 0.53542882958668869
2100-Jan-04 20:00:00, 1256.2273795558722, 0.5353359463485835, null, null, 1256.2273795558722, 0.5353359463485835
2100-Jan-04 21:00:00, 1256.2666186677159, 0.53535266792893954, null, null, 1256.2666186677159, 0.53535266792893954
2100-Jan-04 22:00:00, 1256.5563262233636, 0.53547612556964297, null, null, 1256.5563262233636, 0.53547612556964297
2100-Jan-04 23:00:00, 1257.072542513705, 0.53569610894272324, null, null, 1257.072542513705, 0.53569610894272324
2100-Jan-05 00:00:00, 1257.7837420135004, 0.53599918357989618, null, null, 1257.7837420135004, 0.53599918357989618
2100-Jan-05 01:00:00, 1258.667358739714, 0.53637573308362074, null, null, 1258.667358739714, 0.53637573308362074
2100-Jan-05 02:00:00, 1259.7202980493496, 0.5368244386849671, null, null, 1259.7202980493496, 0.5368244386849671
2100-Jan-05 03:00:00, 1260.9247436683722, 0.53733770805465153, null, null, 1260.9247436683722, 0.53733770805465153
2100-Jan-05 04:00:00, 1262.2665443343769, 0.53790951069248349, null, null, 1262.2665443343769, 0.53790951069248349
2100-Jan-05 05:00:00, 1263.7380946390138, 0.53853660558609329, null, null, 1263.7380946390138, 0.53853660558609329
2100-Jan-05 06:00:00, 1265.2989944877468, 0.53920177640729627, null, null, 1265.2989944877468, 0.53920177640729627
2100-Jan-05 07:00:00, 1266.925230510062, 0.5398947899605433, null, null, 1266.925230510062, 0.5398947899605433
2100-Jan-05 08:00:00, 1268.5846324388644, 0.5406019370235553, null, null, 1268.5846324388644, 0.5406019370235553
2100-Jan-05 09:00:00, 1270.1296371363505, 0.54126033419376673, null, null, 1270.1296371363505, 0.54126033419376673
2100-Jan-05 10:00:00, 1271.3013655402556, 0.54175966126160202, null, null, 1271.3013655402556, 0.54175966126160202
2100-Jan-05 11:00:00, 1271.8265171212449, 0.54198345237072809, null, null, 1271.8265171212449, 0.54198345237072809
2100-Jan-05 12:00:00, 1271.5787798616595, 0.54187788019290084, null, null, 1271.5787798616595, 0.54187788019290084
2100-Jan-05 13:00:00, 1270.5869471397034, 0.54145521490358384, null, null, 1270.5869471397034, 0.54145521490358384
2100-Jan-05 14:00:00, 1268.9075632154809, 0.54073955259834572, null, null, 1268.9075632154809, 0.54073955259834572
2100-Jan-05 15:00:00, 1266.6850216573794, 0.5397924259812471, null, null, 1266.6850216573794, 0.5397924259812471
2100-Jan-05 16:00:00, 1264.151768755783, 0.53871289104872888, null, null, 1264.151768755783, 0.53871289104872888
2100-Jan-05 17:00:00, 1261.5989088505539, 0.53762500067513719, null, null, 1261.5989088505539, 0.53762500067513719
2100-Jan-05 18:00:00, 1259.2916995433752, 0.53664179325744865, null, null, 1259.2916995433752, 0.53664179325744865
2100-Jan-05 19:00:00, 1257.4172611110012, 0.53584300930448159, null, null, 1257.4172611110012, 0.53584300930448159
2100-Jan-05 20:00:00, 1256.0724790195954, 0.53526993614491569, null, null, 1256.0724790195954, 0.53526993614491569
2100-Jan-05 21:00:00, 1255.278277751012, 0.53493149065755596, null, null, 1255.278277751012, 0.53493149065755596
2100-Jan-05 22:00:00, 1255.0109315566069, 0.5348175622156881, null, null, 1255.0109315566069, 0.5348175622156881
2100-Jan-05 23:00:00, 1255.2119674274943, 0.53490323279566665, null, null, 1255.2119674274943, 0.53490323279566665
2100-Jan-06 00:00:00, 1255.8105648029893, 0.53515832251724693, null, null, 1255.8105648029893, 0.53515832251724693
2100-Jan-06 01:00:00, 1256.7567302615721, 0.53556152689681702, null, null, 1256.7567302615721, 0.53556152689681702
2100-Jan-06 02:00:00, 1258.0116252099247, 0.53609629503328438, null, null, 1258.0116252099247, 0.53609629503328438
2100-Jan-06 03:00:00, 1259.5339641302185, 0.53674503327910006, null, null, 1259.5339641302185, 0.53674503327910006
2100-Jan-06 04:00:00, 1261.2869493098274, 0.53749206044578446, null, null, 1261.2869493098274, 0.53749206044578446
2100-Jan-06 05:00:00, 1263.2373804844528, 0.53832322838213775, null, null, 1263.2373804844528, 0.53832322838213775
2100-Jan-06 06:00:00, 1265.3453643357277, 0.53922153672048068, null, null, 1265.3453643357277, 0.53922153672048068
2100-Jan-06 07:00:00, 1267.5782252929803, 0.54017306090556749, null, null, 1267.5782252929803, 0.54017306090556749
2100-Jan-06 08:00:00, 1269.8985221941782, 0.54116184554569502, null, null, 1269.8985221941782, 0.54116184554569502
2100-Jan-06 09:00:00, 1272.247031388308, 0.54216265273427278, null, null, 1272.247031388308, 0.54216265273427278
2100-Jan-06 10:00:00, 1274.5235920106936, 0.5431327993454983, null, null, 1274.5235920106936, 0.5431327993454983
2100-Jan-06 11:00:00, 1276.5066293066259, 0.54397786224154643, null, null, 1276.5066293066259, 0.54397786224154643
2100-Jan-06 12:00:00, 1277.9060722740564, 0.54457422890057838, null, null, 1277.9060722740564, 0.54457422890057838
2100-Jan-06 13:00:00, 1278.5344061664664, 0.54484199071216632, null, null, 1278.5344061664664, 0.54484199071216632
2100-Jan-06 14:00:00, 1278.3156803896345, 0.54474878165412732, null, null, 1278.3156803896345, 0.54474878165412732
2100-Jan-06 15:00:00, 1277.3439267806054, 0.54433467299324856, null, null, 1277.3439267806054, 0.54433467299324856
2100-Jan-06 16:00:00, 1275.9262155873878, 0.54373052140761879, null, null, 1275.9262155873878, 0.54373052140761879
2100-Jan-06 17:00:00, 1274.4424774814765, 0.54309823273441515, null, null, 1274.4424774814765, 0.54309823273441515
2100-Jan-06 18:00:00, 1273.2132994927026, 0.54257442377071963, null, null, 1273.2132994927026, 0.54257442377071963
2100-Jan-06 19:00:00, 1272.4138849040935, 0.54223375664923945, null, null, 1272.4138849040935, 0.54223375664923945
2100-Jan-06 20:00:00, 1272.0893296420902, 0.54209544880692162, null, null, 1272.0893296420902, 0.54209544880692162
2100-Jan-06 21:00:00, 1272.2212322800287, 0.54215165855418224, null, null, 1272.2212322800287, 0.54215165855418224
2100-Jan-06 22:00:00, 1272.7266362831267, 0.54236703431711331, null, null, 1272.7266362831267, 0.54236703431711331
2100-Jan-06 23:00:00, 1273.5442652329814, 0.54271546341104626, null, null, 1273.5442652329814, 0.54271546341104626
2100-Jan-07 00:00:00, 1274.6358693099962, 0.54318064583830183, null, null, 1274.6358693099962, 0.54318064583830183
2100-Jan-07 01:00:00, 1275.9720884350431, 0.54375006992623165, null, null, 1275.9720884350431, 0.54375006992623165
2100-Jan-07 02:00:00, 1277.5366107956222, 0.54441678446542618, null, null, 1277.5366107956222, 0.54441678446542618
2100-Jan-07 03:00:00, 1279.3414142989129, 0.54518589379000482, null, null, 1279.3414142989129, 0.54518589379000482
2100-Jan-07 04:00:00, 1281.3409198402785, 0.54603797455869063, null, null, 1281.3409198402785, 0.54603797455869063
2100-Jan-07 05:00:00, 1283.4848092594659, 0.54695158390184406, null, null, 1283.4848092594659, 0.54695158390184406
2100-Jan-07 06:00:00, 1285.7128165025345, 0.54790103969730786, null, null, 1285.7128165025345, 0.54790103969730786
2100-Jan-07 07:00:00, 1287.9793274451774, 0.54886690368032198, null, null, 1287.9793274451774, 0.54886690368032198
