Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2158.495239033623, 0.71709411690902358, null, null, 2158.495239033623, 0.71709411690902358
2100-Jan-01 01:00:00, 2164.9496409174558, 0.71923839480010432, null, null, 2164.9496409174558, 0.71923839480010432
2100-Jan-01 02:00:00, 2172.7233084421619, 0.72182095840643834, null, null, 2172.7233084421619, 0.72182095840643834
2100-Jan-01 03:00:00, 2181.7050654799609, 0.72480487285518902, null, null, 2181.7050654799609, 0.72480487285518902
2100-Jan-01 04:00:00, 2191.5274667345884, 0.72806806566944171, null, null, 2191.5274667345884, 0.72806806566944171
2100-Jan-01 05:00:00, 2202.1702594332837, 0.73160380848402096, null, null, 2202.1702594332837, 0.73160380848402096
2100-Jan-01 06:00:00, 2213.3144600433839, 0.73530612876281609, null, null, 2213.3144600433839, 0.73530612876281609
2100-Jan-01 07:00:00, 2224.4873976792082, 0.73901799604070184, null, null, 2224.4873976792082, 0.73901799604070184
2100-Jan-01 08:00:00, 2234.1660481027607, 0.74223343203186753, null, null, 2234.1660481027607, 0.74223343203186753
2100-Jan-01 09:00:00, 2240.2217400762534, 0.7442452507329127, null, null, 2240.2217400762534, 0.7442452507329127
2100-Jan-01 10:00:00, 2241.3366671361578, 0.74461565119568973, null, null, 2241.3366671361578, 0.74461565119568973
2100-Jan-01 11:00:00, 2236.3489440294575, 0.7429586325319899, null, null, 2236.3489440294575, 0.7429586325319899
2100-Jan-01 12:00:00, 2225.8885832610754, 0.73948349715429451, null, null, 2225.8885832610754, 0.73948349715429451
2100-Jan-01 13:00:00, 2211.2367562990198, 0.73461587515242111, null, null, 2211.2367562990198, 0.73461587515242111
2100-Jan-01 14:00:00, 2194.0498441987097, 0.72890604854169261, null, null, 2194.0498441987097, 0.72890604854169261
2100-Jan-01 15:00:00, 2176.7258815228324, 0.72315069106312579, null, null, 2176.7258815228324, 0.72315069106312579
2100-Jan-01 16:00:00, 2161.4259042252934, 0.71806774090854542, null, null, 2161.4259042252934, 0.71806774090854542
2100-Jan-01 17:00:00, 2150.0282519511748, 0.71428121905547692, null, null, 2150.0282519511748, 0.71428121905547692
2100-Jan-01 18:00:00, 2143.2616499567812, 0.71203322221309473, null, null, 2143.2616499567812, 0.71203322221309473
2100-Jan-01 19:00:00, 2140.7695267362164, 0.71120529038921942, null, null, 2140.7695267362164, 0.71120529038921942
2100-Jan-01 20:00:00, 2141.4430549136823, 0.71142904955481734, null, null, 2141.4430549136823, 0.71142904955481734
2100-Jan-01 21:00:00, 2144.3317529135611, 0.71238873123665758, null, null, 2144.3317529135611, 0.71238873123665758
2100-Jan-01 22:00:00, 2148.6475203703176, 0.71382251315899947, null, null, 2148.6475203703176, 0.71382251315899947
2100-Jan-01 23:00:00, 2154.0382181832138, 0.71561340786089966, null, null, 2154.0382181832138, 0.71561340786089966
2100-Jan-02 00:00:00, 2160.6477392056145, 0.71780921934801334, null, null, 2160.6477392056145, 0.71780921934801334
2100-Jan-02 01:00:00, 2168.5418619414872, 0.72043180051923073, null, null, 2168.5418619414872, 0.72043180051923073
2100-Jan-02 02:00:00, 2177.4653727344516, 0.7233963644321324, null, null, 2177.4653727344516, 0.7233963644321324
2100-Jan-02 03:00:00, 2187.1175819896152, 0.72660301615268541, null, null, 2187.1175819896152, 0.72660301615268541
2100-Jan-02 04:00:00, 2197.4560555637827, 0.73003765823286626, null, null, 2197.4560555637827, 0.73003765823286626
2100-Jan-02 05:00:00, 2208.1361813911617, 0.73358580383919636, null, null, 2208.1361813911617, 0.73358580383919636
2100-Jan-02 06:00:00, 2219.2079366189623, 0.73726405635239955, null, null, 2219.2079366189623, 0.73726405635239955
2100-Jan-02 07:00:00, 2230.4147261764197, 0.74098716989731894, null, null, 2230.4147261764197, 0.74098716989731894
2100-Jan-02 08:00:00, 2240.2022715108474, 0.744238782896679, null, null, 2240.2022715108474, 0.744238782896679
2100-Jan-02 09:00:00, 2246.7730289294359, 0.7464217163603708, null, null, 2246.7730289294359, 0.7464217163603708
2100-Jan-02 10:00:00, 2248.8943859243946, 0.74712647242998798, null, null, 2248.8943859243946, 0.74712647242998798
2100-Jan-02 11:00:00, 2245.0311593235483, 0.7458430333852053, null, null, 2245.0311593235483, 0.7458430333852053
2100-Jan-02 12:00:00, 2236.181588676714, 0.74290303382752421, null, null, 2236.181588676714, 0.74290303382752421
2100-Jan-02 13:00:00, 2223.2287161538006, 0.73859983754740999, null, null, 2223.2287161538006, 0.73859983754740999
2100-Jan-02 14:00:00, 2205.5045603730973, 0.73271152813274032, null, null, 2205.5045603730973, 0.73271152813274032
2100-Jan-02 15:00:00, 2185.4081455593873, 0.7260351081095362, null, null, 2185.4081455593873, 0.7260351081095362
2100-Jan-02 16:00:00, 2167.071939312742, 0.71994346362122741, null, null, 2167.071939312742, 0.71994346362122741
2100-Jan-02 17:00:00, 2153.099489989871, 0.71530154408994973, null, null, 2153.099489989871, 0.71530154408994973
2100-Jan-02 18:00:00, 2144.2603987541802, 0.71236502599655149, null, null, 2144.2603987541802, 0.71236502599655149
2100-Jan-02 19:00:00, 2140.4936065794514, 0.71111362434447911, null, null, 2140.4936065794514, 0.71111362434447911
2100-Jan-02 20:00:00, 2140.873932524376, 0.71123997602350131, null, null, 2140.873932524376, 0.71123997602350131
2100-Jan-02 21:00:00, 2144.3737272242929, 0.71240267591938966, null, null, 2144.3737272242929, 0.71240267591938966
2100-Jan-02 22:00:00, 2149.9973941299186, 0.71427096748684549, null, null, 2149.9973941299186, 0.71427096748684549
2100-Jan-02 23:00:00, 2156.4327838025556, 0.71640892915144072, null, null, 2156.4327838025556, 0.71640892915144072
2100-Jan-03 00:00:00, 2163.3370772958119, 0.71870266978885067, null, null, 2163.3370772958119, 0.71870266978885067
2100-Jan-03 01:00:00, 2170.7674762945758, 0.721171192911786, null, null, 2170.7674762945758, 0.721171192911786
2100-Jan-03 02:00:00, 2178.8883765463597, 0.72386911398626863, null, null, 2178.8883765463597, 0.72386911398626863
2100-Jan-03 03:00:00, 2187.5786200726502, 0.72675618197442859, null, null, 2187.5786200726502, 0.72675618197442859
2100-Jan-03 04:00:00, 2196.5659320925643, 0.7297419418963228, null, null, 2196.5659320925643, 0.7297419418963228
2100-Jan-03 05:00:00, 2205.6934520544905, 0.73277428162462233, null, null, 2205.6934520544905, 0.73277428162462233
2100-Jan-03 06:00:00, 2214.5203591201289, 0.73570675189965795, null, null, 2214.5203591201289, 0.73570675189965795
2100-Jan-03 07:00:00, 2223.4605310096576, 0.73867685095301827, null, null, 2223.4605310096576, 0.73867685095301827
2100-Jan-03 08:00:00, 2231.7468201812535, 0.74142971744468522, null, null, 2231.7468201812535, 0.74142971744468522
2100-Jan-03 09:00:00, 2237.8457875902436, 0.74345591308742598, null, null, 2237.8457875902436, 0.74345591308742598
2100-Jan-03 10:00:00, 2240.3554633181629, 0.74428967619576902, null, null, 2240.3554633181629, 0.74428967619576902
2100-Jan-03 11:00:00, 2238.4616875578845, 0.7436605270404304, null, null, 2238.4616875578845, 0.7436605270404304
2100-Jan-03 12:00:00, 2231.7583528481064, 0.74143354882100831, null, null, 2231.7583528481064, 0.74143354882100831
2100-Jan-03 13:00:00, 2220.4809999874174, 0.73768699277378358, null, null, 2220.4809999874174, 0.73768699277378358
2100-Jan-03 14:00:00, 2205.5493304905194, 0.73272640163685376, null, null, 2205.5493304905194, 0.73272640163685376
2100-Jan-03 15:00:00, 2188.7248467433965, 0.72713698077693345, null, null, 2188.7248467433965, 0.72713698077693345
2100-Jan-03 16:00:00, 2172.2480008791767, 0.72166305198581004, null, null, 2172.2480008791767, 0.72166305198581004
2100-Jan-03 17:00:00, 2158.659524711336, 0.71714869580771645, null, null, 2158.659524711336, 0.71714869580771645
2100-Jan-03 18:00:00, 2149.423725958718, 0.7140803837583356, null, null, 2149.423725958718, 0.7140803837583356
2100-Jan-03 19:00:00, 2144.5456430079321, 0.7124597896877326, null, null, 2144.5456430079321, 0.7124597896877326
2100-Jan-03 20:00:00, 2143.2176225140506, 0.71201859543996426, null, null, 2143.2176225140506, 0.71201859543996426
2100-Jan-03 21:00:00, 2144.1831605133548, 0.71233936595010128, null, null, 2144.1831605133548, 0.71233936595010128
2100-Jan-03 22:00:00, 2147.4133339119603, 0.71341249240358973, null, null, 2147.4133339119603, 0.71341249240358973
2100-Jan-03 23:00:00, 2152.8011682520914, 0.71520243580412202, null, null, 2152.8011682520914, 0.71520243580412202
2100-Jan-04 00:00:00, 2159.8907591220491, 0.7175577358354599, null, null, 2159.8907591220491, 0.7175577358354599
2100-Jan-04 01:00:00, 2167.5963303182625, 0.7201176765164975, null, null, 2167.5963303182625, 0.7201176765164975
2100-Jan-04 02:00:00, 2175.9140341477218, 0.7228809795687513, null, null, 2175.9140341477218, 0.7228809795687513
2100-Jan-04 03:00:00, 2184.8265056701907, 0.72584187602119987, null, null, 2184.8265056701907, 0.72584187602119987
2100-Jan-04 04:00:00, 2194.5751892843059, 0.72908057840092766, null, null, 2194.5751892843059, 0.72908057840092766
2100-Jan-04 05:00:00, 2205.166472907219, 0.73259920889830432, null, null, 2205.166472907219, 0.73259920889830432
2100-Jan-04 06:00:00, 2216.3129093928142, 0.73630227197844289, null, null, 2216.3129093928142, 0.73630227197844289
2100-Jan-04 07:00:00, 2226.9723229229676, 0.73984353655662916, null, null, 2226.9723229229676, 0.73984353655662916
2100-Jan-04 08:00:00, 2237.1026579280501, 0.74320903095434421, null, null, 2237.1026579280501, 0.74320903095434421
2100-Jan-04 09:00:00, 2246.0123522682102, 0.74616900477279324, null, null, 2246.0123522682102, 0.74616900477279324
2100-Jan-04 10:00:00, 2252.7853535400932, 0.74841912757967011, null, null, 2252.7853535400932, 0.74841912757967011
2100-Jan-04 11:00:00, 2255.7296331101948, 0.7493972745406059, null, null, 2255.7296331101948, 0.7493972745406059
2100-Jan-04 12:00:00, 2254.9733446322407, 0.74914602079289339, null, null, 2254.9733446322407, 0.74914602079289339
2100-Jan-04 13:00:00, 2251.3136943831505, 0.74793021377321134, null, null, 2251.3136943831505, 0.74793021377321134
2100-Jan-04 14:00:00, 2245.7347585189823, 0.74607678272807321, null, null, 2245.7347585189823, 0.74607678272807321
2100-Jan-04 15:00:00, 2239.3111928838453, 0.74394274923879944, null, null, 2239.3111928838453, 0.74394274923879944
2100-Jan-04 16:00:00, 2233.2868026142783, 0.7419413295728452, null, null, 2233.2868026142783, 0.7419413295728452
2100-Jan-04 17:00:00, 2228.4242540312011, 0.74032589632145196, null, null, 2228.4242540312011, 0.74032589632145196
2100-Jan-04 18:00:00, 2225.2991246406746, 0.73928766753132069, null, null, 2225.2991246406746, 0.73928766753132069
2100-Jan-04 19:00:00, 2224.0440571126856, 0.73887070967828994, null, null, 2224.0440571126856, 0.73887070967828994
2100-Jan-04 20:00:00, 2224.181003862946, 0.7389162060533413, null, null, 2224.181003862946, 0.7389162060533413
2100-Jan-04 21:00:00, 2225.8600154906308, 0.73947400638510097, null, null, 2225.8600154906308, 0.73947400638510097
2100-Jan-04 22:00:00, 2228.5740672038041, 0.74037566717235148, null, null, 2228.5740672038041, 0.74037566717235148
2100-Jan-04 23:00:00, 2232.1242468236524, 0.74155510591899576, null, null, 2232.1242468236524, 0.74155510591899576
2100-Jan-05 00:00:00, 2236.2826122233605, 0.7429365958153662, null, null, 2236.2826122233605, 0.7429365958153662
2100-Jan-05 01:00:00, 2241.0560038750541, 0.74452240939940018, null, null, 2241.0560038750541, 0.74452240939940018
2100-Jan-05 02:00:00, 2246.5733764072488, 0.74635538790780009, null, null, 2246.5733764072488, 0.74635538790780009
2100-Jan-05 03:00:00, 2252.5417872191128, 0.74833821010869594, null, null, 2252.5417872191128, 0.74833821010869594
2100-Jan-05 04:00:00, 2258.9718334383138, 0.75047439657409043, null, null, 2258.9718334383138, 0.75047439657409043
2100-Jan-05 05:00:00, 2265.8355588387381, 0.75275465970171584, null, null, 2265.8355588387381, 0.75275465970171584
2100-Jan-05 06:00:00, 2272.5200009642936, 0.75497536143706034, null, null, 2272.5200009642936, 0.75497536143706034
2100-Jan-05 07:00:00, 2279.2675137873357, 0.75721701648529571, null, null, 2279.2675137873357, 0.75721701648529571
2100-Jan-05 08:00:00, 2285.7922547740322, 0.75938466239495728, null, null, 2285.7922547740322, 0.75938466239495728
2100-Jan-05 09:00:00, 2290.5553594365656, 0.76096705844103507, null, null, 2290.5553594365656, 0.76096705844103507
2100-Jan-05 10:00:00, 2291.4712623566015, 0.76127133921207424, null, null, 2291.4712623566015, 0.76127133921207424
2100-Jan-05 11:00:00, 2287.3775107074753, 0.75991131526085665, null, null, 2287.3775107074753, 0.75991131526085665
2100-Jan-05 12:00:00, 2279.1289095826683, 0.75717096947164075, null, null, 2279.1289095826683, 0.75717096947164075
2100-Jan-05 13:00:00, 2268.0105790146977, 0.75347724372420244, null, null, 2268.0105790146977, 0.75347724372420244
2100-Jan-05 14:00:00, 2254.3300422677708, 0.74893230323048554, null, null, 2254.3300422677708, 0.74893230323048554
2100-Jan-05 15:00:00, 2239.6518990637014, 0.74405593846097207, null, null, 2239.6518990637014, 0.74405593846097207
2100-Jan-05 16:00:00, 2225.6712559132066, 0.73941129678072781, null, null, 2225.6712559132066, 0.73941129678072781
2100-Jan-05 17:00:00, 2214.159774057192, 0.73558695852573641, null, null, 2214.159774057192, 0.73558695852573641
2100-Jan-05 18:00:00, 2206.0641128633133, 0.73289742235737398, null, null, 2206.0641128633133, 0.73289742235737398
2100-Jan-05 19:00:00, 2201.626337437398, 0.73142310701373114, null, null, 2201.626337437398, 0.73142310701373114
2100-Jan-05 20:00:00, 2200.524083628984, 0.7310569168516865, null, null, 2200.524083628984, 0.7310569168516865
2100-Jan-05 21:00:00, 2202.1763227583187, 0.73160582283857356, null, null, 2202.1763227583187, 0.73160582283857356
2100-Jan-05 22:00:00, 2206.0529994166682, 0.73289373025416071, null, null, 2206.0529994166682, 0.73289373025416071
2100-Jan-05 23:00:00, 2211.4665511201429, 0.73469221746318625, null, null, 2211.4665511201429, 0.73469221746318625
2100-Jan-06 00:00:00, 2217.9480441703163, 0.73684549556684653, null, null, 2217.9480441703163, 0.73684549556684653
2100-Jan-06 01:00:00, 2225.4530226191569, 0.73933879543421255, null, null, 2225.4530226191569, 0.73933879543421255
2100-Jan-06 02:00:00, 2233.8277374125346, 0.74212103863795986, null, null, 2233.8277374125346, 0.74212103863795986
2100-Jan-06 03:00:00, 2242.8583038288293, 0.74512116851194576, null, null, 2242.8583038288293, 0.74512116851194576
2100-Jan-06 04:00:00, 2252.4205944063578, 0.7482979474982131, null, null, 2252.4205944063578, 0.7482979474982131
2100-Jan-06 05:00:00, 2262.3754979506066, 0.75160516015121559, null, null, 2262.3754979506066, 0.75160516015121559
2100-Jan-06 06:00:00, 2272.4583996648607, 0.75495489628679335, null, null, 2272.4583996648607, 0.75495489628679335
2100-Jan-06 07:00:00, 2282.6535876727175, 0.75834193611389478, null, null, 2282.6535876727175, 0.75834193611389478
2100-Jan-06 08:00:00, 2292.7482286572599, 0.76169557226347684, null, null, 2292.7482286572599, 0.76169557226347684
2100-Jan-06 09:00:00, 2302.3065028381502, 0.76487101692463277, null, null, 2302.3065028381502, 0.76487101692463277
2100-Jan-06 10:00:00, 2310.5267101554145, 0.76760192973851604, null, null, 2310.5267101554145, 0.76760192973851604
2100-Jan-06 11:00:00, 2315.2918152633156, 0.76918499037146826, null, null, 2315.2918152633156, 0.76918499037146826
2100-Jan-06 12:00:00, 2315.0101981490466, 0.76909143168659777, null, null, 2315.0101981490466, 0.76909143168659777
2100-Jan-06 13:00:00, 2310.0077803168247, 0.7674295311491599, null, null, 2310.0077803168247, 0.7674295311491599
2100-Jan-06 14:00:00, 2300.7509223296597, 0.76435422281230658, null, null, 2300.7509223296597, 0.76435422281230658
2100-Jan-06 15:00:00, 2289.1459600208395, 0.76049882853201545, null, null, 2289.1459600208395, 0.76049882853201545
