Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 921.54191257877278, 0.39271116033520531, null, null, 921.54191257877278, 0.39271116033520531
2100-Jan-01 01:00:00, 921.81839931385878, 0.39282898397954619, null, null, 921.81839931385878, 0.39282898397954619
2100-Jan-01 02:00:00, 922.62478246439105, 0.39317262072400433, null, null, 922.62478246439105, 0.39317262072400433
2100-Jan-01 03:00:00, 923.93487955623198, 0.39373091301876162, null, null, 923.93487955623198, 0.39373091301876162
2100-Jan-01 04:00:00, 925.70292526779929, 0.39448435816698318, null, null, 925.70292526779929, 0.39448435816698318
2100-Jan-01 05:00:00, 927.88761667598078, 0.39541535510393255, null, null, 927.88761667598078, 0.39541535510393255
2100-Jan-01 06:00:00, 930.4353536702605, 0.39650106237084648, null, null, 930.4353536702605, 0.39650106237084648
2100-Jan-01 07:00:00, 933.26939008008833, 0.3977087749140788, null, null, 933.26939008008833, 0.3977087749140788
2100-Jan-01 08:00:00, 936.2209720041601, 0.39896657897746973, null, null, 936.2209720041601, 0.39896657897746973
2100-Jan-01 09:00:00, 938.99315930353089, 0.40014793478575411, null, null, 938.99315930353089, 0.40014793478575411
2100-Jan-01 10:00:00, 941.2439889837907, 0.4011071162656048, null, null, 941.2439889837907, 0.4011071162656048
2100-Jan-01 11:00:00, 942.62473805210755, 0.40169551659916436, null, null, 942.62473805210755, 0.40169551659916436
2100-Jan-01 12:00:00, 942.91267124285832, 0.40181821810182566, null, null, 942.91267124285832, 0.40181821810182566
2100-Jan-01 13:00:00, 942.04757690478448, 0.4014495618349026, null, null, 942.04757690478448, 0.4014495618349026
2100-Jan-01 14:00:00, 940.11626563380435, 0.40062654176403828, null, null, 940.11626563380435, 0.40062654176403828
2100-Jan-01 15:00:00, 937.36875736780632, 0.39945570282069459, null, null, 937.36875736780632, 0.39945570282069459
2100-Jan-01 16:00:00, 934.16405945047268, 0.39809003445503321, null, null, 934.16405945047268, 0.39809003445503321
2100-Jan-01 17:00:00, 930.91325182567039, 0.39670471663395851, null, null, 930.91325182567039, 0.39670471663395851
2100-Jan-01 18:00:00, 927.97888698323948, 0.39545424955656511, null, null, 927.97888698323948, 0.39545424955656511
2100-Jan-01 19:00:00, 925.60128957292886, 0.39444104654857576, null, null, 925.60128957292886, 0.39444104654857576
2100-Jan-01 20:00:00, 923.8748254934859, 0.39370532123574892, null, null, 923.8748254934859, 0.39370532123574892
2100-Jan-01 21:00:00, 922.79667611610387, 0.39324587247142567, null, null, 922.79667611610387, 0.39324587247142567
2100-Jan-01 22:00:00, 922.30975228967134, 0.39303837195705615, null, null, 922.30975228967134, 0.39303837195705615
2100-Jan-01 23:00:00, 922.34915037250073, 0.39305516128222057, null, null, 922.34915037250073, 0.39305516128222057
2100-Jan-02 00:00:00, 922.88120684380613, 0.39328189488094045, null, null, 922.88120684380613, 0.39328189488094045
2100-Jan-02 01:00:00, 923.89183654075566, 0.39371257042107694, null, null, 923.89183654075566, 0.39371257042107694
2100-Jan-02 02:00:00, 925.35448803140594, 0.39433587312301471, null, null, 925.35448803140594, 0.39433587312301471
2100-Jan-02 03:00:00, 927.22564545413422, 0.39513325888769818, null, null, 927.22564545413422, 0.39513325888769818
2100-Jan-02 04:00:00, 929.46547035309072, 0.39608775072687613, null, null, 929.46547035309072, 0.39608775072687613
2100-Jan-02 05:00:00, 932.02137687579659, 0.39717693940352716, null, null, 932.02137687579659, 0.39717693940352716
2100-Jan-02 06:00:00, 934.85245657984399, 0.39838339195918654, null, null, 934.85245657984399, 0.39838339195918654
2100-Jan-02 07:00:00, 937.91019445256291, 0.39968643392787584, null, null, 937.91019445256291, 0.39968643392787584
2100-Jan-02 08:00:00, 941.04457624592612, 0.4010221373768495, null, null, 941.04457624592612, 0.4010221373768495
2100-Jan-02 09:00:00, 943.99259165876504, 0.40227842158667165, null, null, 943.99259165876504, 0.40227842158667165
2100-Jan-02 10:00:00, 946.44748762140011, 0.4033245650434471, null, null, 946.44748762140011, 0.4033245650434471
2100-Jan-02 11:00:00, 948.06068384205412, 0.404012021740765, null, null, 948.06068384205412, 0.404012021740765
2100-Jan-02 12:00:00, 948.63087061414672, 0.40425500440473267, null, null, 948.63087061414672, 0.40425500440473267
2100-Jan-02 13:00:00, 948.09186346148442, 0.404025308802762, null, null, 948.09186346148442, 0.404025308802762
2100-Jan-02 14:00:00, 946.3547957658393, 0.40328506480406134, null, null, 946.3547957658393, 0.40328506480406134
2100-Jan-02 15:00:00, 943.51907178290037, 0.40207663310873665, null, null, 943.51907178290037, 0.40207663310873665
2100-Jan-02 16:00:00, 939.99126740004101, 0.40057327429920458, null, null, 939.99126740004101, 0.40057327429920458
2100-Jan-02 17:00:00, 936.2906690478369, 0.39899628007572763, null, null, 936.2906690478369, 0.39899628007572763
2100-Jan-02 18:00:00, 932.8547119314768, 0.39753206158755067, null, null, 932.8547119314768, 0.39753206158755067
2100-Jan-02 19:00:00, 929.99274859618538, 0.39631244810399896, null, null, 929.99274859618538, 0.39631244810399896
2100-Jan-02 20:00:00, 927.86652270049137, 0.39540636599613677, null, null, 927.86652270049137, 0.39540636599613677
2100-Jan-02 21:00:00, 926.52076431600165, 0.39483287679343204, null, null, 926.52076431600165, 0.39483287679343204
2100-Jan-02 22:00:00, 925.91943904323261, 0.39457662459004911, null, null, 925.91943904323261, 0.39457662459004911
2100-Jan-02 23:00:00, 925.94561515734074, 0.39458777942956769, null, null, 925.94561515734074, 0.39458777942956769
2100-Jan-03 00:00:00, 926.48154160334911, 0.39481616220152144, null, null, 926.48154160334911, 0.39481616220152144
2100-Jan-03 01:00:00, 927.44836014836153, 0.39522816780589265, null, null, 927.44836014836153, 0.39522816780589265
2100-Jan-03 02:00:00, 928.80204623600196, 0.39580503536552353, null, null, 928.80204623600196, 0.39580503536552353
