Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 570.74826533760233, 0.3010938816914317, null, null, 570.74826533760233, 0.3010938816914317
2100-Jan-01 01:00:00, 570.90837814883025, 0.30117834798028259, null, null, 570.90837814883025, 0.30117834798028259
2100-Jan-01 02:00:00, 571.38025789599726, 0.30142728453146428, null, null, 571.38025789599726, 0.30142728453146428
2100-Jan-01 03:00:00, 572.14876926906857, 0.30183270682793883, null, null, 572.14876926906857, 0.30183270682793883
2100-Jan-01 04:00:00, 573.18710120577032, 0.30238047089888315, null, null, 573.18710120577032, 0.30238047089888315
2100-Jan-01 05:00:00, 574.47098000927315, 0.30305777134120576, null, null, 574.47098000927315, 0.30305777134120576
2100-Jan-01 06:00:00, 575.96892865255063, 0.30384800269006851, null, null, 575.96892865255063, 0.30384800269006851
2100-Jan-01 07:00:00, 577.63581971808799, 0.30472735832154385, null, null, 577.63581971808799, 0.30472735832154385
2100-Jan-01 08:00:00, 579.37241283622302, 0.30564348473771197, null, null, 579.37241283622302, 0.30564348473771197
2100-Jan-01 09:00:00, 581.00418986419584, 0.30650431622725954, null, null, 581.00418986419584, 0.30650431622725954
2100-Jan-01 10:00:00, 582.33023321219343, 0.30720386025251123, null, null, 582.33023321219343, 0.30720386025251123
2100-Jan-01 11:00:00, 583.14567791090076, 0.3076340418659293, null, null, 583.14567791090076, 0.3076340418659293
2100-Jan-01 12:00:00, 583.31955882304123, 0.30772577141110358, null, null, 583.31955882304123, 0.30772577141110358
2100-Jan-01 13:00:00, 582.81627978625795, 0.30746027040485985, null, null, 582.81627978625795, 0.30746027040485985
2100-Jan-01 14:00:00, 581.68655287923957, 0.3068642916164106, null, null, 581.68655287923957, 0.3068642916164106
2100-Jan-01 15:00:00, 580.07693144943335, 0.30601514814320635, null, null, 580.07693144943335, 0.30601514814320635
2100-Jan-01 16:00:00, 578.19804235722586, 0.30502395457434667, null, null, 578.19804235722586, 0.30502395457434667
2100-Jan-01 17:00:00, 576.29118871636251, 0.3040180085217461, null, null, 576.29118871636251, 0.3040180085217461
2100-Jan-01 18:00:00, 574.56929688985986, 0.30310963765952759, null, null, 574.56929688985986, 0.30310963765952759
2100-Jan-01 19:00:00, 573.17365303254167, 0.30237337641796225, null, null, 573.17365303254167, 0.30237337641796225
2100-Jan-01 20:00:00, 572.15995640147162, 0.30183860851406702, null, null, 572.15995640147162, 0.30183860851406702
2100-Jan-01 21:00:00, 571.52687754649037, 0.3015046326065795, null, null, 571.52687754649037, 0.3015046326065795
2100-Jan-01 22:00:00, 571.24116890215487, 0.30135390919666272, null, null, 571.24116890215487, 0.30135390919666272
2100-Jan-01 23:00:00, 571.26483700359518, 0.30136639512253882, null, null, 571.26483700359518, 0.30136639512253882
2100-Jan-02 00:00:00, 571.57812070655439, 0.3015316655437093, null, null, 571.57812070655439, 0.3015316655437093
2100-Jan-02 01:00:00, 572.17274948197337, 0.30184535740583068, null, null, 572.17274948197337, 0.30184535740583068
2100-Jan-02 02:00:00, 573.03314185520264, 0.3022992508211354, null, null, 573.03314185520264, 0.3022992508211354
2100-Jan-02 03:00:00, 574.13371099984909, 0.30287984765507481, null, null, 574.13371099984909, 0.30287984765507481
2100-Jan-02 04:00:00, 575.45105454389807, 0.3035748021652987, null, null, 575.45105454389807, 0.3035748021652987
2100-Jan-02 05:00:00, 576.95426012605537, 0.30436780677205694, null, null, 576.95426012605537, 0.30436780677205694
2100-Jan-02 06:00:00, 578.61926439627564, 0.30524616703909496, null, null, 578.61926439627564, 0.30524616703909496
2100-Jan-02 07:00:00, 580.41758703028802, 0.30619485838919142, null, null, 580.41758703028802, 0.30619485838919142
2100-Jan-02 08:00:00, 582.2611616308842, 0.3071674220681242, null, null, 582.2611616308842, 0.3071674220681242
2100-Jan-02 09:00:00, 583.99559230784723, 0.30808240770499268, null, null, 583.99559230784723, 0.30808240770499268
