Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 3511.5613887291511, 1.1666090188597957, null, null, 3511.5613887291511, 1.1666090188597957
2100-Jan-01 01:00:00, 3582.6335856484452, 1.1902205855498587, null, null, 3582.6335856484452, 1.1902205855498587
2100-Jan-01 02:00:00, 3660.6445161103779, 1.2161373345318467, null, null, 3660.6445161103779, 1.2161373345318467
2100-Jan-01 03:00:00, 3744.558282600291, 1.244015120495616, null, null, 3744.558282600291, 1.244015120495616
2100-Jan-01 04:00:00, 3830.8151407319847, 1.2726713270930354, null, null, 3830.8151407319847, 1.2726713270930354
2100-Jan-01 05:00:00, 3919.5056600570888, 1.302136043291396, null, null, 3919.5056600570888, 1.302136043291396
2100-Jan-01 06:00:00, 4007.5894942861696, 1.3313992068964002, null, null, 4007.5894942861696, 1.3313992068964002
2100-Jan-01 07:00:00, 4090.8163864449916, 1.359048799842657, null, null, 4090.8163864449916, 1.359048799842657
2100-Jan-01 08:00:00, 4154.3146670540555, 1.3801441641664551, null, null, 4154.3146670540555, 1.3801441641664551
2100-Jan-01 09:00:00, 4177.4958627504175, 1.3878454084204015, null, null, 4177.4958627504175, 1.3878454084204015
2100-Jan-01 10:00:00, 4151.5387024026768, 1.379221934696474, null, null, 4151.5387024026768, 1.379221934696474
2100-Jan-01 11:00:00, 4070.2782075450468, 1.3522256171944669, null, null, 4070.2782075450468, 1.3522256171944669
2100-Jan-01 12:00:00, 3947.9043200831247, 1.3115706307134591, null, null, 3947.9043200831247, 1.3115706307134591
2100-Jan-01 13:00:00, 3802.3961995834356, 1.2632300018874574, null, null, 3802.3961995834356, 1.2632300018874574
2100-Jan-01 14:00:00, 3651.4535372897417, 1.2130839125359454, null, null, 3651.4535372897417, 1.2130839125359454
2100-Jan-01 15:00:00, 3517.3739090934755, 1.1685400512208108, null, null, 3517.3739090934755, 1.1685400512208108
2100-Jan-01 16:00:00, 3416.2674985974904, 1.1349505343956916, null, null, 3416.2674985974904, 1.1349505343956916
2100-Jan-01 17:00:00, 3359.3314061691899, 1.1160352566680456, null, null, 3359.3314061691899, 1.1160352566680456
2100-Jan-01 18:00:00, 3346.3256701934292, 1.1117144981203151, null, null, 3346.3256701934292, 1.1117144981203151
2100-Jan-01 19:00:00, 3368.2978109642631, 1.1190140708030494, null, null, 3368.2978109642631, 1.1190140708030494
2100-Jan-01 20:00:00, 3411.6989466676191, 1.1334327725528761, null, null, 3411.6989466676191, 1.1334327725528761
2100-Jan-01 21:00:00, 3466.997340834756, 1.1518039750529676, null, null, 3466.997340834756, 1.1518039750529676
2100-Jan-01 22:00:00, 3527.382645367079, 1.1718651481539448, null, null, 3527.382645367079, 1.1718651481539448
2100-Jan-01 23:00:00, 3590.6965015695, 1.1928992431014542, null, null, 3590.6965015695, 1.1928992431014542
2100-Jan-02 00:00:00, 3659.5431912334166, 1.2157714529789052, null, null, 3659.5431912334166, 1.2157714529789052
2100-Jan-02 01:00:00, 3734.9402974476002, 1.2408198386878133, null, null, 3734.9402974476002, 1.2408198386878133
2100-Jan-02 02:00:00, 3814.2673105237754, 1.2671738159216748, null, null, 3814.2673105237754, 1.2671738159216748
2100-Jan-02 03:00:00, 3894.8792844865256, 1.2939546821639334, null, null, 3894.8792844865256, 1.2939546821639334
2100-Jan-02 04:00:00, 3976.8257407159003, 1.3211788893805942, null, null, 3976.8257407159003, 1.3211788893805942
2100-Jan-02 05:00:00, 4057.0677055182214, 1.347836831380377, null, null, 4057.0677055182214, 1.347836831380377
2100-Jan-02 06:00:00, 4136.9717019905602, 1.3743824937249864, null, null, 4136.9717019905602, 1.3743824937249864
2100-Jan-02 07:00:00, 4214.11628128552, 1.4000114239924464, null, null, 4214.11628128552, 1.4000114239924464
2100-Jan-02 08:00:00, 4272.4701339441108, 1.4193977092543895, null, null, 4272.4701339441108, 1.4193977092543895
