Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 3046.3893910274064
2100-Jan-01 01:00:00, 3046.3380625824047
2100-Jan-01 02:00:00, 3047.0001178760367
2100-Jan-01 03:00:00, 3048.3522958756953
2100-Jan-01 04:00:00, 3050.320280633533
2100-Jan-01 05:00:00, 3052.7776437493521
2100-Jan-01 06:00:00, 3055.5697023592857
2100-Jan-01 07:00:00, 3058.5172569357242
2100-Jan-01 08:00:00, 3061.4216414754569
2100-Jan-01 09:00:00, 3064.0894690844189
2100-Jan-01 10:00:00, 3066.3460095462719
2100-Jan-01 11:00:00, 3068.0503311193338
2100-Jan-01 12:00:00, 3069.1021265881991
2100-Jan-01 13:00:00, 3069.4430747424212
2100-Jan-01 14:00:00, 3069.063307513572
2100-Jan-01 15:00:00, 3068.0024284420197
2100-Jan-01 16:00:00, 3066.3438754594868
2100-Jan-01 17:00:00, 3064.2075296070557
2100-Jan-01 18:00:00, 3061.748944756137
2100-Jan-01 19:00:00, 3059.1458751936261
2100-Jan-01 20:00:00, 3056.5835194217893
2100-Jan-01 21:00:00, 3054.2432689539014
2100-Jan-01 22:00:00, 3052.2938534467585
2100-Jan-01 23:00:00, 3050.8761368650307
2100-Jan-02 00:00:00, 3050.0938479192705
2100-Jan-02 01:00:00, 3050.012469800783
2100-Jan-02 02:00:00, 3050.6590340123539
2100-Jan-02 03:00:00, 3052.0065693246647
2100-Jan-02 04:00:00, 3053.9761416411143
2100-Jan-02 05:00:00, 3056.4456116428569
2100-Jan-02 06:00:00, 3059.2537619138811
2100-Jan-02 07:00:00, 3062.216574920636
2100-Jan-02 08:00:00, 3065.143509123217
2100-Jan-02 09:00:00, 3067.8492240567152
2100-Jan-02 10:00:00, 3070.1623451597666
2100-Jan-02 11:00:00, 3071.9377273553
2100-Jan-02 12:00:00, 3073.0603581098662
2100-Jan-02 13:00:00, 3073.4679103122785
2100-Jan-02 14:00:00, 3073.1403656381876
2100-Jan-02 15:00:00, 3072.1107012362518
2100-Jan-02 16:00:00, 3070.4634710244623
2100-Jan-02 17:00:00, 3068.3315838921171
2100-Jan-02 18:00:00, 3065.8716998083009
2100-Jan-02 19:00:00, 3063.2593443238184
2100-Jan-02 20:00:00, 3060.6805547782296
2100-Jan-02 21:00:00, 3058.3273425290977
