Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2917.2350538570831
2100-Jan-01 01:00:00, 2917.3013114058303
2100-Jan-01 02:00:00, 2917.8848255864355
2100-Jan-01 03:00:00, 2918.9719447757752
2100-Jan-01 04:00:00, 2920.5029084084235
2100-Jan-01 05:00:00, 2922.3726868189101
2100-Jan-01 06:00:00, 2924.4727719895263
2100-Jan-01 07:00:00, 2926.671501566716
2100-Jan-01 08:00:00, 2928.8160881092954
2100-Jan-01 09:00:00, 2930.7704701551138
2100-Jan-01 10:00:00, 2932.4088150382649
2100-Jan-01 11:00:00, 2933.6345397250316
2100-Jan-01 12:00:00, 2934.3802498595605
2100-Jan-01 13:00:00, 2934.6047240255125
2100-Jan-01 14:00:00, 2934.3054886217446
2100-Jan-01 15:00:00, 2933.5163224829143
2100-Jan-01 16:00:00, 2932.3015143065691
2100-Jan-01 17:00:00, 2930.7476271792771
2100-Jan-01 18:00:00, 2928.9740681568505
2100-Jan-01 19:00:00, 2927.1119118164647
2100-Jan-01 20:00:00, 2925.2951750681232
2100-Jan-01 21:00:00, 2923.6540641193042
2100-Jan-01 22:00:00, 2922.3124354231045
2100-Jan-01 23:00:00, 2921.3690412253413
2100-Jan-02 00:00:00, 2920.8946302068643
2100-Jan-02 01:00:00, 2920.9335498833516
2100-Jan-02 02:00:00, 2921.509035946704
2100-Jan-02 03:00:00, 2922.5923447732216
2100-Jan-02 04:00:00, 2924.1193844084119
2100-Jan-02 05:00:00, 2925.9996738898094
2100-Jan-02 06:00:00, 2928.1090792465229
2100-Jan-02 07:00:00, 2930.3124448233766
2100-Jan-02 08:00:00, 2932.4726846154949
2100-Jan-02 09:00:00, 2934.4574479598878
2100-Jan-02 10:00:00, 2936.1414488072805
2100-Jan-02 11:00:00, 2937.4250103906861
2100-Jan-02 12:00:00, 2938.2185108454428
2100-Jan-02 13:00:00, 2938.4923313172999
2100-Jan-02 14:00:00, 2938.2273693255916
2100-Jan-02 15:00:00, 2937.4560302156638
2100-Jan-02 16:00:00, 2936.2429577036905
2100-Jan-02 17:00:00, 2934.696164287087
2100-Jan-02 18:00:00, 2932.9236761056636
2100-Jan-02 19:00:00, 2931.0554416051223
2100-Jan-02 20:00:00, 2929.2241713467624
2100-Jan-02 21:00:00, 2927.5795552145901
2100-Jan-02 22:00:00, 2926.2324038515358
2100-Jan-02 23:00:00, 2925.2974033257415
2100-Jan-03 00:00:00, 2924.8463611591051
2100-Jan-03 01:00:00, 2924.9231434188555
2100-Jan-03 02:00:00, 2925.5294959318785
2100-Jan-03 03:00:00, 2926.6297531846826
2100-Jan-03 04:00:00, 2928.1577241124446
2100-Jan-03 05:00:00, 2930.0253265316551
2100-Jan-03 06:00:00, 2932.1120638993566
2100-Jan-03 07:00:00, 2934.2861285846152
2100-Jan-03 08:00:00, 2936.4130344943796
2100-Jan-03 09:00:00, 2938.3622907749173
2100-Jan-03 10:00:00, 2940.0098815770712
2100-Jan-03 11:00:00, 2941.2569791962524
2100-Jan-03 12:00:00, 2942.0328146013339
2100-Jan-03 13:00:00, 2942.2930642776037
2100-Jan-03 14:00:00, 2942.0328418288568
2100-Jan-03 15:00:00, 2941.2658927306916
2100-Jan-03 16:00:00, 2940.0520821506225
2100-Jan-03 17:00:00, 2938.4965487419463
2100-Jan-03 18:00:00, 2936.7079107775926
2100-Jan-03 19:00:00, 2934.817938804917
2100-Jan-03 20:00:00, 2932.9795257703504
2100-Jan-03 21:00:00, 2931.3288345869864
2100-Jan-03 22:00:00, 2929.991794763188
2100-Jan-03 23:00:00, 2929.0650816275588
2100-Jan-04 00:00:00, 2928.6161768262386
2100-Jan-04 01:00:00, 2928.6863843468709
2100-Jan-04 02:00:00, 2929.2782557698197
2100-Jan-04 03:00:00, 2930.3580859990429
2100-Jan-04 04:00:00, 2931.8616556404859
2100-Jan-04 05:00:00, 2933.7024670966193
2100-Jan-04 06:00:00, 2935.7611751314894
2100-Jan-04 07:00:00, 2937.9067631847474
2100-Jan-04 08:00:00, 2940.005269644309
2100-Jan-04 09:00:00, 2941.9265400144582
2100-Jan-04 10:00:00, 2943.5467671459987
2100-Jan-04 11:00:00, 2944.7672449859401
2100-Jan-04 12:00:00, 2945.5172690314139
2100-Jan-04 13:00:00, 2945.7525418982427
2100-Jan-04 14:00:00, 2945.4681876141499
2100-Jan-04 15:00:00, 2944.6962574753898
2100-Jan-04 16:00:00, 2943.4998539695894
2100-Jan-04 17:00:00, 2941.9647493452217
2100-Jan-04 18:00:00, 2940.2098360446867
2100-Jan-04 19:00:00, 2938.3658630294158
2100-Jan-04 20:00:00, 2936.5666486104174
2100-Jan-04 21:00:00, 2934.9422859878168
2100-Jan-04 22:00:00, 2933.6165749517368
2100-Jan-04 23:00:00, 2932.6882485666815
2100-Jan-05 00:00:00, 2932.2280604834382
2100-Jan-05 01:00:00, 2932.280369909322
2100-Jan-05 02:00:00, 2932.8501223417752
2100-Jan-05 03:00:00, 2933.9053391600314
2100-Jan-05 04:00:00, 2935.3829914167318
2100-Jan-05 05:00:00, 2937.197379715175
2100-Jan-05 06:00:00, 2939.2296825558665
2100-Jan-05 07:00:00, 2941.3492193149423
2100-Jan-05 08:00:00, 2943.422237128289
2100-Jan-05 09:00:00, 2945.3187051774689
2100-Jan-05 10:00:00, 2946.9148828949196
2100-Jan-05 11:00:00, 2948.112093241094
2100-Jan-05 12:00:00, 2948.8396357988941
2100-Jan-05 13:00:00, 2949.053201309348
2100-Jan-05 14:00:00, 2948.7478918779234
2100-Jan-05 15:00:00, 2947.9557308268209
2100-Jan-05 16:00:00, 2946.7397893895154
2100-Jan-05 17:00:00, 2945.1858070579065
2100-Jan-05 18:00:00, 2943.4126430589345
2100-Jan-05 19:00:00, 2941.5510138786199
2100-Jan-05 20:00:00, 2939.7347063835632
2100-Jan-05 21:00:00, 2938.0937833982798
2100-Jan-05 22:00:00, 2936.7520159574487
2100-Jan-05 23:00:00, 2935.8081100209652
2100-Jan-06 00:00:00, 2935.3327937178815
2100-Jan-06 01:00:00, 2935.3704022491288
2100-Jan-06 02:00:00, 2935.9258669864903
2100-Jan-06 03:00:00, 2936.9855087210458
2100-Jan-06 04:00:00, 2938.4895401010203
2100-Jan-06 05:00:00, 2940.332906930264
2100-Jan-06 06:00:00, 2942.407077779756
2100-Jan-06 07:00:00, 2944.580368794343
2100-Jan-06 08:00:00, 2946.6999719695878
2100-Jan-06 09:00:00, 2948.6298066872841
2100-Jan-06 10:00:00, 2950.2440223294361
2100-Jan-06 11:00:00, 2951.4460188908388
2100-Jan-06 12:00:00, 2952.1683859015948
2100-Jan-06 13:00:00, 2952.3698871671963
2100-Jan-06 14:00:00, 2952.0480348605402
2100-Jan-06 15:00:00, 2951.2365943726945
2100-Jan-06 16:00:00, 2949.9998419137296
2100-Jan-06 17:00:00, 2948.424328548042
2100-Jan-06 18:00:00, 2946.6294500571958
2100-Jan-06 19:00:00, 2944.7462705258517
2100-Jan-06 20:00:00, 2942.90879664969
2100-Jan-06 21:00:00, 2941.2472250243645
2100-Jan-06 22:00:00, 2939.8854030381681
2100-Jan-06 23:00:00, 2938.9220743981928
2100-Jan-07 00:00:00, 2938.4279794059662
2100-Jan-07 01:00:00, 2938.4474579241728
2100-Jan-07 02:00:00, 2939.0037382834953
2100-Jan-07 03:00:00, 2940.0680695926631
2100-Jan-07 04:00:00, 2941.5763446894157
2100-Jan-07 05:00:00, 2943.4197645243444
2100-Jan-07 06:00:00, 2945.4892391228004
2100-Jan-07 07:00:00, 2947.6539020448931
2100-Jan-07 08:00:00, 2949.7803707470648
2100-Jan-07 09:00:00, 2951.71850854593
2100-Jan-07 10:00:00, 2953.3572298235658
2100-Jan-07 11:00:00, 2954.581695350299
2100-Jan-07 12:00:00, 2955.3200268553196
2100-Jan-07 13:00:00, 2955.5283421785707
2100-Jan-07 14:00:00, 2955.2049144230618
2100-Jan-07 15:00:00, 2954.3854502220879
2100-Jan-07 16:00:00, 2953.136194812771
2100-Jan-07 17:00:00, 2951.5452919953659
2100-Jan-07 18:00:00, 2949.7333035672232
2100-Jan-07 19:00:00, 2947.8321032207327
2100-Jan-07 20:00:00, 2945.9762429053885
2100-Jan-07 21:00:00, 2944.2962776097684
2100-Jan-07 22:00:00, 2942.9162847250573
2100-Jan-07 23:00:00, 2941.9351600275622
2100-Jan-08 00:00:00, 2941.442040472401
2100-Jan-08 01:00:00, 2941.466261925385
2100-Jan-08 02:00:00, 2942.0267782546493
2100-Jan-08 03:00:00, 2943.0911242641746
2100-Jan-08 04:00:00, 2944.5946630709923
2100-Jan-08 05:00:00, 2946.4477291267112
2100-Jan-08 06:00:00, 2948.5273048201275
2100-Jan-08 07:00:00, 2950.699218866353
2100-Jan-08 08:00:00, 2952.8271311703315
2100-Jan-08 09:00:00, 2954.7792154529607
2100-Jan-08 10:00:00, 2956.4305391358339
2100-Jan-08 11:00:00, 2957.6816555631331
2100-Jan-08 12:00:00, 2958.4430889691521
2100-Jan-08 13:00:00, 2958.6853082972357
2100-Jan-08 14:00:00, 2958.3892610756061
2100-Jan-08 15:00:00, 2957.5873770018143
2100-Jan-08 16:00:00, 2956.3443074288762
2100-Jan-08 17:00:00, 2954.7680614428095
2100-Jan-08 18:00:00, 2952.9666550470547
2100-Jan-08 19:00:00, 2951.0700219451719
2100-Jan-08 20:00:00, 2949.2108561735481
2100-Jan-08 21:00:00, 2947.5388291953277
2100-Jan-08 22:00:00, 2946.1647328853383
2100-Jan-08 23:00:00, 2945.2032348602374
2100-Jan-09 00:00:00, 2944.7261243147177
2100-Jan-09 01:00:00, 2944.7772495590302
2100-Jan-09 02:00:00, 2945.3583397131447
2100-Jan-09 03:00:00, 2946.4337128772177
2100-Jan-09 04:00:00, 2947.937162775132
2100-Jan-09 05:00:00, 2949.7805927784079
