Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2666.8159363860586
2096-Dec-31 01:00:00, 2666.8300833335961
2096-Dec-31 02:00:00, 2666.8378440609426
2096-Dec-31 03:00:00, 2666.8447173244963
2096-Dec-31 04:00:00, 2666.84955377087
2096-Dec-31 05:00:00, 2666.853740166348
2096-Dec-31 06:00:00, 2666.8568726410645
2096-Dec-31 07:00:00, 2666.859527789346
2096-Dec-31 08:00:00, 2666.8615691999444
2096-Dec-31 09:00:00, 2666.8632724309291
2096-Dec-31 10:00:00, 2666.8646150469417
2096-Dec-31 11:00:00, 2666.8657222313495
2096-Dec-31 12:00:00, 2666.8666238962219
2096-Dec-31 13:00:00, 2666.8673595151226
2096-Dec-31 14:00:00, 2666.8679852097739
2096-Dec-31 15:00:00, 2666.8684897819685
2096-Dec-31 16:00:00, 2666.8689425918983
2096-Dec-31 17:00:00, 2666.8693026372539
2096-Dec-31 18:00:00, 2666.8696461840414
2096-Dec-31 19:00:00, 2666.8699153342482
2096-Dec-31 20:00:00, 2666.8701886604454
2096-Dec-31 21:00:00, 2666.8703996279496
2096-Dec-31 22:00:00, 2666.8706265749533
2096-Dec-31 23:00:00, 2666.8707998863238
2097-Jan-01 00:00:00, 2666.8709950590796
2097-Jan-01 01:00:00, 2666.8711436329504
2097-Jan-01 02:00:00, 2666.8713163272846
2097-Jan-01 03:00:00, 2666.8714482576065
2097-Jan-01 04:00:00, 2666.8716044473367
2097-Jan-01 05:00:00, 2666.8717252260303
2097-Jan-01 06:00:00, 2666.8718688395606
2097-Jan-01 07:00:00, 2666.8719820083234
2097-Jan-01 08:00:00, 2666.8721153618758
2097-Jan-01 09:00:00, 2666.8722234703519
2097-Jan-01 10:00:00, 2666.8723484929506
2097-Jan-01 11:00:00, 2666.8724533309319
2097-Jan-01 12:00:00, 2666.8725712343357
2097-Jan-01 13:00:00, 2666.8726738320515
2097-Jan-01 14:00:00, 2666.872785730071
2097-Jan-01 15:00:00, 2666.8728870755162
2097-Jan-01 16:00:00, 2666.8729935243537
2097-Jan-01 17:00:00, 2666.8730941716376
2097-Jan-01 18:00:00, 2666.8731958778367
2097-Jan-01 19:00:00, 2666.8732962006666
2097-Jan-01 20:00:00, 2666.8733935735731
2097-Jan-01 21:00:00, 2666.8734938168691
2097-Jan-01 22:00:00, 2666.8735873638161
2097-Jan-01 23:00:00, 2666.8736878076556
2097-Jan-02 00:00:00, 2666.8737778445193
2097-Jan-02 01:00:00, 2666.8738784305806
2097-Jan-02 02:00:00, 2666.8739654406486
2097-Jan-02 03:00:00, 2666.8740661069473
2097-Jan-02 04:00:00, 2666.8741504795539
2097-Jan-02 05:00:00, 2666.8742511391238
2097-Jan-02 06:00:00, 2666.8743330520497
2097-Jan-02 07:00:00, 2666.8744336294408
2097-Jan-02 08:00:00, 2666.8745136882844
2097-Jan-02 09:00:00, 2666.8746139876566
2097-Jan-02 10:00:00, 2666.8746923183089
2097-Jan-02 11:00:00, 2666.8747922857287
2097-Jan-02 12:00:00, 2666.8748691846813
2097-Jan-02 13:00:00, 2666.8749685784765
2097-Jan-02 14:00:00, 2666.8750442951205
2097-Jan-02 15:00:00, 2666.8751430125044
2097-Jan-02 16:00:00, 2666.8752178772711
2097-Jan-02 17:00:00, 2666.8753156337448
2097-Jan-02 18:00:00, 2666.8753898437226
2097-Jan-02 19:00:00, 2666.8754867133466
2097-Jan-02 20:00:00, 2666.8755604280655
2097-Jan-02 21:00:00, 2666.8756560517309
2097-Jan-02 22:00:00, 2666.8757296112112
2097-Jan-02 23:00:00, 2666.8758238804398
2097-Jan-03 00:00:00, 2666.8758973790855
