Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2554.1366110808599
2096-Dec-31 01:00:00, 2554.1366197017633
2096-Dec-31 02:00:00, 2554.1366267167004
2096-Dec-31 03:00:00, 2554.1366323719662
2096-Dec-31 04:00:00, 2554.1366368663266
2096-Dec-31 05:00:00, 2554.1366403889542
2096-Dec-31 06:00:00, 2554.1366430913522
2096-Dec-31 07:00:00, 2554.1366451178601
2096-Dec-31 08:00:00, 2554.1366465838555
2096-Dec-31 09:00:00, 2554.1366475976674
2096-Dec-31 10:00:00, 2554.1366482450626
2096-Dec-31 11:00:00, 2554.13664860573
2096-Dec-31 12:00:00, 2554.1366487411624
2096-Dec-31 13:00:00, 2554.1366487082005
2096-Dec-31 14:00:00, 2554.1366485493463
2096-Dec-31 15:00:00, 2554.1366483037268
2096-Dec-31 16:00:00, 2554.1366479993294
2096-Dec-31 17:00:00, 2554.13664766171
2096-Dec-31 18:00:00, 2554.1366473082317
2096-Dec-31 19:00:00, 2554.1366469546074
2096-Dec-31 20:00:00, 2554.1366466108093
2096-Dec-31 21:00:00, 2554.1366462855549
2096-Dec-31 22:00:00, 2554.1366459833421
2096-Dec-31 23:00:00, 2554.1366457086997
2097-Jan-01 00:00:00, 2554.1366454625031
2097-Jan-01 01:00:00, 2554.1366452462717
2097-Jan-01 02:00:00, 2554.1366450589999
2097-Jan-01 03:00:00, 2554.1366449003031
2097-Jan-01 04:00:00, 2554.1366447681735
2097-Jan-01 05:00:00, 2554.136644661316
2097-Jan-01 06:00:00, 2554.1366445772296
2097-Jan-01 07:00:00, 2554.1366445143817
2097-Jan-01 08:00:00, 2554.1366444702066
2097-Jan-01 09:00:00, 2554.1366444428236
2097-Jan-01 10:00:00, 2554.1366444300493
2097-Jan-01 11:00:00, 2554.1366444302457
2097-Jan-01 12:00:00, 2554.1366444413957
2097-Jan-01 13:00:00, 2554.136644462305
2097-Jan-01 14:00:00, 2554.1366444908763
2097-Jan-01 15:00:00, 2554.136644526317
2097-Jan-01 16:00:00, 2554.1366445672388
2097-Jan-01 17:00:00, 2554.1366446127995
2097-Jan-01 18:00:00, 2554.1366446619413
2097-Jan-01 19:00:00, 2554.1366447141454
2097-Jan-01 20:00:00, 2554.13664476847
2097-Jan-01 21:00:00, 2554.1366448246563
2097-Jan-01 22:00:00, 2554.1366448819076
2097-Jan-01 23:00:00, 2554.1366449403495
2097-Jan-02 00:00:00, 2554.1366449992402
2097-Jan-02 01:00:00, 2554.1366450584446
2097-Jan-02 02:00:00, 2554.1366451176568
2097-Jan-02 03:00:00, 2554.1366451770491
2097-Jan-02 04:00:00, 2554.1366452359971
2097-Jan-02 05:00:00, 2554.1366452946127
2097-Jan-02 06:00:00, 2554.1366453530959
2097-Jan-02 07:00:00, 2554.1366454109734
2097-Jan-02 08:00:00, 2554.1366454684967
2097-Jan-02 09:00:00, 2554.1366455256198
2097-Jan-02 10:00:00, 2554.136645582214
2097-Jan-02 11:00:00, 2554.1366456385135
2097-Jan-02 12:00:00, 2554.1366456942442
2097-Jan-02 13:00:00, 2554.1366457495233
2097-Jan-02 14:00:00, 2554.1366458044909
2097-Jan-02 15:00:00, 2554.1366458590051
2097-Jan-02 16:00:00, 2554.1366459130113
2097-Jan-02 17:00:00, 2554.136645966651
2097-Jan-02 18:00:00, 2554.1366460199092
2097-Jan-02 19:00:00, 2554.1366460727768
2097-Jan-02 20:00:00, 2554.1366461252883
2097-Jan-02 21:00:00, 2554.1366461775247
2097-Jan-02 22:00:00, 2554.136646229505
2097-Jan-02 23:00:00, 2554.1366462810743
2097-Jan-03 00:00:00, 2554.1366463324157
2097-Jan-03 01:00:00, 2554.1366463835061
2097-Jan-03 02:00:00, 2554.1366464341504
2097-Jan-03 03:00:00, 2554.1366464847197
2097-Jan-03 04:00:00, 2554.136646535098
2097-Jan-03 05:00:00, 2554.1366465851715
2097-Jan-03 06:00:00, 2554.1366466351342
2097-Jan-03 07:00:00, 2554.1366466848926
2097-Jan-03 08:00:00, 2554.1366467342455
2097-Jan-03 09:00:00, 2554.1366467834869
2097-Jan-03 10:00:00, 2554.1366468323222
2097-Jan-03 11:00:00, 2554.1366468811825
2097-Jan-03 12:00:00, 2554.1366469296786
