Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2146.0791049860341
2096-Dec-31 01:00:00, 2144.6720299665199
2096-Dec-31 02:00:00, 2143.9106539951426
2096-Dec-31 03:00:00, 2143.3013611111946
2096-Dec-31 04:00:00, 2142.7434934595622
2096-Dec-31 05:00:00, 2142.2126154771354
2096-Dec-31 06:00:00, 2141.7032309197898
2096-Dec-31 07:00:00, 2141.2145744420841
2096-Dec-31 08:00:00, 2140.7467180780586
2096-Dec-31 09:00:00, 2140.2995693857501
2096-Dec-31 10:00:00, 2139.8727082108562
2096-Dec-31 11:00:00, 2139.4654455346704
2096-Dec-31 12:00:00, 2139.0769187911933
2096-Dec-31 13:00:00, 2138.7061731611761
2096-Dec-31 14:00:00, 2138.352220158768
2096-Dec-31 15:00:00, 2138.0140764842627
2096-Dec-31 16:00:00, 2137.6907882406481
2096-Dec-31 17:00:00, 2137.3814450175137
2096-Dec-31 18:00:00, 2137.085187226613
2096-Dec-31 19:00:00, 2136.8012090669936
2096-Dec-31 20:00:00, 2136.5287587349299
2096-Dec-31 21:00:00, 2136.2671369555674
2096-Dec-31 22:00:00, 2136.0156945429526
2096-Dec-31 23:00:00, 2135.7738294486658
2097-Jan-01 00:00:00, 2135.5409835925143
2097-Jan-01 01:00:00, 2135.3166396608908
2097-Jan-01 02:00:00, 2135.1003179854138
2097-Jan-01 03:00:00, 2134.8915735678625
2097-Jan-01 04:00:00, 2134.6899932865749
2097-Jan-01 05:00:00, 2134.4951932996437
2097-Jan-01 06:00:00, 2134.3068166482226
2097-Jan-01 07:00:00, 2134.1245310549048
2097-Jan-01 08:00:00, 2133.9480269083665
2097-Jan-01 09:00:00, 2133.7770154224099
2097-Jan-01 10:00:00, 2133.6112269569112
2097-Jan-01 11:00:00, 2133.4504094874101
2097-Jan-01 12:00:00, 2133.2943272111056
2097-Jan-01 13:00:00, 2133.1427592767172
2097-Jan-01 14:00:00, 2132.9954986272082
2097-Jan-01 15:00:00, 2132.8523509448178
2097-Jan-01 16:00:00, 2132.7131336886123
2097-Jan-01 17:00:00, 2132.5776752161369
2097-Jan-01 18:00:00, 2132.4458139807666
2097-Jan-01 19:00:00, 2132.3173977980496
2097-Jan-01 20:00:00, 2132.1922831740703
2097-Jan-01 21:00:00, 2132.0703346902628
2097-Jan-01 22:00:00, 2131.9514244392599
2097-Jan-01 23:00:00, 2131.8354315071556
2097-Jan-02 00:00:00, 2131.7222414976723
2097-Jan-02 01:00:00, 2131.6117460945634
2097-Jan-02 02:00:00, 2131.5038426587821
2097-Jan-02 03:00:00, 2131.3984338571627
2097-Jan-02 04:00:00, 2131.2954273198347
2097-Jan-02 05:00:00, 2131.1947353239743
2097-Jan-02 06:00:00, 2131.0962745013931
2097-Jan-02 07:00:00, 2130.9999655679917
2097-Jan-02 08:00:00, 2130.9057330733049
2097-Jan-02 09:00:00, 2130.8135051681284
2097-Jan-02 10:00:00, 2130.7232133891584
2097-Jan-02 11:00:00, 2130.6347924588108
2097-Jan-02 12:00:00, 2130.5481800991988
2097-Jan-02 13:00:00, 2130.4633168591386
2097-Jan-02 14:00:00, 2130.3801459529714
2097-Jan-02 15:00:00, 2130.298613110414
2097-Jan-02 16:00:00, 2130.218666436569
2097-Jan-02 17:00:00, 2130.1402562811027
2097-Jan-02 18:00:00, 2130.0633351162496
2097-Jan-02 19:00:00, 2129.9878574225486
2097-Jan-02 20:00:00, 2129.9137795821048
2097-Jan-02 21:00:00, 2129.8410597785091
2097-Jan-02 22:00:00, 2129.7696579032768
2097-Jan-02 23:00:00, 2129.6995354677465
2097-Jan-03 00:00:00, 2129.630655520913
2097-Jan-03 01:00:00, 2129.5629825717988
2097-Jan-03 02:00:00, 2129.4964825168518
2097-Jan-03 03:00:00, 2129.4311225714605
2097-Jan-03 04:00:00, 2129.3668712057265
2097-Jan-03 05:00:00, 2129.3036980837724
2097-Jan-03 06:00:00, 2129.2415740067618
2097-Jan-03 07:00:00, 2129.1804708591008
2097-Jan-03 08:00:00, 2129.1203615576742
2097-Jan-03 09:00:00, 2129.0612200040164
2097-Jan-03 10:00:00, 2129.0030210391024
2097-Jan-03 11:00:00, 2128.9457404005962
2097-Jan-03 12:00:00, 2128.8893546825116
2097-Jan-03 13:00:00, 2128.8338412970311
2097-Jan-03 14:00:00, 2128.7791784383307
2097-Jan-03 15:00:00, 2128.7253450483922
2097-Jan-03 16:00:00, 2128.6723207845666
2097-Jan-03 17:00:00, 2128.6200859888831
2097-Jan-03 18:00:00, 2128.5686216588374
2097-Jan-03 19:00:00, 2128.5179094198397
2097-Jan-03 20:00:00, 2128.4679314988939
2097-Jan-03 21:00:00, 2128.4186706997434
2097-Jan-03 22:00:00, 2128.3701103791482
2097-Jan-03 23:00:00, 2128.3222344243909
2097-Jan-04 00:00:00, 2128.2750272318808
2097-Jan-04 01:00:00, 2128.2284736867982
2097-Jan-04 02:00:00, 2128.1825591436827
2097-Jan-04 03:00:00, 2128.137269408036
2097-Jan-04 04:00:00, 2128.0925907186834
2097-Jan-04 05:00:00, 2128.0485097310416
2097-Jan-04 06:00:00, 2128.005013501162
2097-Jan-04 07:00:00, 2127.9620894704776
2097-Jan-04 08:00:00, 2127.9197254512783
2097-Jan-04 09:00:00, 2127.877909612826
2097-Jan-04 10:00:00, 2127.8366304681117
2097-Jan-04 11:00:00, 2127.7958768612261
2097-Jan-04 12:00:00, 2127.7556379551938
2097-Jan-04 13:00:00, 2127.7159032204818
2097-Jan-04 14:00:00, 2127.6766624239649
2097-Jan-04 15:00:00, 2127.637905618255
