Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 3035.0677438456951
2100-Jan-01 01:00:00, 3035.6892440095016
2100-Jan-01 02:00:00, 3037.189590064293
2100-Jan-01 03:00:00, 3039.4174215690045
2100-Jan-01 04:00:00, 3042.2787106204928
2100-Jan-01 05:00:00, 3045.5236518958909
2100-Jan-01 06:00:00, 3049.0249995390927
2100-Jan-01 07:00:00, 3052.1068484965467
2100-Jan-01 08:00:00, 3055.1389204201691
2100-Jan-01 09:00:00, 3057.8522067043946
2100-Jan-01 10:00:00, 3060.0714064044059
2100-Jan-01 11:00:00, 3061.4422402141436
2100-Jan-01 12:00:00, 3062.0601862631643
2100-Jan-01 13:00:00, 3061.6682305572863
2100-Jan-01 14:00:00, 3060.4849099230155
2100-Jan-01 15:00:00, 3058.5200095341434
2100-Jan-01 16:00:00, 3055.9579698965208
2100-Jan-01 17:00:00, 3053.0268287066287
2100-Jan-01 18:00:00, 3049.9800794083908
2100-Jan-01 19:00:00, 3047.0978017251336
2100-Jan-01 20:00:00, 3044.4310991030097
2100-Jan-01 21:00:00, 3042.0349945771277
2100-Jan-01 22:00:00, 3040.2088049422209
2100-Jan-01 23:00:00, 3038.9967614507236
2100-Jan-02 00:00:00, 3038.7268122289361
2100-Jan-02 01:00:00, 3039.2736385030244
2100-Jan-02 02:00:00, 3040.7249107345351
2100-Jan-02 03:00:00, 3042.978145130247
2100-Jan-02 04:00:00, 3045.8502662999304
2100-Jan-02 05:00:00, 3049.1418221368576
2100-Jan-02 06:00:00, 3052.6655628994145
2100-Jan-02 07:00:00, 3055.8683165626335
2100-Jan-02 08:00:00, 3058.8761414482387
2100-Jan-02 09:00:00, 3061.6545583417123
2100-Jan-02 10:00:00, 3063.8863634250915
2100-Jan-02 11:00:00, 3065.4047131257894
2100-Jan-02 12:00:00, 3066.0152939128193
2100-Jan-02 13:00:00, 3065.8081537976955
2100-Jan-02 14:00:00, 3064.6255252925394
2100-Jan-02 15:00:00, 3062.699673833587
2100-Jan-02 16:00:00, 3060.1251148760184
2100-Jan-02 17:00:00, 3057.2031606591363
2100-Jan-02 18:00:00, 3054.0344117632349
2100-Jan-02 19:00:00, 3051.2397313400334
2100-Jan-02 20:00:00, 3048.5942078007984
2100-Jan-02 21:00:00, 3046.136085668114
2100-Jan-02 22:00:00, 3044.238758001758
2100-Jan-02 23:00:00, 3043.1077197356672
2100-Jan-03 00:00:00, 3042.8226508595303
2100-Jan-03 01:00:00, 3043.4827863270939
2100-Jan-03 02:00:00, 3045.0290713558597
2100-Jan-03 03:00:00, 3047.302321121289
2100-Jan-03 04:00:00, 3050.1712927112017
2100-Jan-03 05:00:00, 3053.4058931330405
2100-Jan-03 06:00:00, 3056.8197184428291
2100-Jan-03 07:00:00, 3059.997783479243
2100-Jan-03 08:00:00, 3062.9425424215797
2100-Jan-03 09:00:00, 3065.6497810740552
2100-Jan-03 10:00:00, 3067.83123241253
2100-Jan-03 11:00:00, 3069.3371740274788
2100-Jan-03 12:00:00, 3069.9207994064691
2100-Jan-03 13:00:00, 3069.6398679113636
2100-Jan-03 14:00:00, 3068.4912795176519
2100-Jan-03 15:00:00, 3066.5895996870222
2100-Jan-03 16:00:00, 3064.0538437757327
2100-Jan-03 17:00:00, 3061.1175694622366
2100-Jan-03 18:00:00, 3057.9958406307933
2100-Jan-03 19:00:00, 3055.2309229993293
2100-Jan-03 20:00:00, 3052.4848172748711
2100-Jan-03 21:00:00, 3050.0335477005169
2100-Jan-03 22:00:00, 3048.1263551264788
2100-Jan-03 23:00:00, 3047.03299319388
2100-Jan-04 00:00:00, 3046.7534127774293
2100-Jan-04 01:00:00, 3047.4256916463928
2100-Jan-04 02:00:00, 3048.8977612132398
2100-Jan-04 03:00:00, 3051.1768387970651
2100-Jan-04 04:00:00, 3053.9721096603089
2100-Jan-04 05:00:00, 3057.1646370879139
2100-Jan-04 06:00:00, 3060.4894348270445
2100-Jan-04 07:00:00, 3063.5881804173687
2100-Jan-04 08:00:00, 3066.5516209538032
2100-Jan-04 09:00:00, 3069.2800850262893
2100-Jan-04 10:00:00, 3071.3977145101621
2100-Jan-04 11:00:00, 3072.8598659118925
2100-Jan-04 12:00:00, 3073.4324992028951
2100-Jan-04 13:00:00, 3073.1485075409041
2100-Jan-04 14:00:00, 3071.9879685418878
2100-Jan-04 15:00:00, 3070.0636132718446
2100-Jan-04 16:00:00, 3067.5655762201236
2100-Jan-04 17:00:00, 3064.6899743511826
2100-Jan-04 18:00:00, 3061.6606227306684
2100-Jan-04 19:00:00, 3058.8581841027813
2100-Jan-04 20:00:00, 3056.1958616897568
2100-Jan-04 21:00:00, 3053.8325259671142
2100-Jan-04 22:00:00, 3051.955924996254
2100-Jan-04 23:00:00, 3050.817558584843
2100-Jan-05 00:00:00, 3050.5096853126265
2100-Jan-05 01:00:00, 3051.1305045996646
2100-Jan-05 02:00:00, 3052.5835924089483
2100-Jan-05 03:00:00, 3054.791903424979
2100-Jan-05 04:00:00, 3057.5586137603614
2100-Jan-05 05:00:00, 3060.7410168945539
2100-Jan-05 06:00:00, 3064.1975593541069
2100-Jan-05 07:00:00, 3067.2310514840542
2100-Jan-05 08:00:00, 3070.10550327793
2100-Jan-05 09:00:00, 3072.7132064347229
2100-Jan-05 10:00:00, 3074.8676218695937
2100-Jan-05 11:00:00, 3076.2587623841096
2100-Jan-05 12:00:00, 3076.8256281535746
2100-Jan-05 13:00:00, 3076.4698519459762
2100-Jan-05 14:00:00, 3075.3097376317023
2100-Jan-05 15:00:00, 3073.3353738244796
2100-Jan-05 16:00:00, 3070.8330855348904
2100-Jan-05 17:00:00, 3067.8929675991494
2100-Jan-05 18:00:00, 3064.7872641041745
2100-Jan-05 19:00:00, 3061.9709353915955
2100-Jan-05 20:00:00, 3059.3320922907787
2100-Jan-05 21:00:00, 3056.9323157125955
2100-Jan-05 22:00:00, 3055.0653904108822
2100-Jan-05 23:00:00, 3053.9067352412317
2100-Jan-06 00:00:00, 3053.6143542024342
2100-Jan-06 01:00:00, 3054.2014016495573
2100-Jan-06 02:00:00, 3055.6189507646341
2100-Jan-06 03:00:00, 3057.8072055815114
2100-Jan-06 04:00:00, 3060.6488351149051
2100-Jan-06 05:00:00, 3063.8839028058069
2100-Jan-06 06:00:00, 3067.404390857349
2100-Jan-06 07:00:00, 3070.4110196120459
2100-Jan-06 08:00:00, 3073.4326462654435
2100-Jan-06 09:00:00, 3076.1468519659966
2100-Jan-06 10:00:00, 3078.3447023449594
2100-Jan-06 11:00:00, 3079.7192672821998
2100-Jan-06 12:00:00, 3080.2716700942128
2100-Jan-06 13:00:00, 3079.8999824844859
2100-Jan-06 14:00:00, 3078.6869892483974
2100-Jan-06 15:00:00, 3076.6940885080853
2100-Jan-06 16:00:00, 3074.156934193411
2100-Jan-06 17:00:00, 3071.2034034842277
2100-Jan-06 18:00:00, 3068.0629074779949
2100-Jan-06 19:00:00, 3065.2331106959018
2100-Jan-06 20:00:00, 3062.5096404879387
2100-Jan-06 21:00:00, 3060.1060359693224
2100-Jan-06 22:00:00, 3058.225215701606
2100-Jan-06 23:00:00, 3057.0697968565642
2100-Jan-07 00:00:00, 3056.7604893537768
2100-Jan-07 01:00:00, 3057.2994548429278
2100-Jan-07 02:00:00, 3058.7361762394339
2100-Jan-07 03:00:00, 3060.9386055552436
2100-Jan-07 04:00:00, 3063.8008415962231
2100-Jan-07 05:00:00, 3067.0505128673358
2100-Jan-07 06:00:00, 3070.5466297160697
2100-Jan-07 07:00:00, 3073.6471429448684
2100-Jan-07 08:00:00, 3076.5786493128671
2100-Jan-07 09:00:00, 3079.3606152704842
2100-Jan-07 10:00:00, 3081.5231336843713
2100-Jan-07 11:00:00, 3082.9605735998261
2100-Jan-07 12:00:00, 3083.5490196124229
2100-Jan-07 13:00:00, 3083.184948596394
2100-Jan-07 14:00:00, 3081.9316389402588
2100-Jan-07 15:00:00, 3079.9026993730422
2100-Jan-07 16:00:00, 3077.3118814592935
2100-Jan-07 17:00:00, 3074.350862853632
2100-Jan-07 18:00:00, 3071.2544178094431
2100-Jan-07 19:00:00, 3068.3732952066657
2100-Jan-07 20:00:00, 3065.7039536212947
2100-Jan-07 21:00:00, 3063.2675672804289
2100-Jan-07 22:00:00, 3061.3457471610973
2100-Jan-07 23:00:00, 3060.0718167901427
