Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2999.4691497005383
2100-Jan-01 01:00:00, 2999.7250773918358
2100-Jan-01 02:00:00, 3000.6909110079346
2100-Jan-01 03:00:00, 3002.3175450437652
2100-Jan-01 04:00:00, 3004.5259962126261
2100-Jan-01 05:00:00, 3007.1816746429604
2100-Jan-01 06:00:00, 3010.0910947146945
2100-Jan-01 07:00:00, 3013.0712042958007
2100-Jan-01 08:00:00, 3015.9367029796531
2100-Jan-01 09:00:00, 3018.4800103995572
2100-Jan-01 10:00:00, 3020.5306363000113
2100-Jan-01 11:00:00, 3021.9657519626139
2100-Jan-01 12:00:00, 3022.7085648108091
2100-Jan-01 13:00:00, 3022.7290531561262
2100-Jan-01 14:00:00, 3022.034135096409
2100-Jan-01 15:00:00, 3020.6811456546634
2100-Jan-01 16:00:00, 3018.7776890698919
2100-Jan-01 17:00:00, 3016.4616723183312
2100-Jan-01 18:00:00, 3013.890399999756
2100-Jan-01 19:00:00, 3011.25197421132
2100-Jan-01 20:00:00, 3008.7408763948065
2100-Jan-01 21:00:00, 3006.5315720336839
2100-Jan-01 22:00:00, 3004.7781995813561
2100-Jan-01 23:00:00, 3003.6136195492995
2100-Jan-02 00:00:00, 3003.1258679764442
2100-Jan-02 01:00:00, 3003.3521697169408
2100-Jan-02 02:00:00, 3004.2955692365458
2100-Jan-02 03:00:00, 3005.9283291755846
2100-Jan-02 04:00:00, 3008.1525016543051
2100-Jan-02 05:00:00, 3010.8157133452996
2100-Jan-02 06:00:00, 3013.7469494154916
2100-Jan-02 07:00:00, 3016.7496611123411
2100-Jan-02 08:00:00, 3019.6246702305389
2100-Jan-02 09:00:00, 3022.1950123618049
2100-Jan-02 10:00:00, 3024.3052845380907
2100-Jan-02 11:00:00, 3025.8220181652287
2100-Jan-02 12:00:00, 3026.6511462856902
2100-Jan-02 13:00:00, 3026.7340034158819
2100-Jan-02 14:00:00, 3026.0865914636388
2100-Jan-02 15:00:00, 3024.7603854362133
2100-Jan-02 16:00:00, 3022.8525048320025
2100-Jan-02 17:00:00, 3020.515942099622
2100-Jan-02 18:00:00, 3017.9395451171508
2100-Jan-02 19:00:00, 3015.2989128857812
2100-Jan-02 20:00:00, 3012.7686519026024
2100-Jan-02 21:00:00, 3010.5321352458986
2100-Jan-02 22:00:00, 3008.7714967733864
2100-Jan-02 23:00:00, 3007.6109402886304
2100-Jan-03 00:00:00, 3007.1447787968164
2100-Jan-03 01:00:00, 3007.4210407301471
2100-Jan-03 02:00:00, 3008.4279038019777
2100-Jan-03 03:00:00, 3010.1004254805998
2100-Jan-03 04:00:00, 3012.3260105576114
2100-Jan-03 05:00:00, 3014.9639352735671
2100-Jan-03 06:00:00, 3017.8553858494292
2100-Jan-03 07:00:00, 3020.8114867641939
2100-Jan-03 08:00:00, 3023.6373924231684
2100-Jan-03 09:00:00, 3026.1585010285089
2100-Jan-03 10:00:00, 3028.2206638958178
2100-Jan-03 11:00:00, 3029.6910789164822
2100-Jan-03 12:00:00, 3030.4818046498631
2100-Jan-03 13:00:00, 3030.5557605216704
2100-Jan-03 14:00:00, 3029.9158599023926
2100-Jan-03 15:00:00, 3028.611419919424
