Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2826.1254298844501
2100-Jan-01 01:00:00, 2825.9566650139959
2100-Jan-01 02:00:00, 2826.1492919711568
2100-Jan-01 03:00:00, 2826.7089175201231
2100-Jan-01 04:00:00, 2827.6113804983247
2100-Jan-01 05:00:00, 2828.8005125461864
2100-Jan-01 06:00:00, 2830.2095836043882
2100-Jan-01 07:00:00, 2831.7541285407665
2100-Jan-01 08:00:00, 2833.3323300884031
2100-Jan-01 09:00:00, 2834.8455700418317
2100-Jan-01 10:00:00, 2836.1988047330979
2100-Jan-01 11:00:00, 2837.3119458064571
2100-Jan-01 12:00:00, 2838.1225898484695
2100-Jan-01 13:00:00, 2838.5858324522646
2100-Jan-01 14:00:00, 2838.6817555796151
2100-Jan-01 15:00:00, 2838.4159647479278
2100-Jan-01 16:00:00, 2837.8172855224802
2100-Jan-01 17:00:00, 2836.9333501546171
2100-Jan-01 18:00:00, 2835.8357233577449
2100-Jan-01 19:00:00, 2834.6093855382837
2100-Jan-01 20:00:00, 2833.3462930133842
2100-Jan-01 21:00:00, 2832.1401681523657
2100-Jan-01 22:00:00, 2831.0836600656744
2100-Jan-01 23:00:00, 2830.2571198867004
2100-Jan-02 00:00:00, 2829.724437279719
2100-Jan-02 01:00:00, 2829.5322705054673
2100-Jan-02 02:00:00, 2829.712051824089
2100-Jan-02 03:00:00, 2830.2631323893165
2100-Jan-02 04:00:00, 2831.1583196969509
2100-Jan-02 05:00:00, 2832.3487416086136
2100-Jan-02 06:00:00, 2833.7604540689053
2100-Jan-02 07:00:00, 2835.30601341587
2100-Jan-02 08:00:00, 2836.8913593268862
2100-Jan-02 09:00:00, 2838.4211292828345
2100-Jan-02 10:00:00, 2839.8014594088731
2100-Jan-02 11:00:00, 2840.9511278933887
2100-Jan-02 12:00:00, 2841.7957057958838
2100-Jan-02 13:00:00, 2842.2943736322327
2100-Jan-02 14:00:00, 2842.4184476306486
2100-Jan-02 15:00:00, 2842.1710250816163
2100-Jan-02 16:00:00, 2841.5801422806371
2100-Jan-02 17:00:00, 2840.7044912774836
2100-Jan-02 18:00:00, 2839.6112838781842
2100-Jan-02 19:00:00, 2838.3844126382069
2100-Jan-02 20:00:00, 2837.1148656576161
2100-Jan-02 21:00:00, 2835.9066499390124
2100-Jan-02 22:00:00, 2834.8471968155259
2100-Jan-02 23:00:00, 2834.02494330017
2100-Jan-03 00:00:00, 2833.5058876502121
2100-Jan-03 01:00:00, 2833.3372427516942
2100-Jan-03 02:00:00, 2833.5392443184387
2100-Jan-03 03:00:00, 2834.1055887298194
2100-Jan-03 04:00:00, 2835.0064550461166
2100-Jan-03 05:00:00, 2836.1932702767745
2100-Jan-03 06:00:00, 2837.5937051316187
2100-Jan-03 07:00:00, 2839.1222039575691
2100-Jan-03 08:00:00, 2840.6863979045779
2100-Jan-03 09:00:00, 2842.1922795213668
2100-Jan-03 10:00:00, 2843.5470099181771
2100-Jan-03 11:00:00, 2844.670117658467
