Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2870.776516092893
2100-Jan-01 01:00:00, 2870.5161631295659
2100-Jan-01 02:00:00, 2870.7183097483435
2100-Jan-01 03:00:00, 2871.3823631776818
2100-Jan-01 04:00:00, 2872.4829299760586
2100-Jan-01 05:00:00, 2873.9628274448032
2100-Jan-01 06:00:00, 2875.7238738943802
2100-Jan-01 07:00:00, 2877.6545727080629
2100-Jan-01 08:00:00, 2879.6383365641091
2100-Jan-01 09:00:00, 2881.5420842343565
2100-Jan-01 10:00:00, 2883.238845219832
2100-Jan-01 11:00:00, 2884.6239225219733
2100-Jan-01 12:00:00, 2885.6172769133095
2100-Jan-01 13:00:00, 2886.1673738612253
2100-Jan-01 14:00:00, 2886.2482207981093
2100-Jan-01 15:00:00, 2885.8642791307589
2100-Jan-01 16:00:00, 2885.0543326322108
2100-Jan-01 17:00:00, 2883.884212203669
2100-Jan-01 18:00:00, 2882.4391643714457
2100-Jan-01 19:00:00, 2880.82667943142
2100-Jan-01 20:00:00, 2879.1690057717219
2100-Jan-01 21:00:00, 2877.5869593673024
2100-Jan-01 22:00:00, 2876.194294735395
2100-Jan-01 23:00:00, 2875.0957254641266
2100-Jan-02 00:00:00, 2874.3758163233779
2100-Jan-02 01:00:00, 2874.0902736628109
2100-Jan-02 02:00:00, 2874.2699206920524
2100-Jan-02 03:00:00, 2874.9243497317839
2100-Jan-02 04:00:00, 2876.0256896331166
2100-Jan-02 05:00:00, 2877.5056513954778
2100-Jan-02 06:00:00, 2879.2726964857661
2100-Jan-02 07:00:00, 2881.2140239584933
2100-Jan-02 08:00:00, 2883.203700501766
2100-Jan-02 09:00:00, 2885.1185089173396
2100-Jan-02 10:00:00, 2886.8431713540094
2100-Jan-02 11:00:00, 2888.2720193466203
2100-Jan-02 12:00:00, 2889.3180688083175
2100-Jan-02 13:00:00, 2889.9150636272211
2100-Jan-02 14:00:00, 2890.0344542316438
2100-Jan-02 15:00:00, 2889.6794881687106
2100-Jan-02 16:00:00, 2888.8815713348145
2100-Jan-02 17:00:00, 2887.7096950118912
2100-Jan-02 18:00:00, 2886.263920565701
2100-Jan-02 19:00:00, 2884.6533060420029
2100-Jan-02 20:00:00, 2882.9900270789931
2100-Jan-02 21:00:00, 2881.3950835806477
2100-Jan-02 22:00:00, 2879.9948428141074
2100-Jan-02 23:00:00, 2878.8959497119663
2100-Jan-03 00:00:00, 2878.1839821095441
2100-Jan-03 01:00:00, 2877.92195995053
2100-Jan-03 02:00:00, 2878.1375297049035
2100-Jan-03 03:00:00, 2878.8236361801187
2100-Jan-03 04:00:00, 2879.9388081988391
2100-Jan-03 05:00:00, 2881.415265118078
2100-Jan-03 06:00:00, 2883.1664788738512
2100-Jan-03 07:00:00, 2885.0841498459304
2100-Jan-03 08:00:00, 2887.045531898777
2100-Jan-03 09:00:00, 2888.9295126788766
2100-Jan-03 10:00:00, 2890.6221708299713
2100-Jan-03 11:00:00, 2892.0187092681945
2100-Jan-03 12:00:00, 2893.0345333311307
2100-Jan-03 13:00:00, 2893.6139480674397
2100-Jan-03 14:00:00, 2893.7280007262657
2100-Jan-03 15:00:00, 2893.3773547746614
2100-Jan-03 16:00:00, 2892.5874852627921
2100-Jan-03 17:00:00, 2891.4156621205548
2100-Jan-03 18:00:00, 2889.9601563797196
2100-Jan-03 19:00:00, 2888.3325537970036
2100-Jan-03 20:00:00, 2886.6495291315509
2100-Jan-03 21:00:00, 2885.0442484009404
2100-Jan-03 22:00:00, 2883.6437636782589
2100-Jan-03 23:00:00, 2882.5528500124124
2100-Jan-04 00:00:00, 2881.8516210229245
2100-Jan-04 01:00:00, 2881.5916819592708
2100-Jan-04 02:00:00, 2881.7990924926303
2100-Jan-04 03:00:00, 2882.4694548191674
2100-Jan-04 04:00:00, 2883.5640454070785
2100-Jan-04 05:00:00, 2885.0170903997764
2100-Jan-04 06:00:00, 2886.7433972822728
2100-Jan-04 07:00:00, 2888.6355269113651
2100-Jan-04 08:00:00, 2890.5712793577854
2100-Jan-04 09:00:00, 2892.4298845766457
2100-Jan-04 10:00:00, 2894.097631607186
2100-Jan-04 11:00:00, 2895.4698481948208
2100-Jan-04 12:00:00, 2896.4620088172314
2100-Jan-04 13:00:00, 2897.0184513699505
2100-Jan-04 14:00:00, 2897.1102393019269
2100-Jan-04 15:00:00, 2896.7398813105738
2100-Jan-04 16:00:00, 2895.9448971661664
2100-Jan-04 17:00:00, 2894.7903075255676
2100-Jan-04 18:00:00, 2893.3608434474768
2100-Jan-04 19:00:00, 2891.7636711806181
2100-Jan-04 20:00:00, 2890.1208398896042
2100-Jan-04 21:00:00, 2888.5530480981147
2100-Jan-04 22:00:00, 2887.1739866026296
2100-Jan-04 23:00:00, 2886.0883405676122
2100-Jan-05 00:00:00, 2885.3806694129926
2100-Jan-05 01:00:00, 2885.1066820965239
2100-Jan-05 02:00:00, 2885.295369610566
2100-Jan-05 03:00:00, 2885.9442816992332
2100-Jan-05 04:00:00, 2887.0159586422828
2100-Jan-05 05:00:00, 2888.4454398571843
2100-Jan-05 06:00:00, 2890.1480533499662
2100-Jan-05 07:00:00, 2892.016690270561
2100-Jan-05 08:00:00, 2893.9293567888453
2100-Jan-05 09:00:00, 2895.7654074259581
2100-Jan-05 10:00:00, 2897.4112020411876
2100-Jan-05 11:00:00, 2898.762103712651
2100-Jan-05 12:00:00, 2899.7335988824807
2100-Jan-05 13:00:00, 2900.2700221436226
2100-Jan-05 14:00:00, 2900.3424238304224
2100-Jan-05 15:00:00, 2899.9532934046538
2100-Jan-05 16:00:00, 2899.1401277792211
2100-Jan-05 17:00:00, 2897.9679228276532
2100-Jan-05 18:00:00, 2896.5213840415458
2100-Jan-05 19:00:00, 2894.9076520817257
2100-Jan-05 20:00:00, 2893.2487510056303
2100-Jan-05 21:00:00, 2891.665355032108
2100-Jan-05 22:00:00, 2890.2711316480113
2100-Jan-05 23:00:00, 2889.1707438138906
2100-Jan-06 00:00:00, 2888.4487298994204
2100-Jan-06 01:00:00, 2888.1607789744749
2100-Jan-06 02:00:00, 2888.3358702351125
2100-Jan-06 03:00:00, 2888.9733869804595
2100-Jan-06 04:00:00, 2890.047913231977
