Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2416.1031855534575
2100-Jan-01 01:00:00, 2416.2824256014637
2100-Jan-01 02:00:00, 2416.518572575636
2100-Jan-01 03:00:00, 2416.8113766513393
2100-Jan-01 04:00:00, 2417.141879333929
2100-Jan-01 05:00:00, 2417.4946597397543
2100-Jan-01 06:00:00, 2417.8658102172685
2100-Jan-01 07:00:00, 2418.2320408114269
2100-Jan-01 08:00:00, 2418.5728059544022
2100-Jan-01 09:00:00, 2418.8818278849685
2100-Jan-01 10:00:00, 2419.1458866609678
2100-Jan-01 11:00:00, 2419.3589736437962
2100-Jan-01 12:00:00, 2419.5149843873251
2100-Jan-01 13:00:00, 2419.6102515463208
2100-Jan-01 14:00:00, 2419.6504791755638
2100-Jan-01 15:00:00, 2419.6423442740925
2100-Jan-01 16:00:00, 2419.5932359257163
2100-Jan-01 17:00:00, 2419.5147192175314
2100-Jan-01 18:00:00, 2419.4262015506388
2100-Jan-01 19:00:00, 2419.3399389200208
2100-Jan-01 20:00:00, 2419.2692431752926
2100-Jan-01 21:00:00, 2419.2292723956698
2100-Jan-01 22:00:00, 2419.2337008843474
2100-Jan-01 23:00:00, 2419.2880964081914
2100-Jan-02 00:00:00, 2419.3983806033302
2100-Jan-02 01:00:00, 2419.5711179214368
2100-Jan-02 02:00:00, 2419.8070307451935
2100-Jan-02 03:00:00, 2420.0908473618852
2100-Jan-02 04:00:00, 2420.4148161185071
2100-Jan-02 05:00:00, 2420.7678434273171
2100-Jan-02 06:00:00, 2421.1306913854401
2100-Jan-02 07:00:00, 2421.49116208341
2100-Jan-02 08:00:00, 2421.8359402151414
2100-Jan-02 09:00:00, 2422.1498510077936
2100-Jan-02 10:00:00, 2422.4191871994585
2100-Jan-02 11:00:00, 2422.6353796009366
2100-Jan-02 12:00:00, 2422.7889880112107
2100-Jan-02 13:00:00, 2422.888451716592
2100-Jan-02 14:00:00, 2422.9247900635069
2100-Jan-02 15:00:00, 2422.9124085281619
2100-Jan-02 16:00:00, 2422.8622980370728
2100-Jan-02 17:00:00, 2422.7891105635044
2100-Jan-02 18:00:00, 2422.6970741479727
2100-Jan-02 19:00:00, 2422.6065884693867
2100-Jan-02 20:00:00, 2422.5347543389489
2100-Jan-02 21:00:00, 2422.499890816101
2100-Jan-02 22:00:00, 2422.503499808136
2100-Jan-02 23:00:00, 2422.5657593527462
2100-Jan-03 00:00:00, 2422.6848319874466
2100-Jan-03 01:00:00, 2422.8636303501366
2100-Jan-03 02:00:00, 2423.0967908628272
2100-Jan-03 03:00:00, 2423.3777303863344
2100-Jan-03 04:00:00, 2423.6991125304498
2100-Jan-03 05:00:00, 2424.0493578022888
2100-Jan-03 06:00:00, 2424.4090564528051
2100-Jan-03 07:00:00, 2424.7659266488554
2100-Jan-03 08:00:00, 2425.1066417303541
2100-Jan-03 09:00:00, 2425.4160199427697
2100-Jan-03 10:00:00, 2425.6803690602583
2100-Jan-03 11:00:00, 2425.894101211873
2100-Jan-03 12:00:00, 2426.0512768908065
2100-Jan-03 13:00:00, 2426.1482836304504
2100-Jan-03 14:00:00, 2426.187863010412
2100-Jan-03 15:00:00, 2426.1702325721394
2100-Jan-03 16:00:00, 2426.1143187078424
2100-Jan-03 17:00:00, 2426.0355136022326
2100-Jan-03 18:00:00, 2425.9376963945242
2100-Jan-03 19:00:00, 2425.8441318730574
2100-Jan-03 20:00:00, 2425.7753408478357
2100-Jan-03 21:00:00, 2425.7375793758802
2100-Jan-03 22:00:00, 2425.7440463787234
2100-Jan-03 23:00:00, 2425.8007321493892
2100-Jan-04 00:00:00, 2425.9137237164018
2100-Jan-04 01:00:00, 2426.086673294933
2100-Jan-04 02:00:00, 2426.3138628066413
2100-Jan-04 03:00:00, 2426.588603157506
2100-Jan-04 04:00:00, 2426.9034943797828
2100-Jan-04 05:00:00, 2427.2469621153373
2100-Jan-04 06:00:00, 2427.599590939627
2100-Jan-04 07:00:00, 2427.9491181774742
2100-Jan-04 08:00:00, 2428.2822265269892
2100-Jan-04 09:00:00, 2428.5837535730529
2100-Jan-04 10:00:00, 2428.8400218427728
2100-Jan-04 11:00:00, 2429.0454613262191
2100-Jan-04 12:00:00, 2429.1941492195961
2100-Jan-04 13:00:00, 2429.2824895318604
2100-Jan-04 14:00:00, 2429.3162097111554
2100-Jan-04 15:00:00, 2429.3019918596483
2100-Jan-04 16:00:00, 2429.2472191268303
2100-Jan-04 17:00:00, 2429.1634469600695
2100-Jan-04 18:00:00, 2429.0700692286632
2100-Jan-04 19:00:00, 2428.9793274285316
2100-Jan-04 20:00:00, 2428.9045171762082
2100-Jan-04 21:00:00, 2428.8607800132627
2100-Jan-04 22:00:00, 2428.8617729358502
2100-Jan-04 23:00:00, 2428.913046354894
2100-Jan-05 00:00:00, 2429.0205043282667
2100-Jan-05 01:00:00, 2429.1877249888607
2100-Jan-05 02:00:00, 2429.4089641214359
2100-Jan-05 03:00:00, 2429.6775237515817
2100-Jan-05 04:00:00, 2429.9860060597252
2100-Jan-05 05:00:00, 2430.3228418289118
2100-Jan-05 06:00:00, 2430.6686246530157
2100-Jan-05 07:00:00, 2431.0111013981518
2100-Jan-05 08:00:00, 2431.3369660209787
2100-Jan-05 09:00:00, 2431.6310674383685
2100-Jan-05 10:00:00, 2431.8797402680812
2100-Jan-05 11:00:00, 2432.077426571564
2100-Jan-05 12:00:00, 2432.2182158413048
2100-Jan-05 13:00:00, 2432.298524313805
2100-Jan-05 14:00:00, 2432.3240915616584
2100-Jan-05 15:00:00, 2432.3016116852509
2100-Jan-05 16:00:00, 2432.2384795218068
2100-Jan-05 17:00:00, 2432.1462620157236
2100-Jan-05 18:00:00, 2432.0443640941912
2100-Jan-05 19:00:00, 2431.945038057544
2100-Jan-05 20:00:00, 2431.8615898129269
2100-Jan-05 21:00:00, 2431.8091708848096
2100-Jan-05 22:00:00, 2431.8014477018537
2100-Jan-05 23:00:00, 2431.8439797581023
2100-Jan-06 00:00:00, 2431.9426796345456
2100-Jan-06 01:00:00, 2432.10113360989
2100-Jan-06 02:00:00, 2432.3165739242891
2100-Jan-06 03:00:00, 2432.5887590701914
2100-Jan-06 04:00:00, 2432.8987382304199
2100-Jan-06 05:00:00, 2433.2310975102014
2100-Jan-06 06:00:00, 2433.5819356494676
