Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2658.7995893879065
2100-Jan-01 01:00:00, 2660.3848646766382
2100-Jan-01 02:00:00, 2659.2743920820872
2100-Jan-01 03:00:00, 2660.3457748374472
2100-Jan-01 04:00:00, 2660.0767702644539
2100-Jan-01 05:00:00, 2661.6261951357078
2100-Jan-01 06:00:00, 2661.4754331544318
2100-Jan-01 07:00:00, 2663.0551015600977
2100-Jan-01 08:00:00, 2662.4004118344392
2100-Jan-01 09:00:00, 2665.2775129464671
2100-Jan-01 10:00:00, 2665.0596538410941
2100-Jan-01 11:00:00, 2666.2903876149389
2100-Jan-01 12:00:00, 2666.041428683196
2100-Jan-01 13:00:00, 2667.9589622111698
2100-Jan-01 14:00:00, 2667.1971451833642
2100-Jan-01 15:00:00, 2668.173287268663
2100-Jan-01 16:00:00, 2666.3206956053059
2100-Jan-01 17:00:00, 2667.2531593820599
2100-Jan-01 18:00:00, 2665.9526458778687
2100-Jan-01 19:00:00, 2666.185788027537
2100-Jan-01 20:00:00, 2664.9234772210493
2100-Jan-01 21:00:00, 2665.6281591902548
2100-Jan-01 22:00:00, 2663.2957623008647
2100-Jan-01 23:00:00, 2665.071272578225
2100-Jan-02 00:00:00, 2662.3513573949122
2100-Jan-02 01:00:00, 2664.4507849803795
2100-Jan-02 02:00:00, 2661.5353293182616
2100-Jan-02 03:00:00, 2663.6647130092188
2100-Jan-02 04:00:00, 2663.0249580951709
2100-Jan-02 05:00:00, 2665.4737044262047
2100-Jan-02 06:00:00, 2664.3341755045512
2100-Jan-02 07:00:00, 2666.865499821326
2100-Jan-02 08:00:00, 2665.9060331892188
2100-Jan-02 09:00:00, 2668.7585585060783
2100-Jan-02 10:00:00, 2667.2175907526776
2100-Jan-02 11:00:00, 2671.4062862985788
2100-Jan-02 12:00:00, 2669.2879712497493
2100-Jan-02 13:00:00, 2672.399169315765
2100-Jan-02 14:00:00, 2669.2451010397263
2100-Jan-02 15:00:00, 2672.4092530450616
2100-Jan-02 16:00:00, 2668.6017498435103
2100-Jan-02 17:00:00, 2671.7634384853081
2100-Jan-02 18:00:00, 2668.3336439809909
2100-Jan-02 19:00:00, 2670.3119295307151
2100-Jan-02 20:00:00, 2667.6755845941116
2100-Jan-02 21:00:00, 2668.6763870218169
2100-Jan-02 22:00:00, 2665.8133121846372
2100-Jan-02 23:00:00, 2669.2591877616983
2100-Jan-03 00:00:00, 2665.0104680789768
2100-Jan-03 01:00:00, 2667.2057672641859
2100-Jan-03 02:00:00, 2665.5765477209875
2100-Jan-03 03:00:00, 2666.9591486080399
2100-Jan-03 04:00:00, 2666.3852796564693
2100-Jan-03 05:00:00, 2668.4722748572322
2100-Jan-03 06:00:00, 2667.8385860947574
2100-Jan-03 07:00:00, 2670.3704805484363
2100-Jan-03 08:00:00, 2669.100392446484
2100-Jan-03 09:00:00, 2671.2726978138176
2100-Jan-03 10:00:00, 2670.5854259775688
2100-Jan-03 11:00:00, 2674.4500018087897
2100-Jan-03 12:00:00, 2671.8964262722147
2100-Jan-03 13:00:00, 2674.5367241429376
2100-Jan-03 14:00:00, 2673.3489169838476
2100-Jan-03 15:00:00, 2674.7456764792787
2100-Jan-03 16:00:00, 2674.3530641568768
2100-Jan-03 17:00:00, 2674.1887900351612
2100-Jan-03 18:00:00, 2672.9379475472888
2100-Jan-03 19:00:00, 2673.2613118365066
2100-Jan-03 20:00:00, 2672.3055476446439
2100-Jan-03 21:00:00, 2671.5976530611974
2100-Jan-03 22:00:00, 2671.5701989834597
2100-Jan-03 23:00:00, 2671.7555282341586
2100-Jan-04 00:00:00, 2669.1816740793752
2100-Jan-04 01:00:00, 2669.9720809523374
2100-Jan-04 02:00:00, 2669.7753999101988
2100-Jan-04 03:00:00, 2670.5586201005581
2100-Jan-04 04:00:00, 2669.9459716573356
2100-Jan-04 05:00:00, 2671.3673415880762
2100-Jan-04 06:00:00, 2671.8653183076963
2100-Jan-04 07:00:00, 2672.3635075642924
2100-Jan-04 08:00:00, 2673.751106302323
2100-Jan-04 09:00:00, 2674.7563797843245
2100-Jan-04 10:00:00, 2674.549572031955
2100-Jan-04 11:00:00, 2677.4054831415156
2100-Jan-04 12:00:00, 2675.7666600194452
2100-Jan-04 13:00:00, 2678.326448125556
2100-Jan-04 14:00:00, 2676.9813611051341
2100-Jan-04 15:00:00, 2678.3531165026097
2100-Jan-04 16:00:00, 2676.4063947615518
2100-Jan-04 17:00:00, 2677.732199869446
2100-Jan-04 18:00:00, 2675.4642959270009
2100-Jan-04 19:00:00, 2676.4876700745144
2100-Jan-04 20:00:00, 2675.030449453554
2100-Jan-04 21:00:00, 2675.6650793031558
2100-Jan-04 22:00:00, 2673.2370598108023
2100-Jan-04 23:00:00, 2675.6187800383295
2100-Jan-05 00:00:00, 2671.5398520583608
2100-Jan-05 01:00:00, 2673.6284607245975
2100-Jan-05 02:00:00, 2672.4086411587455
2100-Jan-05 03:00:00, 2674.1399416176528
2100-Jan-05 04:00:00, 2672.873673674093
2100-Jan-05 05:00:00, 2675.0566731991617
2100-Jan-05 06:00:00, 2674.4441569196993
2100-Jan-05 07:00:00, 2676.1043662721613
2100-Jan-05 08:00:00, 2676.5287782364667
2100-Jan-05 09:00:00, 2678.1990079602542
2100-Jan-05 10:00:00, 2677.4796636289034
2100-Jan-05 11:00:00, 2680.8372690676015
2100-Jan-05 12:00:00, 2678.6258765507901
2100-Jan-05 13:00:00, 2681.6617911577218
2100-Jan-05 14:00:00, 2679.8039410862748
2100-Jan-05 15:00:00, 2681.6415058052926
2100-Jan-05 16:00:00, 2679.2271340910261
2100-Jan-05 17:00:00, 2680.9920809185414
2100-Jan-05 18:00:00, 2678.533316776151
2100-Jan-05 19:00:00, 2679.5411856613528
2100-Jan-05 20:00:00, 2677.5997010852343
2100-Jan-05 21:00:00, 2678.8461353922653
2100-Jan-05 22:00:00, 2675.9986324317492
2100-Jan-05 23:00:00, 2678.8328204835502
2100-Jan-06 00:00:00, 2675.4445786031774
2100-Jan-06 01:00:00, 2677.7833924474271
2100-Jan-06 02:00:00, 2675.5573453793691
2100-Jan-06 03:00:00, 2678.3467757951621
2100-Jan-06 04:00:00, 2677.005685651367
2100-Jan-06 05:00:00, 2678.5666233016891
2100-Jan-06 06:00:00, 2677.7731755634977
2100-Jan-06 07:00:00, 2679.5771166649083
2100-Jan-06 08:00:00, 2679.2351693194996
2100-Jan-06 09:00:00, 2681.6392240572427
2100-Jan-06 10:00:00, 2681.5603887087395
2100-Jan-06 11:00:00, 2684.0537710569502
2100-Jan-06 12:00:00, 2682.1462465020163
2100-Jan-06 13:00:00, 2684.8347270092804
2100-Jan-06 14:00:00, 2683.1456879533107
2100-Jan-06 15:00:00, 2684.7877016547504
2100-Jan-06 16:00:00, 2682.4710033607989
2100-Jan-06 17:00:00, 2684.0764800571465
2100-Jan-06 18:00:00, 2681.6823229809697
2100-Jan-06 19:00:00, 2682.6385524673146
2100-Jan-06 20:00:00, 2680.4154463939158
2100-Jan-06 21:00:00, 2681.9055930015384
2100-Jan-06 22:00:00, 2678.8045031595479
2100-Jan-06 23:00:00, 2680.3205685858597
2100-Jan-07 00:00:00, 2678.6372141662391
2100-Jan-07 01:00:00, 2680.0936401282547
2100-Jan-07 02:00:00, 2678.9185297978793
2100-Jan-07 03:00:00, 2679.5760176417707
2100-Jan-07 04:00:00, 2678.9633875551026
2100-Jan-07 05:00:00, 2680.7746508975038
2100-Jan-07 06:00:00, 2680.4566291186475
2100-Jan-07 07:00:00, 2682.212512236365
2100-Jan-07 08:00:00, 2681.6491790722162
2100-Jan-07 09:00:00, 2683.2956944395155
2100-Jan-07 10:00:00, 2683.1649824918845
2100-Jan-07 11:00:00, 2685.4813664979256
2100-Jan-07 12:00:00, 2684.5170804267232
2100-Jan-07 13:00:00, 2686.9115447485851
2100-Jan-07 14:00:00, 2685.766105556088
2100-Jan-07 15:00:00, 2687.1053117748156
2100-Jan-07 16:00:00, 2685.4085128717797
2100-Jan-07 17:00:00, 2686.1271412016313
2100-Jan-07 18:00:00, 2684.660791463732
2100-Jan-07 19:00:00, 2685.0293238345844
2100-Jan-07 20:00:00, 2684.2329641835695
2100-Jan-07 21:00:00, 2684.3223303951472
2100-Jan-07 22:00:00, 2682.1634052862664
2100-Jan-07 23:00:00, 2684.1728278141195
2100-Jan-08 00:00:00, 2681.7151690120504
2100-Jan-08 01:00:00, 2683.1340437498861
2100-Jan-08 02:00:00, 2680.6120100063581
2100-Jan-08 03:00:00, 2683.8317481504741
2100-Jan-08 04:00:00, 2681.1014569481345
2100-Jan-08 05:00:00, 2684.2619728226882
2100-Jan-08 06:00:00, 2682.7503003938764
2100-Jan-08 07:00:00, 2685.3648207792194
2100-Jan-08 08:00:00, 2684.2144381840194
2100-Jan-08 09:00:00, 2687.2656190791809
2100-Jan-08 10:00:00, 2685.3948656456701
2100-Jan-08 11:00:00, 2689.8771873802048
2100-Jan-08 12:00:00, 2687.5109103579907
2100-Jan-08 13:00:00, 2690.7754351756212
2100-Jan-08 14:00:00, 2687.3765285884774
2100-Jan-08 15:00:00, 2690.0899790954004
2100-Jan-08 16:00:00, 2687.9078282139117
2100-Jan-08 17:00:00, 2689.6186177273348
2100-Jan-08 18:00:00, 2687.0314833624384
2100-Jan-08 19:00:00, 2688.2753642271591
2100-Jan-08 20:00:00, 2685.6875436144846
2100-Jan-08 21:00:00, 2686.7818552854669
2100-Jan-08 22:00:00, 2683.9290932330978
2100-Jan-08 23:00:00, 2686.3472532437727
2100-Jan-09 00:00:00, 2683.1855801568145
2100-Jan-09 01:00:00, 2684.7483146819409
2100-Jan-09 02:00:00, 2683.909660786735
2100-Jan-09 03:00:00, 2685.4215231322441
2100-Jan-09 04:00:00, 2684.5685651383642
2100-Jan-09 05:00:00, 2686.3522094845762
2100-Jan-09 06:00:00, 2685.906743766679
2100-Jan-09 07:00:00, 2687.979216712115
2100-Jan-09 08:00:00, 2687.1685653277909
2100-Jan-09 09:00:00, 2689.8901223775565
2100-Jan-09 10:00:00, 2688.4389189392014
2100-Jan-09 11:00:00, 2692.5602694171089
2100-Jan-09 12:00:00, 2689.733662966999
2100-Jan-09 13:00:00, 2693.1953647114365
2100-Jan-09 14:00:00, 2691.0509681370199
2100-Jan-09 15:00:00, 2692.8481033839571
2100-Jan-09 16:00:00, 2690.9345312776204
2100-Jan-09 17:00:00, 2692.308098282057
2100-Jan-09 18:00:00, 2690.040897546648
2100-Jan-09 19:00:00, 2691.1110182577804
2100-Jan-09 20:00:00, 2689.5981507362467
2100-Jan-09 21:00:00, 2689.337406687066
2100-Jan-09 22:00:00, 2687.8345727716983
2100-Jan-09 23:00:00, 2689.7513016728781
2100-Jan-10 00:00:00, 2686.6304332386972
2100-Jan-10 01:00:00, 2688.9458466814681
2100-Jan-10 02:00:00, 2686.8883641746497
2100-Jan-10 03:00:00, 2688.7633855800418
2100-Jan-10 04:00:00, 2687.0699275901748
2100-Jan-10 05:00:00, 2689.5989477478765
2100-Jan-10 06:00:00, 2688.6119593492981
2100-Jan-10 07:00:00, 2690.949698180058
2100-Jan-10 08:00:00, 2690.7066714889665
2100-Jan-10 09:00:00, 2692.718334091363
2100-Jan-10 10:00:00, 2691.423544631758
2100-Jan-10 11:00:00, 2695.3917485604957
2100-Jan-10 12:00:00, 2693.268413117959
2100-Jan-10 13:00:00, 2696.0593300152118
2100-Jan-10 14:00:00, 2694.1434825035576
2100-Jan-10 15:00:00, 2694.9869983633789
2100-Jan-10 16:00:00, 2693.2892397458213
2100-Jan-10 17:00:00, 2694.8644212439253
2100-Jan-10 18:00:00, 2692.6924833936523
2100-Jan-10 19:00:00, 2693.6174880280259
2100-Jan-10 20:00:00, 2692.2956565187719
2100-Jan-10 21:00:00, 2691.9746000143914
2100-Jan-10 22:00:00, 2691.5914437634556
2100-Jan-10 23:00:00, 2691.8284727479472
2100-Jan-11 00:00:00, 2689.8110997049671
2100-Jan-11 01:00:00, 2690.0435462053292
2100-Jan-11 02:00:00, 2690.0518059181818
2100-Jan-11 03:00:00, 2690.6467556672947
2100-Jan-11 04:00:00, 2690.2193016136948
2100-Jan-11 05:00:00, 2691.5752764152371
2100-Jan-11 06:00:00, 2691.3697213709625
2100-Jan-11 07:00:00, 2692.8568678459114
2100-Jan-11 08:00:00, 2693.3062651905352
2100-Jan-11 09:00:00, 2694.9668484628878
2100-Jan-11 10:00:00, 2695.1265197297835
2100-Jan-11 11:00:00, 2697.3670199000194
2100-Jan-11 12:00:00, 2695.2512888653482
2100-Jan-11 13:00:00, 2698.332808702135
2100-Jan-11 14:00:00, 2696.6866508337375
2100-Jan-11 15:00:00, 2698.2980398985101
2100-Jan-11 16:00:00, 2696.0557885162784
2100-Jan-11 17:00:00, 2697.1237264404881
2100-Jan-11 18:00:00, 2695.6634914159577
2100-Jan-11 19:00:00, 2695.9966910548856
2100-Jan-11 20:00:00, 2694.5561859531595
2100-Jan-11 21:00:00, 2695.3622480349386
2100-Jan-11 22:00:00, 2692.8574948963501
2100-Jan-11 23:00:00, 2695.2755849546961
2100-Jan-12 00:00:00, 2691.791375891708
2100-Jan-12 01:00:00, 2694.3571743797834
2100-Jan-12 02:00:00, 2692.0961995044322
2100-Jan-12 03:00:00, 2694.1767394888079
2100-Jan-12 04:00:00, 2692.3327105699468
2100-Jan-12 05:00:00, 2695.0144283636869
2100-Jan-12 06:00:00, 2693.9369554647928
2100-Jan-12 07:00:00, 2695.9646652992747
2100-Jan-12 08:00:00, 2695.9190564731084
2100-Jan-12 09:00:00, 2697.3167063115829
2100-Jan-12 10:00:00, 2696.8037922478588
2100-Jan-12 11:00:00, 2700.2167130034345
2100-Jan-12 12:00:00, 2697.8896553694608
2100-Jan-12 13:00:00, 2699.8399524322977
2100-Jan-12 14:00:00, 2699.2535932858127
2100-Jan-12 15:00:00, 2700.4211995087944
2100-Jan-12 16:00:00, 2698.6178942834754
2100-Jan-12 17:00:00, 2699.885526562362
2100-Jan-12 18:00:00, 2698.2372749352462
2100-Jan-12 19:00:00, 2698.5260927978984
2100-Jan-12 20:00:00, 2697.0096132733906
2100-Jan-12 21:00:00, 2697.8723562880482
2100-Jan-12 22:00:00, 2695.3288655548236
2100-Jan-12 23:00:00, 2697.4507893095602
2100-Jan-13 00:00:00, 2694.2291258420037
2100-Jan-13 01:00:00, 2695.4673287269775
2100-Jan-13 02:00:00, 2694.0140893642861
2100-Jan-13 03:00:00, 2696.0977097334353
2100-Jan-13 04:00:00, 2694.5796168780694
