Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2639.8956410987344
2100-Jan-01 01:00:00, 2639.7158687748051
2100-Jan-01 02:00:00, 2639.6968934615284
2100-Jan-01 03:00:00, 2639.8503800890066
2100-Jan-01 04:00:00, 2640.1783068907716
2100-Jan-01 05:00:00, 2640.6706433494646
2100-Jan-01 06:00:00, 2641.301803157372
2100-Jan-01 07:00:00, 2642.0377829896947
2100-Jan-01 08:00:00, 2642.8393827050327
2100-Jan-01 09:00:00, 2643.6593589082609
2100-Jan-01 10:00:00, 2644.4488378785982
2100-Jan-01 11:00:00, 2645.1632167659227
2100-Jan-01 12:00:00, 2645.7642052642377
2100-Jan-01 13:00:00, 2646.2220470270163
2100-Jan-01 14:00:00, 2646.5156146895192
2100-Jan-01 15:00:00, 2646.6344340831838
2100-Jan-01 16:00:00, 2646.5806466384488
2100-Jan-01 17:00:00, 2646.3676661950294
2100-Jan-01 18:00:00, 2646.0181764860263
2100-Jan-01 19:00:00, 2645.5648901649502
2100-Jan-01 20:00:00, 2645.0486212302249
2100-Jan-01 21:00:00, 2644.5132780574863
2100-Jan-01 22:00:00, 2644.0033392679925
2100-Jan-01 23:00:00, 2643.5625121553762
2100-Jan-02 00:00:00, 2643.2298571138213
2100-Jan-02 01:00:00, 2643.0361561087811
2100-Jan-02 02:00:00, 2643.0039443827154
2100-Jan-02 03:00:00, 2643.1480004889227
2100-Jan-02 04:00:00, 2643.4702324409959
2100-Jan-02 05:00:00, 2643.9575221174578
2100-Jan-02 06:00:00, 2644.5858860109615
2100-Jan-02 07:00:00, 2645.3211838661678
2100-Jan-02 08:00:00, 2646.1214317251711
2100-Jan-02 09:00:00, 2646.9418389253537
2100-Jan-02 10:00:00, 2647.7372800497542
2100-Jan-02 11:00:00, 2648.4635760929336
2100-Jan-02 12:00:00, 2649.0807983315372
2100-Jan-02 13:00:00, 2649.554820756427
2100-Jan-02 14:00:00, 2649.8630135555313
2100-Jan-02 15:00:00, 2649.9940935668969
2100-Jan-02 16:00:00, 2649.9475636879069
2100-Jan-02 17:00:00, 2649.7370650881157
2100-Jan-02 18:00:00, 2649.3893281556293
2100-Jan-02 19:00:00, 2648.9380579838758
2100-Jan-02 20:00:00, 2648.4213390043296
2100-Jan-02 21:00:00, 2647.8827860444758
2100-Jan-02 22:00:00, 2647.3704211180689
2100-Jan-02 23:00:00, 2646.9290755566017
2100-Jan-03 00:00:00, 2646.5984109117812
2100-Jan-03 01:00:00, 2646.4117159010921
2100-Jan-03 02:00:00, 2646.3912058463416
2100-Jan-03 03:00:00, 2646.5470178919563
2100-Jan-03 04:00:00, 2646.876392865664
2100-Jan-03 05:00:00, 2647.3653655288053
2100-Jan-03 06:00:00, 2647.9908279677384
2100-Jan-03 07:00:00, 2648.719757203723
2100-Jan-03 08:00:00, 2649.5111167258392
2100-Jan-03 09:00:00, 2650.3208402312412
2100-Jan-03 10:00:00, 2651.1043379686857
2100-Jan-03 11:00:00, 2651.8178253503206
2100-Jan-03 12:00:00, 2652.4221892284486
2100-Jan-03 13:00:00, 2652.8866147688282
2100-Jan-03 14:00:00, 2653.1890731376038
2100-Jan-03 15:00:00, 2653.3178717008059
2100-Jan-03 16:00:00, 2653.2710165506919
2100-Jan-03 17:00:00, 2653.0585315518679
2100-Jan-03 18:00:00, 2652.7060031299084
2100-Jan-03 19:00:00, 2652.2474398023164
2100-Jan-03 20:00:00, 2651.72205069239
2100-Jan-03 21:00:00, 2651.1770909861302
2100-Jan-03 22:00:00, 2650.6614482534737
2100-Jan-03 23:00:00, 2650.2197406749883
2100-Jan-04 00:00:00, 2649.8902749232343
2100-Jan-04 01:00:00, 2649.702824403194
2100-Jan-04 02:00:00, 2649.6785339643016
2100-Jan-04 03:00:00, 2649.8278954802731
2100-Jan-04 04:00:00, 2650.1487852877076
2100-Jan-04 05:00:00, 2650.6278072534119
2100-Jan-04 06:00:00, 2651.2422951970329
2100-Jan-04 07:00:00, 2651.9595537933924
2100-Jan-04 08:00:00, 2652.7387860943068
2100-Jan-04 09:00:00, 2653.5361004576507
2100-Jan-04 10:00:00, 2654.3070346506984
2100-Jan-04 11:00:00, 2655.0078974037942
2100-Jan-04 12:00:00, 2655.599643970002
2100-Jan-04 13:00:00, 2656.051509642602
2100-Jan-04 14:00:00, 2656.341504214578
2100-Jan-04 15:00:00, 2656.4584918033611
2100-Jan-04 16:00:00, 2656.4041237640458
2100-Jan-04 17:00:00, 2656.1914544807933
2100-Jan-04 18:00:00, 2655.8429040350629
2100-Jan-04 19:00:00, 2655.3909909822005
2100-Jan-04 20:00:00, 2654.8763857508479
2100-Jan-04 21:00:00, 2654.3428900479439
2100-Jan-04 22:00:00, 2653.8349029684209
2100-Jan-04 23:00:00, 2653.3960723982209
2100-Jan-05 00:00:00, 2653.0654143485481
2100-Jan-05 01:00:00, 2652.8736757062029
2100-Jan-05 02:00:00, 2652.8428370240058
2100-Jan-05 03:00:00, 2652.9840306526462
2100-Jan-05 04:00:00, 2653.2956062982885
2100-Jan-05 05:00:00, 2653.7645140787045
2100-Jan-05 06:00:00, 2654.3683409812502
2100-Jan-05 07:00:00, 2655.0745774196903
2100-Jan-05 08:00:00, 2655.8425633247898
2100-Jan-05 09:00:00, 2656.6285083467369
2100-Jan-05 10:00:00, 2657.3880254429473
2100-Jan-05 11:00:00, 2658.0774792415109
2100-Jan-05 12:00:00, 2658.6578665258535
2100-Jan-05 13:00:00, 2659.0984533451192
2100-Jan-05 14:00:00, 2659.3772721155228
2100-Jan-05 15:00:00, 2659.4832034058818
2100-Jan-05 16:00:00, 2659.4179103164906
2100-Jan-05 17:00:00, 2659.1944553749122
2100-Jan-05 18:00:00, 2658.835264041938
2100-Jan-05 19:00:00, 2658.3728581280288
2100-Jan-05 20:00:00, 2657.8479096841756
2100-Jan-05 21:00:00, 2657.3042207857206
2100-Jan-05 22:00:00, 2656.7861899366685
2100-Jan-05 23:00:00, 2656.3374637010165
2100-Jan-06 00:00:00, 2655.997056216363
2100-Jan-06 01:00:00, 2655.7957120839478
2100-Jan-06 02:00:00, 2655.7554112649273
2100-Jan-06 03:00:00, 2655.887813466099
2100-Jan-06 04:00:00, 2656.1948916283568
2100-Jan-06 05:00:00, 2656.6666099234076
2100-Jan-06 06:00:00, 2657.2773767539752
2100-Jan-06 07:00:00, 2657.9931835576326
2100-Jan-06 08:00:00, 2658.774825030282
2100-Jan-06 09:00:00, 2659.5750527068699
2100-Jan-06 10:00:00, 2660.3449879019176
2100-Jan-06 11:00:00, 2661.0400229152851
2100-Jan-06 12:00:00, 2661.6218627118978
2100-Jan-06 13:00:00, 2662.060746341202
2100-Jan-06 14:00:00, 2662.3355419616928
2100-Jan-06 15:00:00, 2662.4357710562726
2100-Jan-06 16:00:00, 2662.3635708345328
2100-Jan-06 17:00:00, 2662.1323510421339
2100-Jan-06 18:00:00, 2661.7647914430568
2100-Jan-06 19:00:00, 2661.2936008439119
2100-Jan-06 20:00:00, 2660.7595895162699
2100-Jan-06 21:00:00, 2660.2066622256134
2100-Jan-06 22:00:00, 2659.6792940966166
2100-Jan-06 23:00:00, 2659.2211890367025
2100-Jan-07 00:00:00, 2658.8714041605549
2100-Jan-07 01:00:00, 2658.6607182576017
2100-Jan-07 02:00:00, 2658.6116634944178
2100-Jan-07 03:00:00, 2658.7390154448181
2100-Jan-07 04:00:00, 2659.0446772405639
2100-Jan-07 05:00:00, 2659.5149998005309
2100-Jan-07 06:00:00, 2660.1228988860162
2100-Jan-07 07:00:00, 2660.8343145345239
2100-Jan-07 08:00:00, 2661.610880974737
2100-Jan-07 09:00:00, 2662.408776229624
2100-Jan-07 10:00:00, 2663.1798303815085
2100-Jan-07 11:00:00, 2663.8791083327847
2100-Jan-07 12:00:00, 2664.4668768985375
2100-Jan-07 13:00:00, 2664.9097989857478
2100-Jan-07 14:00:00, 2665.1856277519855
2100-Jan-07 15:00:00, 2665.2842067930455
2100-Jan-07 16:00:00, 2665.2082849775597
2100-Jan-07 17:00:00, 2664.9718238054825
2100-Jan-07 18:00:00, 2664.5979322723078
2100-Jan-07 19:00:00, 2664.1196379772655
2100-Jan-07 20:00:00, 2663.577984640327
2100-Jan-07 21:00:00, 2663.0170476535627
2100-Jan-07 22:00:00, 2662.481427205169
2100-Jan-07 23:00:00, 2662.0149212622764
2100-Jan-08 00:00:00, 2661.65718316125
2100-Jan-08 01:00:00, 2661.4421401895711
2100-Jan-08 02:00:00, 2661.3922790956913
2100-Jan-08 03:00:00, 2661.5187805771438
2100-Jan-08 04:00:00, 2661.8220710687797
2100-Jan-08 05:00:00, 2662.2889869186829
2100-Jan-08 06:00:00, 2662.8958614809376
2100-Jan-08 07:00:00, 2663.6088846913558
2100-Jan-08 08:00:00, 2664.3863385073018
2100-Jan-08 09:00:00, 2665.1836309672708
2100-Jan-08 10:00:00, 2665.95578137855
2100-Jan-08 11:00:00, 2666.6587153003347
2100-Jan-08 12:00:00, 2667.2525794389221
2100-Jan-08 13:00:00, 2667.7033022048322
2100-Jan-08 14:00:00, 2667.988293023282
2100-Jan-08 15:00:00, 2668.0962969369175
2100-Jan-08 16:00:00, 2668.0268369760133
2100-Jan-08 17:00:00, 2667.7935684963441
2100-Jan-08 18:00:00, 2667.4232316628336
2100-Jan-08 19:00:00, 2666.9495380576623
2100-Jan-08 20:00:00, 2666.410576138137
2100-Jan-08 21:00:00, 2665.8499629066864
2100-Jan-08 22:00:00, 2665.3157211583962
2100-Jan-08 23:00:00, 2664.8526819571443
2100-Jan-09 00:00:00, 2664.5005057988719
2100-Jan-09 01:00:00, 2664.2924797562728
2100-Jan-09 02:00:00, 2664.2508170693054
2100-Jan-09 03:00:00, 2664.3856524807497
2100-Jan-09 04:00:00, 2664.694224187434
2100-Jan-09 05:00:00, 2665.1625641602495
2100-Jan-09 06:00:00, 2665.7675615898711
2100-Jan-09 07:00:00, 2666.4761905384507
2100-Jan-09 08:00:00, 2667.2474115052291
2100-Jan-09 09:00:00, 2668.0371551919884
2100-Jan-09 10:00:00, 2668.800828865672
2100-Jan-09 11:00:00, 2669.4946449852418
2100-Jan-09 12:00:00, 2670.0794874896201
2100-Jan-09 13:00:00, 2670.5245386793713
2100-Jan-09 14:00:00, 2670.8077669099539
2100-Jan-09 15:00:00, 2670.9174767954023
2100-Jan-09 16:00:00, 2670.8516717380103
2100-Jan-09 17:00:00, 2670.6203729762046
2100-Jan-09 18:00:00, 2670.2491643742565
2100-Jan-09 19:00:00, 2669.7720519537365
2100-Jan-09 20:00:00, 2669.2282424072173
2100-Jan-09 21:00:00, 2668.6649885544512
2100-Jan-09 22:00:00, 2668.131175663023
2100-Jan-09 23:00:00, 2667.6714196736261
2100-Jan-10 00:00:00, 2667.3240250801455
2100-Jan-10 01:00:00, 2667.1187631690896
2100-Jan-10 02:00:00, 2667.0767767296256
2100-Jan-10 03:00:00, 2667.2085556319944
2100-Jan-10 04:00:00, 2667.5119742643687
2100-Jan-10 05:00:00, 2667.9736345987803
2100-Jan-10 06:00:00, 2668.5708686118319
2100-Jan-10 07:00:00, 2669.2709791855632
2100-Jan-10 08:00:00, 2670.0331676276214
2100-Jan-10 09:00:00, 2670.8135405988332
2100-Jan-10 10:00:00, 2671.5676342147981
2100-Jan-10 11:00:00, 2672.251755598184
2100-Jan-10 12:00:00, 2672.8268584367888
2100-Jan-10 13:00:00, 2673.2621764999203
2100-Jan-10 14:00:00, 2673.5357161002958
2100-Jan-10 15:00:00, 2673.6358097502766
2100-Jan-10 16:00:00, 2673.5604812106631
2100-Jan-10 17:00:00, 2673.319766393653
2100-Jan-10 18:00:00, 2672.9392595292979
2100-Jan-10 19:00:00, 2672.4529737271569
2100-Jan-10 20:00:00, 2671.9001202667678
2100-Jan-10 21:00:00, 2671.3279546434169
2100-Jan-10 22:00:00, 2670.7853633390287
2100-Jan-10 23:00:00, 2670.3169623933672
2100-Jan-11 00:00:00, 2669.9610555511722
2100-Jan-11 01:00:00, 2669.7474127083151
2100-Jan-11 02:00:00, 2669.6971747829111
2100-Jan-11 03:00:00, 2669.8208294193319
2100-Jan-11 04:00:00, 2670.1162485231653
2100-Jan-11 05:00:00, 2670.5700314039168
2100-Jan-11 06:00:00, 2671.1595072559903
2100-Jan-11 07:00:00, 2671.8519761063844
2100-Jan-11 08:00:00, 2672.6066363719779
2100-Jan-11 09:00:00, 2673.379591815135
2100-Jan-11 10:00:00, 2674.12637566798
2100-Jan-11 11:00:00, 2674.8032922015268
2100-Jan-11 12:00:00, 2675.3712922967466
2100-Jan-11 13:00:00, 2675.7996069705396
2100-Jan-11 14:00:00, 2676.0662418407392
2100-Jan-11 15:00:00, 2676.1600569549505
2100-Jan-11 16:00:00, 2676.0826997056424
2100-Jan-11 17:00:00, 2675.8472206226224
2100-Jan-11 18:00:00, 2675.4760360411929
2100-Jan-11 19:00:00, 2675.0016608779401
2100-Jan-11 20:00:00, 2674.4647620287064
2100-Jan-11 21:00:00, 2673.9091377716231
2100-Jan-11 22:00:00, 2673.3791838749235
2100-Jan-11 23:00:00, 2672.918544997166
2100-Jan-12 00:00:00, 2672.5662340190338
2100-Jan-12 01:00:00, 2672.3529947908833
2100-Jan-12 02:00:00, 2672.3008049203759
2100-Jan-12 03:00:00, 2672.4207939014259
2100-Jan-12 04:00:00, 2672.7113086690215
2100-Jan-12 05:00:00, 2673.1592966524172
2100-Jan-12 06:00:00, 2673.7423422304141
2100-Jan-12 07:00:00, 2674.4279332854753
2100-Jan-12 08:00:00, 2675.1754072912981
2100-Jan-12 09:00:00, 2675.9409715130432
2100-Jan-12 10:00:00, 2676.680236592239
2100-Jan-12 11:00:00, 2677.3495649078964
2100-Jan-12 12:00:00, 2677.9099510589285
2100-Jan-12 13:00:00, 2678.3306589718245
2100-Jan-12 14:00:00, 2678.5897190000778
2100-Jan-12 15:00:00, 2678.676009707573
2100-Jan-12 16:00:00, 2678.5911922451101
2100-Jan-12 17:00:00, 2678.3483272443814
2100-Jan-12 18:00:00, 2677.969838322012
2100-Jan-12 19:00:00, 2677.4882454943349
2100-Jan-12 20:00:00, 2676.9442190659292
2100-Jan-12 21:00:00, 2676.3815594123375
2100-Jan-12 22:00:00, 2675.8446633823423
2100-Jan-12 23:00:00, 2675.3771759279603
2100-Jan-13 00:00:00, 2675.018109616452
2100-Jan-13 01:00:00, 2674.7982075187751
2100-Jan-13 02:00:00, 2674.7394461091208
2100-Jan-13 03:00:00, 2674.8529534813056
2100-Jan-13 04:00:00, 2675.137074973275
2100-Jan-13 05:00:00, 2675.5787562752457
2100-Jan-13 06:00:00, 2676.1555799284743
2100-Jan-13 07:00:00, 2676.8350319136689
2100-Jan-13 08:00:00, 2677.5764477658504
2100-Jan-13 09:00:00, 2678.3360327957844
2100-Jan-13 10:00:00, 2679.0693956920036
2100-Jan-13 11:00:00, 2679.7328968943825
2100-Jan-13 12:00:00, 2680.2875290871061
2100-Jan-13 13:00:00, 2680.7025543139198
2100-Jan-13 14:00:00, 2680.9560010832329
2100-Jan-13 15:00:00, 2681.036746155838
2100-Jan-13 16:00:00, 2680.9464489245602
2100-Jan-13 17:00:00, 2680.6981683101371
2100-Jan-13 18:00:00, 2680.3143262665681
2100-Jan-13 19:00:00, 2679.827441196413
2100-Jan-13 20:00:00, 2679.2781818396593
2100-Jan-13 21:00:00, 2678.7103470560196
2100-Jan-13 22:00:00, 2678.1683322267436
2100-Jan-13 23:00:00, 2677.6957808837988
2100-Jan-14 00:00:00, 2677.3317042207964
2100-Jan-14 01:00:00, 2677.1068439805049
2100-Jan-14 02:00:00, 2677.0431753528947
2100-Jan-14 03:00:00, 2677.1518251906718
2100-Jan-14 04:00:00, 2677.4311376321266
2100-Jan-14 05:00:00, 2677.8680572080616
2100-Jan-14 06:00:00, 2678.4401653390851
2100-Jan-14 07:00:00, 2679.1149469228408
2100-Jan-14 08:00:00, 2679.851736447551
2100-Jan-14 09:00:00, 2680.6067382120286
2100-Jan-14 10:00:00, 2681.3355599262559
2100-Jan-14 11:00:00, 2681.9945610841655
2100-Jan-14 12:00:00, 2682.5447334548676
2100-Jan-14 13:00:00, 2682.9553381971018
2100-Jan-14 14:00:00, 2683.2044029629642
2100-Jan-14 15:00:00, 2683.2808036847637
2100-Jan-14 16:00:00, 2683.1861989531762
2100-Jan-14 17:00:00, 2682.9336469125587
2100-Jan-14 18:00:00, 2682.5455687650042
2100-Jan-14 19:00:00, 2682.0544821848976
2100-Jan-14 20:00:00, 2681.5010552067956
2100-Jan-14 21:00:00, 2680.9290860066594
2100-Jan-14 22:00:00, 2680.3829693031339
2100-Jan-14 23:00:00, 2679.9063479856613
2100-Jan-15 00:00:00, 2679.5382326248327
2100-Jan-15 01:00:00, 2679.3093643591042
2100-Jan-15 02:00:00, 2679.2417177921029
2100-Jan-15 03:00:00, 2679.3464192074143
2100-Jan-15 04:00:00, 2679.6218121908687
2100-Jan-15 05:00:00, 2680.0548407368728
2100-Jan-15 06:00:00, 2680.6230857450691
2100-Jan-15 07:00:00, 2681.2940316069371
2100-Jan-15 08:00:00, 2682.0270123189089
2100-Jan-15 09:00:00, 2682.7782317017841
2100-Jan-15 10:00:00, 2683.5032970007865
2100-Jan-15 11:00:00, 2684.1585672579054
2100-Jan-15 12:00:00, 2684.7050338026747
2100-Jan-15 13:00:00, 2685.1119573661294
2100-Jan-15 14:00:00, 2685.3573651842808
2100-Jan-15 15:00:00, 2685.4301327841713
2100-Jan-15 16:00:00, 2685.331918362242
2100-Jan-15 17:00:00, 2685.0757796786111
2100-Jan-15 18:00:00, 2684.6841375614217
2100-Jan-15 19:00:00, 2684.1895093204662
2100-Jan-15 20:00:00, 2683.632562635134
2100-Jan-15 21:00:00, 2683.0570953352576
2100-Jan-15 22:00:00, 2682.5075018018674
2100-Jan-15 23:00:00, 2682.027424595422
2100-Jan-16 00:00:00, 2681.6558739655165
2100-Jan-16 01:00:00, 2681.4235907374004
2100-Jan-16 02:00:00, 2681.352549209244
2100-Jan-16 03:00:00, 2681.4538753664096
2100-Jan-16 04:00:00, 2681.725912503734
2100-Jan-16 05:00:00, 2682.1556043314281
2100-Jan-16 06:00:00, 2682.7205314716357
2100-Jan-16 07:00:00, 2683.3881780448642
2100-Jan-16 08:00:00, 2684.1178777827113
2100-Jan-16 09:00:00, 2684.8658342473468
2100-Jan-16 10:00:00, 2685.5876544311536
2100-Jan-16 11:00:00, 2686.2396971290068
2100-Jan-16 12:00:00, 2686.7829534288894
2100-Jan-16 13:00:00, 2687.1866838255964
2100-Jan-16 14:00:00, 2687.428915324173
2100-Jan-16 15:00:00, 2687.49852322569
2100-Jan-16 16:00:00, 2687.3971655054524
2100-Jan-16 17:00:00, 2687.1378997074007
2100-Jan-16 18:00:00, 2686.7431464479068
2100-Jan-16 19:00:00, 2686.2454228296806
2100-Jan-16 20:00:00, 2685.6853963291419
2100-Jan-16 21:00:00, 2685.1068645776486
2100-Jan-16 22:00:00, 2684.5542217616985
2100-Jan-16 23:00:00, 2684.0711102512228
2100-Jan-17 00:00:00, 2683.696540109202
2100-Jan-17 01:00:00, 2683.4612519781854
2100-Jan-17 02:00:00, 2683.3872199771117
2100-Jan-17 03:00:00, 2683.4855699157129
2100-Jan-17 04:00:00, 2683.7546449168108
2100-Jan-17 05:00:00, 2684.1813885219831
2100-Jan-17 06:00:00, 2684.7433811878473
2100-Jan-17 07:00:00, 2685.4081068727451
2100-Jan-17 08:00:00, 2686.1348991492209
2100-Jan-17 09:00:00, 2686.8799614234144
2100-Jan-17 10:00:00, 2687.598900534585
2100-Jan-17 11:00:00, 2688.2480751274411
2100-Jan-17 12:00:00, 2688.7884761426167
2100-Jan-17 13:00:00, 2689.1893639302721
2100-Jan-17 14:00:00, 2689.4287653534302
2100-Jan-17 15:00:00, 2689.4955555738275
2100-Jan-17 16:00:00, 2689.3913924299845
2100-Jan-17 17:00:00, 2689.129333331437
2100-Jan-17 18:00:00, 2688.7317987626443
