Time Stamp, Total Heat Transfer Rate [W]
2100-Jan-01 00:00:00, 2209.1495892375442
2100-Jan-01 01:00:00, 2209.1510147635727
2100-Jan-01 02:00:00, 2209.2003279911232
2100-Jan-01 03:00:00, 2209.3033665152784
2100-Jan-01 04:00:00, 2209.461850260037
2100-Jan-01 05:00:00, 2209.6737203598914
2100-Jan-01 06:00:00, 2209.9334050103234
2100-Jan-01 07:00:00, 2210.2316170094973
2100-Jan-01 08:00:00, 2210.5562907336512
2100-Jan-01 09:00:00, 2210.893549131948
2100-Jan-01 10:00:00, 2211.2288223746668
2100-Jan-01 11:00:00, 2211.5479474797348
2100-Jan-01 12:00:00, 2211.8378125298327
2100-Jan-01 13:00:00, 2212.087323627718
2100-Jan-01 14:00:00, 2212.288147383364
2100-Jan-01 15:00:00, 2212.4352628329589
2100-Jan-01 16:00:00, 2212.5270605225055
2100-Jan-01 17:00:00, 2212.5657043843894
2100-Jan-01 18:00:00, 2212.5570248030403
2100-Jan-01 19:00:00, 2212.5099708331049
2100-Jan-01 20:00:00, 2212.4360009375496
2100-Jan-01 21:00:00, 2212.3483763772165
2100-Jan-01 22:00:00, 2212.2613072414642
2100-Jan-01 23:00:00, 2212.188817931461
2100-Jan-02 00:00:00, 2212.1440064444241
2100-Jan-02 01:00:00, 2212.1385996782715
2100-Jan-02 02:00:00, 2212.1817496270928
2100-Jan-02 03:00:00, 2212.2791378607262
2100-Jan-02 04:00:00, 2212.432707035432
2100-Jan-02 05:00:00, 2212.6403785806133
2100-Jan-02 06:00:00, 2212.8962632566445
2100-Jan-02 07:00:00, 2213.1912596217639
2100-Jan-02 08:00:00, 2213.5137310220507
2100-Jan-02 09:00:00, 2213.8502751797673
2100-Jan-02 10:00:00, 2214.1865149751975
2100-Jan-02 11:00:00, 2214.5077449597975
2100-Jan-02 12:00:00, 2214.8005553948979
2100-Jan-02 13:00:00, 2215.0533142940576
2100-Jan-02 14:00:00, 2215.2570798231836
2100-Jan-02 15:00:00, 2215.4063640262621
2100-Jan-02 16:00:00, 2215.4998349676207
2100-Jan-02 17:00:00, 2215.539785348778
2100-Jan-02 18:00:00, 2215.53189583638
2100-Jan-02 19:00:00, 2215.4848985420426
2100-Jan-02 20:00:00, 2215.4106642203787
2100-Jan-02 21:00:00, 2215.3226306170855
2100-Jan-02 22:00:00, 2215.2353975081041
2100-Jan-02 23:00:00, 2215.1635178221768
2100-Jan-03 00:00:00, 2215.1204724810041
2100-Jan-03 01:00:00, 2215.1176419951548
2100-Jan-03 02:00:00, 2215.1634566301359
2100-Jan-03 03:00:00, 2215.2629430684174
2100-Jan-03 04:00:00, 2215.4176828784598
2100-Jan-03 05:00:00, 2215.6254569764651
2100-Jan-03 06:00:00, 2215.8803731585185
2100-Jan-03 07:00:00, 2216.1733966987308
2100-Jan-03 08:00:00, 2216.4930420467481
2100-Jan-03 09:00:00, 2216.8259831695091
2100-Jan-03 10:00:00, 2217.1579661278929
2100-Jan-03 11:00:00, 2217.474922339522
2100-Jan-03 12:00:00, 2217.7637457658188
2100-Jan-03 13:00:00, 2218.0132135319063
2100-Jan-03 14:00:00, 2218.21435135817
2100-Jan-03 15:00:00, 2218.361274561209
2100-Jan-03 16:00:00, 2218.4522509223802
2100-Jan-03 17:00:00, 2218.4893038321088
2100-Jan-03 18:00:00, 2218.4779920585215
2100-Jan-03 19:00:00, 2218.4275829473968
2100-Jan-03 20:00:00, 2218.3501333198019
2100-Jan-03 21:00:00, 2218.2595163772007
2100-Jan-03 22:00:00, 2218.1702772767935
2100-Jan-03 23:00:00, 2218.0965840478984
2100-Jan-04 00:00:00, 2218.0515238249664
2100-Jan-04 01:00:00, 2218.0462223834843
2100-Jan-04 02:00:00, 2218.0889845921206
2100-Jan-04 03:00:00, 2218.1848346023917
2100-Jan-04 04:00:00, 2218.335385830233
2100-Jan-04 05:00:00, 2218.5384700378181
2100-Jan-04 06:00:00, 2218.7882640413936
2100-Jan-04 07:00:00, 2219.0758185325931
2100-Jan-04 08:00:00, 2219.3896761394367
2100-Jan-04 09:00:00, 2219.7165777153405
2100-Jan-04 10:00:00, 2220.0423095311644
2100-Jan-04 11:00:00, 2220.3528588916142
2100-Jan-04 12:00:00, 2220.6351293579332
2100-Jan-04 13:00:00, 2220.8779397452481
2100-Jan-04 14:00:00, 2221.072869342403
2100-Jan-04 15:00:00, 2221.2148182785431
2100-Jan-04 16:00:00, 2221.3020560901186
2100-Jan-04 17:00:00, 2221.3366667623686
2100-Jan-04 18:00:00, 2221.3243961084881
2100-Jan-04 19:00:00, 2221.2741538075811
2100-Jan-04 20:00:00, 2221.1973089571193
2100-Jan-04 21:00:00, 2221.107082596061
2100-Jan-04 22:00:00, 2221.0176420299217
2100-Jan-04 23:00:00, 2220.9429858781323
2100-Jan-05 00:00:00, 2220.8961720649859
2100-Jan-05 01:00:00, 2220.8883718566453
2100-Jan-05 02:00:00, 2220.9279619400536
2100-Jan-05 03:00:00, 2221.020054221909
2100-Jan-05 04:00:00, 2221.1663526783964
2100-Jan-05 05:00:00, 2221.3647679744427
2100-Jan-05 06:00:00, 2221.6095449143963
2100-Jan-05 07:00:00, 2221.891738422044
2100-Jan-05 08:00:00, 2222.2000572454276
2100-Jan-05 09:00:00, 2222.5212050366567
2100-Jan-05 10:00:00, 2222.8410311954099
2100-Jan-05 11:00:00, 2223.1455387088304
2100-Jan-05 12:00:00, 2223.4216651846396
2100-Jan-05 13:00:00, 2223.6582434883067
2100-Jan-05 14:00:00, 2223.8468880619021
2100-Jan-05 15:00:00, 2223.9824881006593
2100-Jan-05 16:00:00, 2224.0633665507912
2100-Jan-05 17:00:00, 2224.0915902051083
2100-Jan-05 18:00:00, 2224.0729356506631
2100-Jan-05 19:00:00, 2224.0162853218926
2100-Jan-05 20:00:00, 2223.933044875841
2100-Jan-05 21:00:00, 2223.8364359417205
2100-Jan-05 22:00:00, 2223.7406281051071
2100-Jan-05 23:00:00, 2223.6596255581344
2100-Jan-06 00:00:00, 2223.6064928343917
2100-Jan-06 01:00:00, 2223.5923940569683
2100-Jan-06 02:00:00, 2223.6262673841779
2100-Jan-06 03:00:00, 2223.7139556150164
2100-Jan-06 04:00:00, 2223.8571730159811
2100-Jan-06 05:00:00, 2224.0538671130398
2100-Jan-06 06:00:00, 2224.2984556519368
2100-Jan-06 07:00:00, 2224.5816769979465
2100-Jan-06 08:00:00, 2224.891447893307
2100-Jan-06 09:00:00, 2225.2138863878208
2100-Jan-06 10:00:00, 2225.5344342945609
2100-Jan-06 11:00:00, 2225.8389267942739
2100-Jan-06 12:00:00, 2226.1142552491069
2100-Jan-06 13:00:00, 2226.3493074510075
2100-Jan-06 14:00:00, 2226.5357629939217
2100-Jan-06 15:00:00, 2226.6686112753109
2100-Jan-06 16:00:00, 2226.7462239663664
2100-Jan-06 17:00:00, 2226.7707712415322
2100-Jan-06 18:00:00, 2226.7480781757436
2100-Jan-06 19:00:00, 2226.6871084183749
2100-Jan-06 20:00:00, 2226.5993070042946
2100-Jan-06 21:00:00, 2226.4979296734336
2100-Jan-06 22:00:00, 2226.3971912589068
2100-Jan-06 23:00:00, 2226.3111236831592
2100-Jan-07 00:00:00, 2226.2528141433645
2100-Jan-07 01:00:00, 2226.2339954214926
2100-Jan-07 02:00:00, 2226.2638160813772
2100-Jan-07 03:00:00, 2226.3479413061664
2100-Jan-07 04:00:00, 2226.4877991761332
2100-Jan-07 05:00:00, 2226.6810954114453
2100-Jan-07 06:00:00, 2226.9221280720831
2100-Jan-07 07:00:00, 2227.2021181269647
2100-Jan-07 08:00:00, 2227.5091280762899
2100-Jan-07 09:00:00, 2227.8296881193451
2100-Jan-07 10:00:00, 2228.1491521867424
2100-Jan-07 11:00:00, 2228.4529297326253
2100-Jan-07 12:00:00, 2228.7274942386116
2100-Jan-07 13:00:00, 2228.9614535657215
2100-Jan-07 14:00:00, 2229.1463431088346
2100-Jan-07 15:00:00, 2229.2771134888612
2100-Jan-07 16:00:00, 2229.3521715941224
2100-Jan-07 17:00:00, 2229.3737258164738
2100-Jan-07 18:00:00, 2229.3476672652232
2100-Jan-07 19:00:00, 2229.2829862014987
2100-Jan-07 20:00:00, 2229.1911997505385
2100-Jan-07 21:00:00, 2229.0856128581945
2100-Jan-07 22:00:00, 2228.9804738549919
2100-Jan-07 23:00:00, 2228.8903828812299
2100-Jan-08 00:00:00, 2228.8286683526717
2100-Jan-08 01:00:00, 2228.8068829988365
2100-Jan-08 02:00:00, 2228.8338902139117
2100-Jan-08 03:00:00, 2228.9151349080998
2100-Jan-08 04:00:00, 2229.0524390803239
2100-Jan-08 05:00:00, 2229.243674554009
2100-Jan-08 06:00:00, 2229.4829403146764
2100-Jan-08 07:00:00, 2229.7611350825891
2100-Jan-08 08:00:00, 2230.0667092457488
2100-Jan-08 09:00:00, 2230.3862344039117
2100-Jan-08 10:00:00, 2230.7053801426623
2100-Jan-08 11:00:00, 2231.0094617740588
2100-Jan-08 12:00:00, 2231.2850994431174
2100-Jan-08 13:00:00, 2231.5206700752001
2100-Jan-08 14:00:00, 2231.7072560872907
2100-Jan-08 15:00:00, 2231.8393854152982
2100-Jan-08 16:00:00, 2231.9157271950712
2100-Jan-08 17:00:00, 2231.9385907905139
2100-Jan-08 18:00:00, 2231.9136674763458
2100-Jan-08 19:00:00, 2231.8497004381188
2100-Jan-08 20:00:00, 2231.7585366707544
2100-Jan-08 21:00:00, 2231.653653984496
2100-Jan-08 22:00:00, 2231.5496421390494
2100-Jan-08 23:00:00, 2231.4610540759195
2100-Jan-09 00:00:00, 2231.4013773337574
2100-Jan-09 01:00:00, 2231.3819973602208
2100-Jan-09 02:00:00, 2231.4113372980091
2100-Jan-09 03:00:00, 2231.4944372751902
2100-Jan-09 04:00:00, 2231.6328704083562
2100-Jan-09 05:00:00, 2231.8244220747442
2100-Jan-09 06:00:00, 2232.0632002204547
2100-Jan-09 07:00:00, 2232.3401313529002
2100-Jan-09 08:00:00, 2232.6438222794122
2100-Jan-09 09:00:00, 2232.9608787664351
2100-Jan-09 10:00:00, 2233.2770624958621
2100-Jan-09 11:00:00, 2233.5783075910981
