Time Stamp, Total Heat Transfer Rate [W]
2097-Jan-01 00:00:00, 106039.04661653184
2097-Jan-01 01:00:00, 55046.648471692461
2097-Jan-01 02:00:00, 41549.941280558065
2097-Jan-01 03:00:00, 34792.872733279175
2097-Jan-01 04:00:00, 30569.739049497584
2097-Jan-01 05:00:00, 27616.715014095091
2097-Jan-01 06:00:00, 25405.445060851565
2097-Jan-01 07:00:00, 23668.483708932443
2097-Jan-01 08:00:00, 22259.837139913576
2097-Jan-01 09:00:00, 21086.95560083543
2097-Jan-01 10:00:00, 20090.960639631474
2097-Jan-01 11:00:00, 19231.186705957927
2097-Jan-01 12:00:00, 18479.38169371635
2097-Jan-01 13:00:00, 17813.2544428322
2097-Jan-01 14:00:00, 17218.672788579715
2097-Jan-01 15:00:00, 16683.246738923863
2097-Jan-01 16:00:00, 16198.080008152074
2097-Jan-01 17:00:00, 15756.365953806053
2097-Jan-01 18:00:00, 15350.35248831538
2097-Jan-01 19:00:00, 14977.54353122911
2097-Jan-01 20:00:00, 14633.693642062624
2097-Jan-01 21:00:00, 14314.560284748608
2097-Jan-01 22:00:00, 14018.365222467546
2097-Jan-01 23:00:00, 13741.41257210965
2097-Jan-02 00:00:00, 13482.971172975685
2097-Jan-02 01:00:00, 13241.437488463402
2097-Jan-02 02:00:00, 13015.312776207511
2097-Jan-02 03:00:00, 12801.781649296499
2097-Jan-02 04:00:00, 12600.441128600194
2097-Jan-02 05:00:00, 12411.57442979093
2097-Jan-02 06:00:00, 12231.156075663141
2097-Jan-02 07:00:00, 12060.249824119564
2097-Jan-02 08:00:00, 11897.457983003722
2097-Jan-02 09:00:00, 11741.343148709213
2097-Jan-02 10:00:00, 11591.723793343523
2097-Jan-02 11:00:00, 11447.777272043337
2097-Jan-02 12:00:00, 11309.781394801697
2097-Jan-02 13:00:00, 11176.551891321693
2097-Jan-02 14:00:00, 11048.020836666221
2097-Jan-02 15:00:00, 10923.625534698796
2097-Jan-02 16:00:00, 10803.597586958043
2097-Jan-02 17:00:00, 10687.766535771259
2097-Jan-02 18:00:00, 10575.859632820378
2097-Jan-02 19:00:00, 10468.222615912724
2097-Jan-02 20:00:00, 10365.147901507515
2097-Jan-02 21:00:00, 10265.119041729897
2097-Jan-02 22:00:00, 10169.173786100302
2097-Jan-02 23:00:00, 10076.969435754281
2097-Jan-03 00:00:00, 9988.6283713943831
2097-Jan-03 01:00:00, 9903.8593717916756
2097-Jan-03 02:00:00, 9822.5535758242095
2097-Jan-03 03:00:00, 9744.207881204662
2097-Jan-03 04:00:00, 9668.6956480858698
