Time Stamp, Total Heat Transfer Rate [W]
2097-Jan-01 00:00:00, 3174.2413222211344
2097-Jan-01 01:00:00, 3174.6650771193135
2097-Jan-01 02:00:00, 3175.4814310274078
2097-Jan-01 03:00:00, 3176.7857526300686
2097-Jan-01 04:00:00, 3178.4902211139606
2097-Jan-01 05:00:00, 3180.4083865546986
2097-Jan-01 06:00:00, 3182.5445485523624
2097-Jan-01 07:00:00, 3184.2424886086014
2097-Jan-01 08:00:00, 3185.8820875284637
2097-Jan-01 09:00:00, 3187.1404651290882
2097-Jan-01 10:00:00, 3187.7425622905971
2097-Jan-01 11:00:00, 3187.6473646725813
2097-Jan-01 12:00:00, 3186.7923423329844
2097-Jan-01 13:00:00, 3185.267107920004
2097-Jan-01 14:00:00, 3183.0350436372901
2097-Jan-01 15:00:00, 3180.2606362568022
2097-Jan-01 16:00:00, 3177.1509824029763
2097-Jan-01 17:00:00, 3173.7944204092746
2097-Jan-01 18:00:00, 3170.2264599127943
2097-Jan-01 19:00:00, 3167.3549590645293
2097-Jan-01 20:00:00, 3164.6620238026417
2097-Jan-01 21:00:00, 3162.2811039572666
2097-Jan-01 22:00:00, 3160.493357316298
2097-Jan-01 23:00:00, 3159.4989995031165
2097-Jan-02 00:00:00, 3159.3027095780158
2097-Jan-02 01:00:00, 3159.9379927915952
2097-Jan-02 02:00:00, 3161.3151046219928
2097-Jan-02 03:00:00, 3163.3389677368123
2097-Jan-02 04:00:00, 3165.8152519164446
2097-Jan-02 05:00:00, 3168.5443514255962
2097-Jan-02 06:00:00, 3171.5229314739072
2097-Jan-02 07:00:00, 3173.9488302369805
2097-Jan-02 08:00:00, 3176.2111475706524
2097-Jan-02 09:00:00, 3178.1730977284114
2097-Jan-02 10:00:00, 3179.5688281340022
2097-Jan-02 11:00:00, 3180.2032724748178
2097-Jan-02 12:00:00, 3179.9840460572946
2097-Jan-02 13:00:00, 3178.9831471705725
2097-Jan-02 14:00:00, 3177.2480572316017
2097-Jan-02 15:00:00, 3174.9136410149681
2097-Jan-02 16:00:00, 3172.1757985156587
2097-Jan-02 17:00:00, 3169.2229283513334
2097-Jan-02 18:00:00, 3166.0571290789399
2097-Jan-02 19:00:00, 3163.4409859818447
2097-Jan-02 20:00:00, 3160.9894544318986
2097-Jan-02 21:00:00, 3158.8525079734732
2097-Jan-02 22:00:00, 3157.3230053010057
2097-Jan-02 23:00:00, 3156.6121988925815
2097-Jan-03 00:00:00, 3156.7449216220734
2097-Jan-03 01:00:00, 3157.6280449369829
2097-Jan-03 02:00:00, 3159.2565254113397
2097-Jan-03 03:00:00, 3161.4890010103131
2097-Jan-03 04:00:00, 3164.1237032687354
2097-Jan-03 05:00:00, 3166.9939217012811
2097-Jan-03 06:00:00, 3170.0629236482505
2097-Jan-03 07:00:00, 3172.5933307606083
2097-Jan-03 08:00:00, 3174.9577844115097
2097-Jan-03 09:00:00, 3177.0234317150189
2097-Jan-03 10:00:00, 3178.4723141098571
2097-Jan-03 11:00:00, 3179.1591625669089
2097-Jan-03 12:00:00, 3179.074223628033
2097-Jan-03 13:00:00, 3178.2176887245128
2097-Jan-03 14:00:00, 3176.679322751726
2097-Jan-03 15:00:00, 3174.4330392026764
2097-Jan-03 16:00:00, 3171.7823626887171
2097-Jan-03 17:00:00, 3168.9020443915356
2097-Jan-03 18:00:00, 3165.8033389229481
2097-Jan-03 19:00:00, 3163.3256501748697
2097-Jan-03 20:00:00, 3160.9037533704395
2097-Jan-03 21:00:00, 3158.84811292007
2097-Jan-03 22:00:00, 3157.4448030771987
2097-Jan-03 23:00:00, 3156.8214759960288
2097-Jan-04 00:00:00, 3157.0188328449631
2097-Jan-04 01:00:00, 3157.9486647800018
2097-Jan-04 02:00:00, 3159.5967065994573
2097-Jan-04 03:00:00, 3161.8407723321825
2097-Jan-04 04:00:00, 3164.5042441768574
2097-Jan-04 05:00:00, 3167.3894773939251
2097-Jan-04 06:00:00, 3170.5072902263328
2097-Jan-04 07:00:00, 3173.0585399524357
2097-Jan-04 08:00:00, 3175.4431435968359
2097-Jan-04 09:00:00, 3177.5272483245699
2097-Jan-04 10:00:00, 3179.0219634133368
2097-Jan-04 11:00:00, 3179.7175656439072
